train/success_rate,train/critic_loss,test/episode,stats_g/std,train/episode,stats_o/mean,stats_g/mean,stats_o/std,test/success_rate,epoch,test/mean_Q,test/ag_g_dist
0.0016666666666666668,0.029606083,20.0,0.15470171,100.0,0.19763283,0.3440419,0.70922357,0.0,0,-2.4208684,0.90105414
0.0016666666666666668,0.021033391,40.0,0.15700345,200.0,0.20035033,0.3416243,0.71047634,0.016666666666666666,1,-4.5124907,0.97409296
0.0016666666666666668,0.017237416,60.0,0.15703973,300.0,0.20045404,0.34155795,0.7093484,0.03333333333333333,2,-6.5803514,0.9296004
0.0033333333333333335,0.01632958,80.0,0.15687737,400.0,0.20007335,0.3413655,0.70924,0.016666666666666666,3,-8.800407,0.9164953
0.0,0.01345636,100.0,0.15701711,500.0,0.20014484,0.34125957,0.70940095,0.008333333333333333,4,-10.879281,0.9082382
0.0,0.013265218,120.0,0.15728033,600.0,0.20013577,0.3413228,0.7099366,0.0,5,-12.681033,0.9621603
0.0,0.014766082,140.0,0.15805177,700.0,0.20033784,0.34154066,0.71186566,0.0,6,-14.302999,0.97962767
0.0016666666666666668,0.014245967,160.0,0.1591533,800.0,0.20053233,0.34182176,0.71445775,0.008333333333333333,7,-16.04574,0.9044049
0.006666666666666667,0.01892289,180.0,0.1601619,900.0,0.20047641,0.34249082,0.71732503,0.05833333333333334,8,-17.405716,0.9558976
0.0033333333333333335,0.016567409,200.0,0.16115649,1000.0,0.20040035,0.34313527,0.72262627,0.0,9,-19.171463,0.9101965
0.008333333333333333,0.021394206,220.0,0.16212809,1100.0,0.20081453,0.34346256,0.7286567,0.016666666666666666,10,-19.509089,0.95172834
0.008333333333333333,0.027648753,240.0,0.16319676,1200.0,0.20132452,0.34371278,0.7344006,0.008333333333333333,11,-20.87877,0.9247665
0.008333333333333333,0.02133085,260.0,0.16443789,1300.0,0.20167077,0.34407035,0.7394996,0.041666666666666664,12,-22.665274,1.0189497
0.006666666666666667,0.022301137,280.0,0.1658885,1400.0,0.2019067,0.344447,0.74555737,0.025000000000000005,13,-22.630148,0.9124999
0.008333333333333333,0.034958567,300.0,0.1671123,1500.0,0.20243007,0.34521136,0.7507011,0.025000000000000005,14,-22.87565,0.87500983
0.008333333333333333,0.030805789,320.0,0.1685474,1600.0,0.20263754,0.34574744,0.7553696,0.016666666666666666,15,-24.542908,0.9648549
0.01,0.033411067,340.0,0.1695921,1700.0,0.20277852,0.34663084,0.7602033,0.03333333333333333,16,-25.120392,0.89036435
0.006666666666666667,0.036682382,360.0,0.17085199,1800.0,0.20287019,0.34761837,0.7645814,0.09166666666666667,17,-24.581953,0.78968143
0.008333333333333333,0.04711434,380.0,0.17220084,1900.0,0.20294707,0.3485075,0.7685624,0.08333333333333333,18,-24.80749,0.8291846
0.011666666666666667,0.041248247,400.0,0.17334123,2000.0,0.20278521,0.34911415,0.7720716,0.13333333333333333,19,-26.172594,0.83634454
0.008333333333333333,0.04391123,420.0,0.17414165,2100.0,0.20273133,0.3495395,0.775346,0.15833333333333333,20,-26.993612,0.87807244
0.008333333333333333,0.05348603,440.0,0.17496894,2200.0,0.2028253,0.35007867,0.7784806,0.09999999999999999,21,-28.41069,0.8270607
