stats_o/mean,test/success_rate,stats_g/std,test/ag_g_dist,stats_g/mean,train/success_rate,test/mean_Q,train/episode,epoch,train/critic_loss,test/episode,stats_o/std
0.18440981,0.23333333333333336,0.1877362,0.23897783,0.7839623,0.12666666666666668,-13.436109,1900.0,18,0.3665661,380.0,0.0981799
0.18469103,0.3833333333333333,0.1880905,0.21846835,0.7855573,0.11333333333333333,-12.256905,2000.0,19,0.25462598,400.0,0.09885719
0.18493336,0.39166666666666666,0.1887365,0.19555159,0.78705764,0.1416666666666667,-12.755416,2100.0,20,0.36967683,420.0,0.09970155
0.18513946,0.3833333333333333,0.188793,0.19892406,0.7883939,0.14833333333333334,-11.836644,2200.0,21,0.38045418,440.0,0.10031584
0.18534327,0.325,0.18929683,0.17922461,0.78981066,0.1416666666666667,-10.61852,2300.0,22,0.5812573,460.0,0.10100582
0.18564089,0.45,0.18941142,0.1990583,0.79109836,0.155,-11.401301,2400.0,23,0.4472879,480.0,0.10170276
0.18591942,0.43333333333333335,0.18945216,0.1596667,0.7924221,0.18333333333333335,-9.650041,2500.0,24,0.48032823,500.0,0.102084
0.1862139,0.39166666666666666,0.18929468,0.17803483,0.79366565,0.18333333333333335,-10.5208435,2600.0,25,0.43704405,520.0,0.10268482
0.18641566,0.525,0.18904461,0.1811529,0.7945447,0.16666666666666666,-10.461665,2700.0,26,1.1104301,540.0,0.10316506
0.1866634,0.47500000000000003,0.18855695,0.16584957,0.79561883,0.17333333333333334,-10.186004,2800.0,27,0.33412957,560.0,0.10343286
0.18688482,0.5,0.1883931,0.15705904,0.7964595,0.18000000000000002,-9.923404,2900.0,28,0.62722236,580.0,0.10387874
0.18703163,0.4416666666666667,0.1883076,0.1675191,0.79714566,0.15833333333333335,-10.181255,3000.0,29,0.78995305,600.0,0.1043197
0.18717165,0.44166666666666665,0.18796939,0.17397626,0.79775715,0.17166666666666672,-11.092358,3100.0,30,0.69420165,620.0,0.104676925
0.18736334,0.5666666666666668,0.18758698,0.15015578,0.7986315,0.19000000000000003,-9.21709,3200.0,31,0.42735878,640.0,0.105163336
0.187429,0.4750000000000001,0.18748794,0.15314065,0.7991457,0.21166666666666667,-9.31502,3300.0,32,0.77096653,660.0,0.10556678
0.18765968,0.525,0.18717338,0.17397483,0.8001215,0.20333333333333334,-11.287951,3400.0,33,0.33225116,680.0,0.105756134
0.18779366,0.525,0.18675345,0.17430381,0.80074906,0.21,-10.187882,3500.0,34,1.0031447,700.0,0.1058586
0.18795858,0.5666666666666668,0.18643032,0.19382416,0.8014755,0.18166666666666664,-10.860257,3600.0,35,1.0277535,720.0,0.105894774
0.1880594,0.5916666666666667,0.18640842,0.17945004,0.8019859,0.19666666666666666,-10.657343,3700.0,36,0.8332534,740.0,0.106138565
0.18814243,0.5416666666666666,0.18623573,0.1639272,0.80245876,0.17500000000000002,-10.416536,3800.0,37,0.74386686,760.0,0.106426574
0.18831699,0.5916666666666667,0.18599208,0.15701264,0.80320644,0.18333333333333335,-9.468217,3900.0,38,0.9725402,780.0,0.10673049
0.18849593,0.48333333333333334,0.1857955,0.18028681,0.8040208,0.19833333333333333,-11.257518,4000.0,39,0.96083456,800.0,0.10708458
0.1886555,0.4916666666666667,0.1856796,0.16957903,0.804723,0.18666666666666665,-11.151074,4100.0,40,0.44007716,820.0,0.1072276
0.1887698,0.4333333333333333,0.18574339,0.18086691,0.80516386,0.17833333333333332,-12.175891,4200.0,41,0.62736106,840.0,0.10751555
0.18887492,0.575,0.18564765,0.15428065,0.8056422,0.19333333333333333,-9.183442,4300.0,42,1.4917073,860.0,0.10765464
0.18900673,0.6333333333333334,0.18559635,0.15702718,0.8061306,0.19499999999999998,-9.204543,4400.0,43,0.61809105,880.0,0.107943974
0.18914087,0.45,0.18542282,0.18003128,0.8066606,0.2066666666666667,-11.590537,4500.0,44,0.8523152,900.0,0.108211614
0.18927158,0.4916666666666667,0.18541478,0.15921496,0.80709547,0.18166666666666664,-10.278412,4600.0,45,0.91172355,920.0,0.108400784
0.18936892,0.6083333333333334,0.18535882,0.16441791,0.80759114,0.20166666666666666,-10.182638,4700.0,46,0.816231,940.0,0.10851612
0.18944466,0.5916666666666667,0.18526149,0.15938272,0.8080315,0.21000000000000005,-10.319755,4800.0,47,0.72307295,960.0,0.10856364
0.189551,0.5916666666666667,0.18512084,0.16010858,0.8084844,0.17166666666666666,-9.919638,4900.0,48,0.62029773,980.0,0.108701676
0.18960564,0.625,0.18501376,0.18971904,0.80885535,0.19333333333333333,-10.402215,5000.0,49,0.53370357,1000.0,0.10879186
