stats_o/mean,test/mean_Q,epoch,stats_g/mean,test/success_rate,train/critic_loss,stats_g/std,train/reward_compute_count,train/success_rate,stats_o/std,train/episode,test/episode,test/reward_compute_count,test/ag_g_dist
0.20363039,-2.2652788,0,0.842416,0.041666666666666664,0.0022497096,0.09215009,5000.0,0.034999999999999996,0.052463904,100.0,20.0,1000.0,0.23722328
0.20378031,-3.9825408,1,0.84462816,0.05000000000000001,0.002466927,0.0932281,10000.0,0.04,0.051578056,200.0,40.0,2000.0,0.22265653
0.20401211,-5.915896,2,0.8451373,0.03333333333333333,0.0019752237,0.09413928,15000.0,0.04,0.053019047,300.0,60.0,3000.0,0.21828039
0.20412867,-7.608237,3,0.84544855,0.03333333333333333,0.0056332187,0.09540533,20000.0,0.04,0.057105735,400.0,80.0,4000.0,0.2317624
0.2041988,-9.681805,4,0.8452093,0.025000000000000005,0.007920747,0.09578025,25000.0,0.055,0.06197713,500.0,100.0,5000.0,0.235817
0.20436817,-10.98865,5,0.8455524,0.041666666666666664,0.008376026,0.09765252,30000.0,0.05666666666666667,0.06484683,600.0,120.0,6000.0,0.24251129
0.2044784,-11.974609,6,0.8460899,0.09166666666666667,0.023094675,0.09830508,35000.0,0.07333333333333333,0.06873278,700.0,140.0,7000.0,0.24718161
0.20462942,-11.993054,7,0.8465349,0.15833333333333333,0.013264578,0.100133955,40000.0,0.09166666666666667,0.072500125,800.0,160.0,8000.0,0.2304439
0.20459098,-10.778279,8,0.8467763,0.2833333333333333,0.028733028,0.10101601,45000.0,0.11499999999999999,0.078039,900.0,180.0,9000.0,0.19399725
0.20452327,-10.386064,9,0.8467639,0.3416666666666666,0.068826504,0.10158745,50000.0,0.19499999999999998,0.0831631,1000.0,200.0,10000.0,0.1992229
0.20446092,-10.346431,10,0.8467427,0.39999999999999997,0.09411139,0.10260292,55000.0,0.20000000000000004,0.08657262,1100.0,220.0,11000.0,0.17031866
0.20440744,-12.731968,11,0.84666556,0.3,0.043280434,0.103062004,60000.0,0.22833333333333336,0.089629404,1200.0,240.0,12000.0,0.2083503
0.20432426,-11.994789,12,0.84628016,0.4083333333333334,0.040127855,0.10288467,65000.0,0.26333333333333336,0.09226199,1300.0,260.0,13000.0,0.18609111
0.20425577,-12.125015,13,0.8462555,0.42500000000000004,0.059699517,0.10281509,70000.0,0.3233333333333333,0.09416505,1400.0,280.0,14000.0,0.18072927
0.20424491,-12.839492,14,0.8464034,0.4583333333333333,0.055300634,0.102706075,75000.0,0.38166666666666665,0.096474506,1500.0,300.0,15000.0,0.19190024
0.20408876,-11.538636,15,0.84616643,0.525,0.10567131,0.10298258,80000.0,0.34833333333333333,0.09814804,1600.0,320.0,16000.0,0.16036092
0.20392793,-10.070813,16,0.8460922,0.5750000000000001,0.082591675,0.10284347,85000.0,0.395,0.09966984,1700.0,340.0,17000.0,0.15573414
0.20376272,-11.872579,17,0.8460644,0.5750000000000001,0.04387139,0.102701105,90000.0,0.4266666666666667,0.10075012,1800.0,360.0,18000.0,0.16207458
0.20352574,-11.918933,18,0.84599704,0.5499999999999999,0.06402652,0.10267323,95000.0,0.395,0.10168353,1900.0,380.0,19000.0,0.16950874
0.20346014,-12.591576,19,0.8462291,0.5916666666666667,0.047956754,0.10294169,100000.0,0.42500000000000004,0.10312555,2000.0,400.0,20000.0,0.16824496
0.20326586,-10.380909,20,0.8462401,0.6583333333333333,0.04786105,0.10279878,105000.0,0.48666666666666664,0.10404583,2100.0,420.0,21000.0,0.1318933
0.20318665,-9.673319,21,0.8465386,0.6583333333333333,0.07132672,0.10303131,110000.0,0.465,0.10485362,2200.0,440.0,22000.0,0.12260765
0.20328087,-8.108222,22,0.8466293,0.7583333333333333,0.09278414,0.10337458,115000.0,0.47833333333333333,0.10535469,2300.0,460.0,23000.0,0.106192075
0.20333372,-10.452357,23,0.8466823,0.725,0.05628388,0.103970654,120000.0,0.48,0.10631014,2400.0,480.0,24000.0,0.13224833
0.20327078,-8.370452,24,0.8467732,0.75,0.050269987,0.104388416,125000.0,0.48,0.10739248,2500.0,500.0,25000.0,0.1024326
0.20338418,-7.9538364,25,0.84705114,0.8083333333333332,0.06454208,0.10457459,130000.0,0.5133333333333333,0.107965566,2600.0,520.0,26000.0,0.105586015
0.20343287,-7.6979604,26,0.8474602,0.7916666666666666,0.043575585,0.10464906,135000.0,0.5183333333333334,0.10859584,2700.0,540.0,27000.0,0.09608521
