stats_o/mean,test/mean_Q,epoch,stats_g/mean,test/success_rate,train/critic_loss,stats_g/std,train/reward_compute_count,train/success_rate,stats_o/std,train/episode,test/episode,test/reward_compute_count,test/ag_g_dist
0.2046808,-1.7061977,39,0.85056067,0.9,0.044940364,0.106860064,200000.0,0.5683333333333334,0.112293474,4000.0,800.0,40000.0,0.066606246
0.20474415,-1.8656111,40,0.8507411,0.9249999999999999,0.09385004,0.10684971,205000.0,0.5766666666666667,0.11247908,4100.0,820.0,41000.0,0.06900007
0.2048152,-0.9789057,41,0.8508734,0.9666666666666667,0.08739395,0.1069575,210000.0,0.5933333333333334,0.11264196,4200.0,840.0,42000.0,0.057666037
0.20490406,-1.3397185,42,0.85099345,0.9249999999999999,0.05779454,0.10706522,215000.0,0.5416666666666666,0.11288033,4300.0,860.0,43000.0,0.06347703
0.2049927,-0.9968171,43,0.85113263,0.9499999999999998,0.059495773,0.107309304,220000.0,0.5183333333333333,0.11305806,4400.0,880.0,44000.0,0.060475875
0.20501141,-1.3403174,44,0.8512228,0.9249999999999999,0.053975806,0.107405506,225000.0,0.5433333333333333,0.113223016,4500.0,900.0,45000.0,0.06943962
0.20507914,-1.0693253,45,0.8512952,0.9333333333333332,0.11903423,0.10741965,230000.0,0.555,0.11321691,4600.0,920.0,46000.0,0.0630041
0.20510451,-1.052662,46,0.8513221,0.9333333333333332,0.06589979,0.10750916,235000.0,0.5616666666666666,0.113264,4700.0,940.0,47000.0,0.06446322
0.20512344,-1.2400861,47,0.8513453,0.9,0.09631037,0.10750591,240000.0,0.57,0.11323244,4800.0,960.0,48000.0,0.06701657
0.2051485,-1.0839701,48,0.8513708,0.9583333333333334,0.037271347,0.10766798,245000.0,0.5549999999999999,0.11339273,4900.0,980.0,49000.0,0.062017143
0.2051994,-1.1503965,49,0.85140544,0.9083333333333332,0.058277205,0.10766197,250000.0,0.5650000000000001,0.11345384,5000.0,1000.0,50000.0,0.06331165
0.2052237,-1.2307273,50,0.8515127,0.9166666666666666,0.056980997,0.107694276,255000.0,0.5166666666666667,0.11349412,5100.0,1020.0,51000.0,0.06610303
0.20525242,-1.1410992,51,0.8514945,0.9083333333333333,0.07802754,0.10769714,260000.0,0.5583333333333335,0.113491744,5200.0,1040.0,52000.0,0.07025766
0.2052775,-1.157949,52,0.85157686,0.8833333333333333,0.09312951,0.10777066,265000.0,0.5183333333333334,0.1135456,5300.0,1060.0,53000.0,0.06913978
0.20530619,-1.0358846,53,0.85159254,0.9333333333333332,0.21389902,0.10780873,270000.0,0.5666666666666668,0.113626786,5400.0,1080.0,54000.0,0.061223116
0.20533149,-1.1110342,54,0.85160106,0.8833333333333334,0.07948715,0.1077674,275000.0,0.5833333333333334,0.11367717,5500.0,1100.0,55000.0,0.06602563
0.20533507,-1.0352485,55,0.85171366,0.9083333333333332,0.07979903,0.107816346,280000.0,0.525,0.113715865,5600.0,1120.0,56000.0,0.06502673
0.20532684,-1.0395867,56,0.8517882,0.9333333333333332,0.09046883,0.10777297,285000.0,0.5333333333333333,0.11366733,5700.0,1140.0,57000.0,0.058942724
0.20535664,-1.5661879,57,0.8518118,0.9416666666666668,0.060325366,0.10788981,290000.0,0.51,0.1137177,5800.0,1160.0,58000.0,0.068256654
0.20540857,-1.0786989,58,0.8518713,0.9,0.13576981,0.107863046,295000.0,0.5416666666666667,0.11372658,5900.0,1180.0,59000.0,0.06209271
0.20545457,-1.293128,59,0.85194826,0.9,0.090257406,0.10784829,300000.0,0.5433333333333333,0.113790065,6000.0,1200.0,60000.0,0.06331474
