test/mean_Q,stats_g/std,test/ag_g_dist,train/reward_compute_count,stats_o/mean,stats_g/mean,test/success_rate,train/critic_loss,epoch,train/episode,stats_o/std,test/reward_compute_count,test/episode,train/success_rate
-19.670912,0.20210557,0.3189498,90000.0,0.18599291,0.7855113,0.05833333333333334,0.4627304,17,1800.0,0.09634351,18000.0,360.0,0.04833333333333334
-21.33815,0.2036844,0.32049143,95000.0,0.18653671,0.7879775,0.016666666666666666,0.5919613,18,1900.0,0.09713819,19000.0,380.0,0.05833333333333334
-20.454597,0.20561856,0.30348596,100000.0,0.18708162,0.79068035,0.06666666666666667,0.72849244,19,2000.0,0.09800693,20000.0,400.0,0.04833333333333334
-19.95734,0.20689972,0.26112846,105000.0,0.18765336,0.793304,0.07500000000000001,1.7164558,20,2100.0,0.09893472,21000.0,420.0,0.051666666666666666
-20.696909,0.20815946,0.2651647,110000.0,0.18812425,0.7955873,0.06666666666666667,1.3244251,21,2200.0,0.09966325,22000.0,440.0,0.04833333333333333
-19.01652,0.20874824,0.2566773,115000.0,0.18848173,0.79749364,0.15833333333333333,1.8375479,22,2300.0,0.1002138,23000.0,460.0,0.056666666666666664
-20.623726,0.20910764,0.27910694,120000.0,0.18881302,0.7992665,0.10000000000000002,2.123229,23,2400.0,0.10079506,24000.0,480.0,0.06166666666666667
-20.303907,0.20985055,0.24250792,125000.0,0.18917902,0.8013923,0.11666666666666668,1.8091334,24,2500.0,0.10153859,25000.0,500.0,0.05666666666666667
-21.635841,0.20991842,0.24808735,130000.0,0.18950556,0.8031056,0.13333333333333333,2.484355,25,2600.0,0.101969235,26000.0,520.0,0.06999999999999999
-23.371778,0.20938893,0.26767787,135000.0,0.18974133,0.8045032,0.11666666666666665,2.5152295,26,2700.0,0.10206827,27000.0,540.0,0.09166666666666666
-18.266321,0.20917237,0.22211802,140000.0,0.190008,0.8058124,0.3,2.9194796,27,2800.0,0.102351256,28000.0,560.0,0.08166666666666667
-21.789892,0.20871526,0.24057591,145000.0,0.19017605,0.80701494,0.10000000000000002,2.7611864,28,2900.0,0.1026217,29000.0,580.0,0.08333333333333333
-24.89575,0.20841183,0.2625402,150000.0,0.19032656,0.8081021,0.041666666666666664,2.5216959,29,3000.0,0.10301793,30000.0,600.0,0.07833333333333332
-21.10868,0.207902,0.25369564,155000.0,0.19046353,0.80924755,0.15,4.897988,30,3100.0,0.10316309,31000.0,620.0,0.10333333333333333
-22.175024,0.20778002,0.24033298,160000.0,0.1906056,0.8104653,0.14166666666666666,3.7539499,31,3200.0,0.10353974,32000.0,640.0,0.08333333333333333
-20.48221,0.20743708,0.24372047,165000.0,0.19068927,0.81103927,0.15833333333333333,2.6366327,32,3300.0,0.1037148,33000.0,660.0,0.09166666666666667
-20.02246,0.20707333,0.21179463,170000.0,0.19082375,0.811651,0.18333333333333332,3.7275372,33,3400.0,0.104079045,34000.0,680.0,0.085
-18.533983,0.20705158,0.22655506,175000.0,0.1908951,0.8123536,0.2416666666666666,2.6806087,34,3500.0,0.10433213,35000.0,700.0,0.08333333333333333
-22.56336,0.20647234,0.23573847,180000.0,0.191095,0.8132844,0.18333333333333335,2.363085,35,3600.0,0.104413606,36000.0,720.0,0.09333333333333334
-24.015785,0.20589854,0.2437967,185000.0,0.19126403,0.81414175,0.125,5.131038,36,3700.0,0.1047652,37000.0,740.0,0.11
-15.923119,0.205581,0.21178131,190000.0,0.19136661,0.81462055,0.3166666666666667,4.360871,37,3800.0,0.104798354,38000.0,760.0,0.11
-18.408548,0.20497733,0.20899613,195000.0,0.19153409,0.8153057,0.31666666666666665,4.2092357,38,3900.0,0.10496062,39000.0,780.0,0.12166666666666666
-20.844788,0.20455511,0.20876539,200000.0,0.19160545,0.8159078,0.16666666666666666,4.22858,39,4000.0,0.10494119,40000.0,800.0,0.11166666666666668
-21.740396,0.2039277,0.2152276,205000.0,0.19169152,0.81631714,0.16666666666666666,4.4378953,40,4100.0,0.10485401,41000.0,820.0,0.10666666666666667
-18.282675,0.20377952,0.22227927,210000.0,0.19175605,0.8164964,0.2916666666666667,5.569509,41,4200.0,0.10509238,42000.0,840.0,0.14833333333333332
-17.034233,0.20328532,0.18531473,215000.0,0.1917967,0.81677693,0.3333333333333333,3.8657694,42,4300.0,0.10505786,43000.0,860.0,0.135
-16.731932,0.20289688,0.21683754,220000.0,0.19188909,0.81712,0.325,3.8562114,43,4400.0,0.10520203,44000.0,880.0,0.155
-18.159918,0.2025084,0.21258162,225000.0,0.1919338,0.8172868,0.25833333333333336,6.574276,44,4500.0,0.10553416,45000.0,900.0,0.13
-16.494799,0.20208621,0.21019776,230000.0,0.19199263,0.8174896,0.3666666666666667,4.889467,45,4600.0,0.105720736,46000.0,920.0,0.1366666666666667
-17.302584,0.20178443,0.20884864,235000.0,0.19197471,0.81758636,0.34166666666666673,5.4313836,46,4700.0,0.10597024,47000.0,940.0,0.14333333333333334
-15.411667,0.20156352,0.22074115,240000.0,0.19203262,0.81770605,0.3499999999999999,3.1728592,47,4800.0,0.106258936,48000.0,960.0,0.13833333333333334
-16.583633,0.20135355,0.21553402,245000.0,0.19204052,0.8177326,0.3666666666666667,5.912519,48,4900.0,0.10652419,49000.0,980.0,0.13
-18.889542,0.20103006,0.22639517,250000.0,0.19209035,0.8179193,0.375,3.4900074,49,5000.0,0.10666999,50000.0,1000.0,0.155
-18.468008,0.20069398,0.20484138,255000.0,0.19212282,0.81803036,0.31666666666666665,3.89083,50,5100.0,0.10681289,51000.0,1020.0,0.135
-13.71225,0.20028092,0.18880181,260000.0,0.19212388,0.8182842,0.5,5.2219224,51,5200.0,0.10689935,52000.0,1040.0,0.14
-17.725073,0.19984777,0.20324916,265000.0,0.19216283,0.8184433,0.375,3.6095695,52,5300.0,0.10691319,53000.0,1060.0,0.1416666666666667
-18.143236,0.19931196,0.19171022,270000.0,0.19218336,0.81867146,0.3666666666666667,4.7068176,53,5400.0,0.106933795,54000.0,1080.0,0.16833333333333336
-15.102803,0.1987958,0.18578146,275000.0,0.19220167,0.81886536,0.43333333333333335,4.102757,54,5500.0,0.10696519,55000.0,1100.0,0.16166666666666668
-14.409747,0.1983328,0.18334502,280000.0,0.19220881,0.81902647,0.4666666666666666,2.628584,55,5600.0,0.10700717,56000.0,1120.0,0.17666666666666667
-16.607466,0.1979329,0.190262,285000.0,0.19222124,0.81914586,0.35000000000000003,3.4861012,56,5700.0,0.10701888,57000.0,1140.0,0.16833333333333333
-17.376318,0.19738306,0.2017171,290000.0,0.19225089,0.8192785,0.4083333333333334,5.9352164,57,5800.0,0.10701714,58000.0,1160.0,0.19666666666666668
-16.313145,0.19700678,0.19505684,295000.0,0.19227879,0.81935424,0.3833333333333333,3.3603814,58,5900.0,0.10706002,59000.0,1180.0,0.18833333333333332
-15.950207,0.19652094,0.19072044,300000.0,0.19231778,0.819547,0.39166666666666666,4.125894,59,6000.0,0.1070655,60000.0,1200.0,0.17166666666666672
