test/episode,train/success_rate,test/ag_g_dist,stats_g/std,stats_o/mean,stats_g/mean,train/critic_loss,train/episode,stats_o/std,test/mean_Q,test/success_rate,epoch
20.0,0.0,0.23723046,0.0920373,0.20281017,0.84245366,0.005593469,100.0,0.048630312,-2.8713777,0.0,0
40.0,0.0,0.22205596,0.09254243,0.20349474,0.84474295,0.011550792,200.0,0.04674377,-4.90964,0.0,1
60.0,0.0,0.21788609,0.09251276,0.2037609,0.84530324,0.022565192,300.0,0.04723228,-6.895452,0.0,2
80.0,0.0,0.22962748,0.09312403,0.20393455,0.8457044,0.013340451,400.0,0.049667288,-8.7084675,0.0,3
100.0,0.0,0.2361089,0.09449008,0.20392329,0.84532136,0.0178899,500.0,0.051765487,-10.65729,0.0,4
120.0,0.0,0.24175374,0.09583343,0.20377783,0.8454049,0.03186803,600.0,0.056137424,-12.156133,0.0,5
140.0,0.0,0.25120333,0.09763771,0.20386559,0.8456381,0.065130055,700.0,0.06014711,-13.531499,0.0,6
160.0,0.0,0.23154247,0.09962798,0.2039054,0.8454991,0.06146433,800.0,0.06418646,-14.462861,0.0,7
180.0,0.0,0.2123987,0.101000525,0.20396014,0.84546155,0.1363514,900.0,0.06940555,-14.698398,0.0,8
200.0,0.0,0.22014953,0.101659246,0.20417587,0.84538144,0.11028572,1000.0,0.07396082,-14.912132,0.0,9
220.0,0.0,0.1976222,0.10277912,0.20426221,0.8456087,0.18553473,1100.0,0.07832282,-14.519486,0.0,10
240.0,0.0,0.21878576,0.10362431,0.20433755,0.84596616,0.21809925,1200.0,0.08290583,-15.681351,0.0,11
260.0,0.0,0.19715454,0.10397023,0.20448548,0.8460386,0.33761838,1300.0,0.0869445,-15.439934,0.0,12
280.0,0.0,0.18153925,0.10430499,0.20462894,0.8463152,0.3725839,1400.0,0.09009399,-15.015637,0.0,13
300.0,0.0016666666666666668,0.19863807,0.1048871,0.20453973,0.8463746,0.36643395,1500.0,0.0937058,-15.829522,0.0,14
320.0,0.0,0.16704355,0.105023585,0.20442049,0.8461764,0.28886166,1600.0,0.09579482,-14.44074,0.0,15
340.0,0.0,0.17046411,0.10521234,0.20440306,0.84601194,0.45963073,1700.0,0.09838187,-14.0251045,0.008333333333333333,16
360.0,0.0,0.18402492,0.10513195,0.20452364,0.8458872,0.4860458,1800.0,0.09999019,-15.335383,0.016666666666666666,17
380.0,0.0,0.19358349,0.10510478,0.20445742,0.8456065,0.32225975,1900.0,0.10107726,-16.070032,0.008333333333333333,18
400.0,0.0033333333333333335,0.18610735,0.10484755,0.20446013,0.84556127,0.44672647,2000.0,0.10230938,-15.899144,0.0,19
420.0,0.0,0.17018493,0.10474231,0.20454781,0.8452677,0.37094867,2100.0,0.10378653,-15.825135,0.0,20
440.0,0.0016666666666666668,0.14900076,0.10500275,0.20463373,0.84528977,0.37916645,2200.0,0.105089225,-14.31461,0.008333333333333333,21
460.0,0.0033333333333333335,0.13631763,0.10484558,0.20470123,0.84524816,0.42258003,2300.0,0.106068365,-13.162417,0.041666666666666664,22
480.0,0.008333333333333333,0.18892096,0.105155505,0.20477672,0.8452051,0.5231677,2400.0,0.107009985,-17.705256,0.041666666666666664,23
500.0,0.006666666666666667,0.16814892,0.105160885,0.20482604,0.84521574,0.38433054,2500.0,0.107630216,-16.633821,0.008333333333333333,24
