test/episode,train/success_rate,test/ag_g_dist,stats_g/std,stats_o/mean,stats_g/mean,train/critic_loss,train/episode,stats_o/std,test/mean_Q,test/success_rate,epoch
520.0,0.005,0.16988355,0.10498637,0.20478755,0.84523374,0.3751843,2600.0,0.1081906,-16.853357,0.008333333333333333,25
540.0,0.011666666666666667,0.1798168,0.10492456,0.2048378,0.84534854,0.24633463,2700.0,0.10869809,-18.493084,0.025000000000000005,26
560.0,0.005,0.16950661,0.1046468,0.20493148,0.84540457,0.3445358,2800.0,0.109017916,-18.178726,0.0,27
580.0,0.008333333333333333,0.15439717,0.104512565,0.2049929,0.8454633,0.278599,2900.0,0.109286636,-16.296072,0.06666666666666667,28
600.0,0.011666666666666667,0.13034926,0.10445249,0.20493609,0.84558576,0.33971682,3000.0,0.109352,-13.968651,0.025000000000000005,29
620.0,0.011666666666666667,0.17224385,0.10441669,0.2049967,0.84564537,0.2803962,3100.0,0.10935239,-17.346586,0.20000000000000004,30
640.0,0.013333333333333334,0.16228186,0.104219675,0.20500423,0.84570676,0.40313303,3200.0,0.10933045,-17.66049,0.06666666666666667,31
660.0,0.018333333333333333,0.14765342,0.104000926,0.20502454,0.845608,0.31067917,3300.0,0.10919162,-17.231604,0.10000000000000002,32
680.0,0.02,0.15144314,0.1039019,0.20504838,0.8456437,0.32001343,3400.0,0.109019816,-16.909971,0.03333333333333333,33
700.0,0.016666666666666666,0.15790422,0.103855826,0.20506172,0.84565854,0.2938782,3500.0,0.10902316,-17.147123,0.13333333333333333,34
720.0,0.028333333333333335,0.14929307,0.10376614,0.20508732,0.84571105,0.37117139,3600.0,0.10895739,-16.18475,0.14166666666666664,35
740.0,0.03,0.15212396,0.103690326,0.20508678,0.8456724,0.2841301,3700.0,0.10882426,-16.742899,0.15,36
760.0,0.015,0.14398228,0.10347419,0.20505238,0.8456805,0.27029118,3800.0,0.10857859,-16.442535,0.3,37
780.0,0.02,0.15055722,0.1033892,0.2050416,0.8456653,0.329498,3900.0,0.10825181,-17.69687,0.09166666666666667,38
800.0,0.023333333333333334,0.15698421,0.103200234,0.20503984,0.84563047,0.35306433,4000.0,0.10796932,-18.60243,0.06666666666666667,39
820.0,0.015,0.1695013,0.10305953,0.20501487,0.845618,0.5732773,4100.0,0.10779389,-19.265305,0.27499999999999997,40
840.0,0.021666666666666667,0.13654299,0.102909386,0.20497882,0.8455731,0.349421,4200.0,0.107624866,-16.965412,0.39999999999999997,41
860.0,0.023333333333333334,0.14697492,0.10269153,0.20496581,0.8455637,0.28671086,4300.0,0.1072385,-19.185293,0.2416666666666667,42
880.0,0.03166666666666667,0.13969254,0.10250721,0.20495252,0.84555227,0.2715185,4400.0,0.10686504,-18.35407,0.041666666666666664,43
900.0,0.02666666666666667,0.17653883,0.10235845,0.2048967,0.84552217,0.23020394,4500.0,0.106512465,-21.594894,0.2416666666666667,44
920.0,0.02,0.15086432,0.102188475,0.20491831,0.8455577,0.2435736,4600.0,0.10611578,-18.717764,0.18333333333333335,45
940.0,0.025000000000000005,0.15368883,0.10206518,0.20488705,0.84551436,0.22981514,4700.0,0.10586974,-20.047396,0.2916666666666667,46
960.0,0.015,0.1627969,0.1018595,0.2048914,0.84551,0.32526186,4800.0,0.105520315,-21.013903,0.21666666666666667,47
980.0,0.023333333333333334,0.13795806,0.101675905,0.20489718,0.8455102,0.19567682,4900.0,0.10525116,-18.748625,0.15,48
1000.0,0.028333333333333335,0.16462128,0.10161036,0.2048826,0.8454179,0.328645,5000.0,0.10506162,-21.892805,0.25833333333333336,49
1020.0,0.03166666666666667,0.1560529,0.10138544,0.2048784,0.8454719,0.23558633,5100.0,0.10478607,-20.841282,0.26666666666666666,50
1040.0,0.02,0.18504643,0.10134888,0.20486225,0.8454511,0.23512028,5200.0,0.10459506,-23.636774,0.21666666666666667,51
1060.0,0.03333333333333333,0.17311941,0.10127393,0.20483692,0.845439,0.527625,5300.0,0.10437574,-23.56955,0.15833333333333335,52
1080.0,0.018333333333333337,0.15667394,0.101251334,0.20482044,0.845357,0.29911768,5400.0,0.10421344,-21.327513,0.3833333333333333,53
1100.0,0.023333333333333334,0.1553813,0.10115081,0.20480965,0.84531784,0.23939188,5500.0,0.10403964,-20.86823,0.3833333333333333,54
1120.0,0.03,0.15166283,0.1010452,0.20482759,0.8453849,0.22451158,5600.0,0.10383654,-20.578218,0.3333333333333333,55
1140.0,0.03333333333333333,0.14455964,0.101014495,0.2048158,0.8453817,0.2864893,5700.0,0.10371885,-21.063345,0.25,56
1160.0,0.02,0.1538723,0.101012714,0.20479745,0.84537286,0.26710474,5800.0,0.10359489,-22.777567,0.19999999999999998,57
1180.0,0.025000000000000005,0.14471672,0.10089984,0.20478481,0.8453894,0.17878084,5900.0,0.10348164,-19.390469,0.4416666666666667,58
1200.0,0.028333333333333332,0.13197207,0.100850046,0.20476669,0.84538835,0.26164564,6000.0,0.10334959,-18.07412,0.5,59
1220.0,0.03166666666666667,0.14205064,0.10083264,0.20475298,0.84534854,0.18986315,6100.0,0.10324829,-21.064688,0.44166666666666665,60
1240.0,0.035,0.13530314,0.100798786,0.20473556,0.8453353,0.22453456,6200.0,0.10319982,-19.84067,0.45,61
1260.0,0.024999999999999998,0.14649622,0.10078641,0.20472127,0.84535027,0.33972833,6300.0,0.103048004,-20.61051,0.40833333333333327,62
1280.0,0.02666666666666667,0.14421214,0.100758165,0.20473365,0.84537596,0.7698417,6400.0,0.10299196,-21.198,0.3666666666666667,63
1300.0,0.035,0.15131907,0.10066644,0.20475788,0.8454314,0.23448235,6500.0,0.10281082,-21.62174,0.43333333333333335,64
1320.0,0.030000000000000002,0.17226152,0.10060247,0.20474678,0.8454132,0.17285675,6600.0,0.10264993,-22.952581,0.39166666666666666,65
1340.0,0.03,0.14613062,0.10048026,0.20477362,0.84544736,0.2085765,6700.0,0.10254535,-21.656733,0.44166666666666665,66
1360.0,0.028333333333333335,0.17311437,0.10045778,0.2047718,0.8454866,0.49621412,6800.0,0.10245898,-24.67038,0.3833333333333333,67
1380.0,0.03,0.15613317,0.100391544,0.20475829,0.8454563,0.19493692,6900.0,0.10232148,-22.277338,0.45,68
1400.0,0.03166666666666667,0.16381773,0.10034418,0.20475967,0.8454297,0.19790821,7000.0,0.10220211,-23.302252,0.3833333333333333,69
1420.0,0.035,0.15354757,0.10026487,0.20477372,0.8454458,0.2735048,7100.0,0.10217705,-23.565905,0.35000000000000003,70
1440.0,0.02,0.12487588,0.10024166,0.20479102,0.84547853,0.22041066,7200.0,0.102094136,-19.780895,0.4083333333333334,71
1460.0,0.013333333333333334,0.14212956,0.10020113,0.20478176,0.8455009,0.23365617,7300.0,0.1020604,-21.686981,0.325,72
1480.0,0.02,0.12231024,0.10015885,0.20478182,0.84550166,0.24174373,7400.0,0.10191075,-18.73207,0.3916666666666666,73
1500.0,0.02666666666666667,0.087389015,0.100153215,0.20477511,0.84553915,0.18585815,7500.0,0.10182747,-15.753016,0.5166666666666666,74
1520.0,0.030000000000000002,0.15077357,0.10013365,0.20480402,0.84554696,0.7060382,7600.0,0.10174479,-22.831808,0.3,75
1540.0,0.03166666666666667,0.13990743,0.100115955,0.20482914,0.84554195,0.20450501,7700.0,0.1016458,-22.602013,0.42500000000000004,76
1560.0,0.023333333333333334,0.14213939,0.10003477,0.20483343,0.8455384,0.6556713,7800.0,0.101530455,-22.685173,0.3416666666666666,77
1580.0,0.023333333333333334,0.17837839,0.09997245,0.2048557,0.84553695,0.21904917,7900.0,0.10146686,-25.75425,0.2583333333333333,78
1600.0,0.03833333333333334,0.13467638,0.09995606,0.20485155,0.84555787,0.15024044,8000.0,0.10140017,-20.350542,0.5166666666666666,79
1620.0,0.03333333333333333,0.14074321,0.099891596,0.20483686,0.84554577,0.19550551,8100.0,0.101294555,-20.508165,0.5333333333333333,80
1640.0,0.023333333333333334,0.14647068,0.09984652,0.20481794,0.8455691,0.20783918,8200.0,0.10118678,-22.60417,0.43333333333333335,81
1660.0,0.03833333333333333,0.1537673,0.09979459,0.20481355,0.8455871,0.29221568,8300.0,0.101123445,-21.870718,0.48333333333333334,82
1680.0,0.016666666666666666,0.13543041,0.09975446,0.2047997,0.8456371,0.21450378,8400.0,0.10109974,-20.49814,0.3416666666666666,83
1700.0,0.023333333333333334,0.13421218,0.09972837,0.20478757,0.8456283,0.2812772,8500.0,0.10106924,-21.642988,0.3666666666666667,84
1720.0,0.02666666666666667,0.14348352,0.09965239,0.20477949,0.84562993,0.20561184,8600.0,0.10099248,-22.427795,0.45,85
1740.0,0.016666666666666666,0.13505907,0.099616535,0.20476519,0.8456416,0.2018652,8700.0,0.10091621,-19.726423,0.43333333333333335,86
1760.0,0.018333333333333333,0.12972476,0.09960189,0.20475872,0.845655,0.16560043,8800.0,0.10080603,-17.461233,0.5416666666666666,87
1780.0,0.02,0.14954005,0.09958691,0.20474988,0.84568125,0.26387617,8900.0,0.100784995,-22.426811,0.4666666666666666,88
1800.0,0.02,0.14619082,0.09954115,0.20474105,0.84568137,0.25804418,9000.0,0.10071578,-22.850336,0.4166666666666667,89
1820.0,0.013333333333333334,0.16440992,0.09955326,0.2047426,0.8456921,0.188289,9100.0,0.10073032,-24.831316,0.4000000000000001,90
1840.0,0.03,0.1580915,0.09950981,0.20472302,0.84569854,0.29161265,9200.0,0.100661606,-24.802172,0.4166666666666667,91
1860.0,0.025000000000000005,0.16451654,0.09947151,0.2046959,0.8457117,0.21100493,9300.0,0.10063351,-24.725176,0.325,92
1880.0,0.028333333333333332,0.120062314,0.09945014,0.20467936,0.84569985,0.41840982,9400.0,0.10060623,-21.721773,0.4666666666666666,93
1900.0,0.025000000000000005,0.1480281,0.09941285,0.20466153,0.8456966,0.2488028,9500.0,0.100588284,-22.864096,0.375,94
1920.0,0.024999999999999998,0.12648487,0.099407256,0.20467697,0.8457084,0.20208986,9600.0,0.100567244,-20.581331,0.4416666666666667,95
1940.0,0.018333333333333337,0.12148347,0.09938675,0.20468451,0.8457441,0.21543938,9700.0,0.10060647,-20.885183,0.43333333333333335,96
1960.0,0.021666666666666667,0.12228459,0.09948648,0.20467179,0.84575987,0.18647754,9800.0,0.10069015,-20.805695,0.4916666666666667,97
1980.0,0.03166666666666667,0.11893112,0.0994679,0.20467655,0.8457883,0.22535558,9900.0,0.10071366,-23.58233,0.375,98
2000.0,0.011666666666666665,0.11473615,0.099496625,0.20466948,0.8457661,0.5389486,10000.0,0.100705646,-19.796036,0.425,99
