stats_g/mean,train/critic_loss,test/mean_Q,stats_o/mean,train/success_rate,stats_o/std,test/success_rate,test/episode,stats_g/std,train/episode,epoch
0.83862066,264665.6,210.09984,0.20150398,0.07333333333333333,0.066105746,0.08333333333333333,720.0,0.06104864,3600.0,35
0.83868307,266608.4,230.22913,0.20152794,0.07166666666666667,0.066290334,0.05833333333333334,740.0,0.06107754,3700.0,36
0.838636,231455.3,222.54974,0.20155208,0.05333333333333334,0.06658876,0.075,760.0,0.061048154,3800.0,37
0.83863646,241343.27,221.88574,0.20158167,0.075,0.06698698,0.09166666666666667,780.0,0.061039124,3900.0,38
0.83863974,243207.02,213.27905,0.20160575,0.06666666666666667,0.06733941,0.075,800.0,0.06101932,4000.0,39
0.8385854,243079.7,203.47717,0.20159371,0.085,0.06754755,0.06666666666666667,820.0,0.061033193,4100.0,40
0.8386347,250131.02,260.7498,0.20161138,0.07166666666666667,0.06777873,0.025000000000000005,840.0,0.061022196,4200.0,41
0.83862996,245134.95,229.49959,0.20163085,0.085,0.068138115,0.09166666666666667,860.0,0.061007813,4300.0,42
0.8386503,236636.38,242.05794,0.20162635,0.075,0.06839002,0.05833333333333333,880.0,0.06100462,4400.0,43
0.8386509,242686.05,225.06432,0.20164157,0.05333333333333334,0.06860424,0.05833333333333333,900.0,0.06100926,4500.0,44
0.8386151,244729.17,240.09975,0.20165211,0.08,0.06903913,0.041666666666666664,920.0,0.061018202,4600.0,45
0.8385741,262571.22,253.02667,0.20165695,0.08166666666666668,0.06920056,0.041666666666666664,940.0,0.061033055,4700.0,46
0.838619,286957.16,259.4869,0.20164795,0.05833333333333333,0.06956547,0.125,960.0,0.0610252,4800.0,47
0.83864933,282205.84,259.68576,0.20162982,0.07333333333333335,0.06998464,0.05833333333333333,980.0,0.061034784,4900.0,48
0.83871007,267182.53,238.17375,0.20163853,0.09000000000000001,0.07017224,0.10833333333333334,1000.0,0.061021402,5000.0,49
