stats_g/mean,train/critic_loss,test/mean_Q,stats_o/mean,train/success_rate,stats_o/std,test/success_rate,test/episode,stats_g/std,train/episode,epoch
0.8388899,880.1657,13.002552,0.20121793,0.05333333333333334,0.051364403,0.10000000000000002,20.0,0.06201211,100.0,0
0.8390105,2975.0046,23.598227,0.20065928,0.085,0.060289364,0.016666666666666666,40.0,0.061551046,200.0,1
0.8391831,5785.959,32.57362,0.20070206,0.065,0.061445113,0.05000000000000001,60.0,0.06113909,300.0,2
0.83921915,9526.315,47.31782,0.20106512,0.06833333333333334,0.061412614,0.06666666666666667,80.0,0.061099347,400.0,3
0.8396826,12709.083,48.240276,0.20127642,0.07666666666666666,0.061690975,0.049999999999999996,100.0,0.06122978,500.0,4
0.8394308,19202.094,60.83722,0.20137894,0.065,0.06235698,0.075,120.0,0.061157197,600.0,5
0.83916426,24126.037,65.6549,0.20143588,0.06166666666666667,0.06286761,0.09166666666666667,140.0,0.06091324,700.0,6
0.83912665,35158.496,83.41302,0.2015481,0.07666666666666667,0.062394783,0.09166666666666667,160.0,0.060996667,800.0,7
0.83925086,52019.973,100.491585,0.20153682,0.06,0.061952252,0.06666666666666667,180.0,0.06107181,900.0,8
0.8392935,64090.8,120.33425,0.2014882,0.07833333333333334,0.061508674,0.08333333333333333,200.0,0.061068043,1000.0,9
0.8389778,83135.13,124.16494,0.20140295,0.085,0.061213363,0.08333333333333333,220.0,0.060982037,1100.0,10
0.8389077,102189.48,128.0815,0.20138855,0.07166666666666667,0.060897827,0.10000000000000002,240.0,0.060956355,1200.0,11
0.83884126,120269.1,151.51634,0.20142107,0.065,0.0605707,0.06666666666666667,260.0,0.06093822,1300.0,12
0.8386631,123315.695,161.25758,0.20142537,0.075,0.060222324,0.03333333333333333,280.0,0.060935903,1400.0,13
0.8385408,144185.22,169.51534,0.20140518,0.06666666666666667,0.05994095,0.041666666666666664,300.0,0.060935605,1500.0,14
0.83858484,148202.62,178.5511,0.20135437,0.07666666666666667,0.059701014,0.09999999999999999,320.0,0.06085745,1600.0,15
0.8386302,162947.78,170.02147,0.20134206,0.05166666666666667,0.059424695,0.05833333333333333,340.0,0.06089826,1700.0,16
0.83881027,176734.8,197.02159,0.20136464,0.08333333333333333,0.05960829,0.041666666666666664,360.0,0.060941186,1800.0,17
0.8388295,196488.83,189.60338,0.20136087,0.08333333333333333,0.05970764,0.05833333333333334,380.0,0.060979728,1900.0,18
0.8387902,217339.58,204.45583,0.20134063,0.075,0.060327817,0.08333333333333333,400.0,0.06101134,2000.0,19
0.8387435,219304.62,220.24782,0.20140226,0.06333333333333334,0.06129222,0.08333333333333333,420.0,0.061012056,2100.0,20
0.83879095,223392.55,203.94023,0.20143612,0.065,0.061784577,0.08333333333333333,440.0,0.06105673,2200.0,21
0.83868414,225022.95,226.98161,0.20139004,0.065,0.062195227,0.05833333333333334,460.0,0.06101723,2300.0,22
0.8387187,247514.62,248.84227,0.20135503,0.060000000000000005,0.06326518,0.06666666666666667,480.0,0.060978685,2400.0,23
0.83875275,268639.66,221.82043,0.20142747,0.06166666666666667,0.063884996,0.09999999999999999,500.0,0.060978327,2500.0,24
0.8387305,267857.28,242.11174,0.20144539,0.06,0.06402235,0.05000000000000001,520.0,0.060986713,2600.0,25
0.83866245,288581.12,241.57475,0.20143087,0.08666666666666667,0.064254396,0.075,540.0,0.061009318,2700.0,26
0.83873636,279417.0,225.39424,0.2014054,0.06666666666666667,0.06436331,0.11666666666666665,560.0,0.06098129,2800.0,27
0.83869046,277655.44,239.95607,0.20141281,0.051666666666666666,0.0647039,0.041666666666666664,580.0,0.06097986,2900.0,28
0.83861727,270818.03,243.31805,0.20139877,0.07166666666666666,0.06495133,0.041666666666666664,600.0,0.061005678,3000.0,29
0.83863115,289821.2,203.21428,0.20141624,0.07333333333333332,0.06510112,0.05000000000000001,620.0,0.06099895,3100.0,30
0.8385404,271753.72,237.66786,0.20142521,0.06333333333333334,0.06526427,0.05833333333333334,640.0,0.0610235,3200.0,31
0.838562,289145.1,224.24052,0.20146437,0.08,0.06544759,0.075,660.0,0.061006784,3300.0,32
0.83855265,253531.27,210.5301,0.20150034,0.06333333333333334,0.065829165,0.049999999999999996,680.0,0.06100264,3400.0,33
0.8385777,255052.31,203.89142,0.2014897,0.06833333333333334,0.065794066,0.06666666666666667,700.0,0.06099768,3500.0,34
