test/episode,test/success_rate,train/episode,stats_g/std,test/ag_g_dist,train/success_rate,stats_o/mean,train/critic_loss,stats_g/mean,stats_o/std,test/mean_Q,epoch
500.0,0.31666666666666665,2500.0,0.23201962,0.63783854,0.09166666666666667,0.19729187,0.13746582,0.38023448,0.84656435,-20.741789,24
520.0,0.19999999999999998,2600.0,0.23207605,0.7229398,0.08833333333333333,0.1969556,0.14127867,0.38021812,0.85254693,-23.99224,25
540.0,0.2583333333333333,2700.0,0.2320803,0.70539,0.09666666666666666,0.19659169,0.14353974,0.38016877,0.8578823,-23.252777,26
560.0,0.2416666666666667,2800.0,0.23220146,0.7157176,0.11166666666666668,0.1963516,0.14093,0.38005623,0.86318517,-23.84761,27
580.0,0.3333333333333333,2900.0,0.23207273,0.62731206,0.09500000000000001,0.1961094,0.14034516,0.38009557,0.86818236,-21.038193,28
600.0,0.275,3000.0,0.23188187,0.5798339,0.09999999999999999,0.19592528,0.16504505,0.37996683,0.8731916,-20.372358,29
620.0,0.325,3100.0,0.23165457,0.51930934,0.12666666666666668,0.1956924,0.15474093,0.38026476,0.87820405,-18.2052,30
640.0,0.20833333333333334,3200.0,0.23166756,0.62521905,0.12333333333333334,0.19550817,0.14768426,0.38027525,0.8827724,-21.158169,31
660.0,0.3333333333333333,3300.0,0.23147927,0.5124147,0.11166666666666665,0.19546245,0.15508558,0.38019547,0.88715035,-17.655722,32
680.0,0.35000000000000003,3400.0,0.23132195,0.4916135,0.12333333333333334,0.19524944,0.17322446,0.3802441,0.8914028,-17.49633,33
700.0,0.2833333333333334,3500.0,0.23120068,0.56150705,0.12166666666666666,0.19520633,0.16789669,0.38043603,0.8952654,-19.594112,34
720.0,0.31666666666666665,3600.0,0.231076,0.5210274,0.11833333333333333,0.19501527,0.19179428,0.38042602,0.8994408,-18.162443,35
740.0,0.4749999999999999,3700.0,0.23074484,0.5009915,0.1516666666666667,0.19482736,0.16214809,0.38047835,0.90315074,-17.229353,36
760.0,0.325,3800.0,0.23050113,0.5071099,0.1466666666666667,0.19475895,0.22418554,0.38073802,0.90667456,-17.992846,37
780.0,0.3833333333333333,3900.0,0.23024787,0.5839645,0.145,0.19462098,0.1600127,0.380807,0.910104,-20.174255,38
800.0,0.35000000000000003,4000.0,0.23001741,0.5794053,0.1466666666666667,0.19451107,0.19644558,0.38093403,0.91343147,-20.40204,39
820.0,0.48333333333333334,4100.0,0.22973146,0.4381846,0.1366666666666667,0.19436954,0.18235402,0.38095215,0.9168424,-13.851634,40
840.0,0.375,4200.0,0.22946416,0.48730955,0.17,0.19428883,0.15831648,0.38111886,0.919698,-16.315153,41
860.0,0.3583333333333334,4300.0,0.22917342,0.4747986,0.1633333333333333,0.19416972,0.1699385,0.38134757,0.922407,-15.66241,42
880.0,0.46666666666666673,4400.0,0.22888471,0.38398847,0.19333333333333336,0.19402672,0.18338007,0.38144234,0.92516416,-12.787824,43
900.0,0.425,4500.0,0.22863282,0.47512093,0.16666666666666666,0.19384737,0.1716748,0.38150296,0.9277304,-15.972264,44
920.0,0.525,4600.0,0.22846885,0.42022595,0.17833333333333332,0.19372909,0.17652003,0.38154316,0.9300472,-13.9794855,45
940.0,0.3833333333333333,4700.0,0.2282451,0.45582965,0.15833333333333333,0.19362222,0.18998301,0.38165483,0.9322215,-15.3471985,46
960.0,0.4166666666666667,4800.0,0.22801428,0.47069207,0.145,0.19351624,0.15130678,0.38175574,0.9344277,-15.363528,47
980.0,0.3666666666666667,4900.0,0.22801025,0.43883815,0.14333333333333334,0.19341274,0.17751157,0.3816789,0.93656707,-14.922928,48
1000.0,0.4749999999999999,5000.0,0.22785024,0.44299778,0.17666666666666667,0.19329326,0.1842577,0.38171968,0.9387171,-14.694489,49
