epoch,train/critic_loss,stats_o/mean,test/ag_g_dist,stats_g/mean,test/mean_Q,stats_o/std,test/success_rate,stats_g/std,train/success_rate,train/episode,test/episode
0,0.015637375,0.26410204,0.17852217,0.8807818,-1.3144826,0.03149803,0.016666666666666666,0.099191874,0.0,20.0,20.0
1,0.017594688,0.2643473,0.11948807,0.8812918,-1.5992457,0.028624212,0.20833333333333334,0.08886829,0.008333333333333333,40.0,40.0
2,0.028321952,0.26527792,0.10584682,0.8844659,-1.8451554,0.027458385,0.39166666666666666,0.08447841,0.025000000000000005,60.0,60.0
3,0.038314663,0.26583993,0.06668961,0.88697666,-1.8538843,0.02680934,0.7833333333333333,0.08210089,0.09166666666666667,80.0,80.0
4,0.046996266,0.26588282,0.054178387,0.8868061,-1.7651896,0.026599104,0.85,0.08103265,0.19166666666666668,100.0,100.0
5,0.04927154,0.26555553,0.042253215,0.8854194,-1.7048525,0.026769618,0.8333333333333334,0.08090822,0.21666666666666665,120.0,120.0
6,0.043105677,0.26517546,0.029666292,0.88381195,-1.6608137,0.027043387,0.9166666666666666,0.08078658,0.30833333333333335,140.0,140.0
7,0.042918086,0.26502824,0.019625878,0.8831788,-1.5090885,0.027341584,0.9333333333333332,0.08063813,0.35833333333333334,160.0,160.0
8,0.049436927,0.26481444,0.017939217,0.88233393,-1.5178732,0.027776131,0.9166666666666666,0.08113142,0.2916666666666667,180.0,180.0
9,0.04908253,0.26467317,0.011550755,0.88180846,-1.4896623,0.028114462,0.9166666666666666,0.08141163,0.3,200.0,200.0
