test/success_rate,stats_g/mean,train/success_rate,test/mean_Q,epoch,stats_o/mean,stats_g/std,test/ag_g_dist,train/critic_loss,stats_o/std,train/episode,test/episode
0.10000000000000002,0.8373272,0.05333333333333332,-2.568669,0,0.20104758,0.07078289,0.17486806,0.08372843,0.046474528,100.0,20.0
0.016666666666666666,0.83706236,0.08166666666666667,-4.7003064,1,0.20093775,0.0720915,0.18175177,0.084177494,0.050810713,200.0,40.0
0.041666666666666664,0.8372074,0.06333333333333334,-6.36488,2,0.20088814,0.07129603,0.16607098,0.07663708,0.049373966,300.0,60.0
0.06666666666666667,0.83778286,0.07166666666666667,-8.188251,3,0.20115404,0.07308152,0.17680733,0.080832906,0.049853038,400.0,80.0
0.075,0.8385637,0.08,-9.934674,4,0.20148183,0.07430992,0.17813171,0.08616644,0.051927906,500.0,100.0
0.075,0.8385238,0.065,-11.132896,5,0.20152114,0.07547239,0.16648316,0.084729455,0.052939266,600.0,120.0
0.10833333333333334,0.83832604,0.08333333333333333,-12.236949,6,0.2014095,0.075827025,0.16261554,0.08590623,0.054255594,700.0,140.0
0.16666666666666666,0.8386281,0.10833333333333334,-12.923739,7,0.20145185,0.07577749,0.16925494,0.087358855,0.054671038,800.0,160.0
0.10000000000000002,0.8386032,0.10000000000000002,-14.846675,8,0.20141757,0.07569835,0.16544597,0.112267576,0.055737454,900.0,180.0
0.19999999999999998,0.8383748,0.14833333333333334,-14.686233,9,0.20145462,0.076483496,0.17725581,0.12544087,0.05800246,1000.0,200.0
0.2833333333333333,0.8380613,0.225,-13.93357,10,0.20142485,0.076405525,0.15916233,0.11612459,0.06061418,1100.0,220.0
0.4666666666666666,0.837939,0.29,-10.9542465,11,0.20145462,0.076668665,0.12829387,0.14024667,0.06336453,1200.0,240.0
0.5666666666666667,0.837904,0.39333333333333337,-7.499407,12,0.2013256,0.07635667,0.1050187,0.12725072,0.0663073,1300.0,260.0
0.7166666666666667,0.8376462,0.6233333333333333,-6.0664735,13,0.20135081,0.076135695,0.094739564,0.14694376,0.06994655,1400.0,280.0
0.8416666666666667,0.83763576,0.745,-3.4015415,14,0.20149653,0.0757257,0.06860202,0.15124981,0.07316572,1500.0,300.0
0.9,0.8376327,0.7999999999999999,-3.020378,15,0.20154189,0.075587675,0.07216362,0.16517848,0.07577225,1600.0,320.0
0.9583333333333334,0.8376579,0.8233333333333333,-2.336839,16,0.20160587,0.07546612,0.06708064,0.14508337,0.078731164,1700.0,340.0
0.975,0.8378353,0.8816666666666667,-1.5587405,17,0.2017196,0.075216725,0.060439903,0.12657084,0.08059199,1800.0,360.0
0.9583333333333334,0.83788395,0.9116666666666667,-1.6540717,18,0.20189117,0.07517824,0.06233074,0.14872591,0.082829334,1900.0,380.0
0.9833333333333334,0.83790416,0.91,-1.4279245,19,0.20188648,0.07491754,0.05896674,0.12309089,0.08428353,2000.0,400.0
0.9833333333333334,0.83794236,0.8966666666666666,-1.3536319,20,0.20192672,0.074648164,0.057613242,0.16183747,0.08621294,2100.0,420.0
0.9583333333333334,0.8379895,0.9266666666666667,-1.392521,21,0.2018847,0.074356,0.057758313,0.10651391,0.08732935,2200.0,440.0
0.975,0.83794785,0.9433333333333334,-1.4795451,22,0.2019432,0.07411283,0.058529366,0.1412225,0.08888086,2300.0,460.0
0.9833333333333334,0.83800894,0.9266666666666667,-1.253215,23,0.20185788,0.07400166,0.05690677,0.11616007,0.090218164,2400.0,480.0
0.9916666666666667,0.83806705,0.9433333333333334,-1.2387499,24,0.20188802,0.073792875,0.056635186,0.117345035,0.09127233,2500.0,500.0
0.9916666666666667,0.83807063,0.9550000000000001,-1.1907655,25,0.20186631,0.07355529,0.056815166,0.09965771,0.092102386,2600.0,520.0
0.9833333333333334,0.83803034,0.9533333333333333,-1.1414393,26,0.20186253,0.07336552,0.05540518,0.09767214,0.09300694,2700.0,540.0
0.9916666666666667,0.8381312,0.9316666666666666,-1.1635503,27,0.20191567,0.0733104,0.052898694,0.09777088,0.0937551,2800.0,560.0
0.9916666666666667,0.83811516,0.9483333333333333,-1.2388136,28,0.20190771,0.07315087,0.05577899,0.11274149,0.094703235,2900.0,580.0
1.0,0.8380852,0.9550000000000001,-1.1806461,29,0.20189293,0.073038384,0.05631243,0.10749072,0.09534686,3000.0,600.0
