epoch,stats_g/mean,test/episode,train/episode,stats_g/std,train/critic_loss,stats_o/std,stats_o/mean,test/success_rate,test/ag_g_dist,train/success_rate,test/mean_Q
39,0.38482514,800.0,4000.0,0.23067583,0.33558357,0.90808874,0.19642313,0.2333333333333333,0.531613,0.10166666666666668,-18.210962
40,0.38495067,820.0,4100.0,0.23049708,0.3580623,0.91116387,0.1962101,0.21666666666666665,0.48393893,0.11166666666666668,-17.542051
41,0.38500026,840.0,4200.0,0.23022886,0.3489779,0.9136832,0.19604106,0.20833333333333334,0.5096173,0.11166666666666668,-17.635101
42,0.38505936,860.0,4300.0,0.23004593,0.3456157,0.9163286,0.19587885,0.125,0.52638006,0.10166666666666667,-18.036135
43,0.3852454,880.0,4400.0,0.22981514,0.34334818,0.9190703,0.1957504,0.2416666666666667,0.39740774,0.10666666666666669,-13.388494
44,0.38532206,900.0,4500.0,0.22960551,0.369625,0.921727,0.1955602,0.2833333333333333,0.50148034,0.12666666666666668,-17.067692
45,0.38548496,920.0,4600.0,0.22943173,0.336332,0.92416817,0.19537294,0.2916666666666667,0.45552167,0.13,-15.616879
46,0.38554052,940.0,4700.0,0.2292976,0.39861688,0.92658633,0.19520624,0.20833333333333334,0.5679919,0.11499999999999999,-20.90357
47,0.38561073,960.0,4800.0,0.22912006,0.3562883,0.9289716,0.1950353,0.35000000000000003,0.49651945,0.125,-15.969059
48,0.38562694,980.0,4900.0,0.22910337,0.36144838,0.93117094,0.19488299,0.25,0.5123393,0.12333333333333334,-18.447779
49,0.3857554,1000.0,5000.0,0.22889571,0.4334003,0.9333376,0.19475485,0.19999999999999998,0.48853168,0.145,-17.40206
