test/success_rate,train/reward_compute_count,test/mean_Q,test/episode,test/reward_compute_count,test/ag_g_dist,stats_o/mean,stats_o/std,stats_g/mean,epoch,stats_g/std,train/success_rate,train/episode,train/critic_loss
0.0,70000.0,-24.696777,280.0,14000.0,0.4550395,0.17696427,0.050872356,0.7435169,13,0.11372018,0.0,1400.0,0.00047469183
0.0,75000.0,-25.859156,300.0,15000.0,0.44033965,0.17698596,0.050707538,0.74354345,14,0.11358809,0.0,1500.0,0.00035493204
0.0,80000.0,-27.050476,320.0,16000.0,0.43792558,0.17702454,0.050723266,0.7436802,15,0.11333693,0.0016666666666666668,1600.0,0.00030581935
0.0,85000.0,-28.153023,340.0,17000.0,0.4293146,0.17701338,0.050589304,0.74371743,16,0.11329443,0.0033333333333333335,1700.0,0.00054046983
0.0,90000.0,-29.230957,360.0,18000.0,0.44780478,0.17703466,0.050425697,0.7438846,17,0.11327738,0.0033333333333333335,1800.0,0.00021793362
0.0,95000.0,-30.259018,380.0,19000.0,0.4518864,0.17707615,0.050421435,0.7439751,18,0.11310514,0.0016666666666666668,1900.0,0.00073294545
0.0,100000.0,-31.219496,400.0,20000.0,0.4574608,0.17706557,0.05035734,0.7439237,19,0.11294344,0.006666666666666667,2000.0,0.00043993155
0.008333333333333333,105000.0,-32.10206,420.0,21000.0,0.44017592,0.1770634,0.050391313,0.7439339,20,0.112743676,0.006666666666666667,2100.0,0.00017147769
0.0,110000.0,-32.96195,440.0,22000.0,0.4513531,0.17706849,0.050413173,0.74395305,21,0.11264936,0.005,2200.0,0.00027666058
0.008333333333333333,115000.0,-33.75674,460.0,23000.0,0.44085398,0.17703934,0.05032973,0.7439367,22,0.11268727,0.0,2300.0,0.00015492558
0.008333333333333333,120000.0,-34.61366,480.0,24000.0,0.45349404,0.17709132,0.05035628,0.7439769,23,0.11258092,0.005,2400.0,0.00048658755
0.008333333333333333,125000.0,-35.357872,500.0,25000.0,0.4182907,0.1770577,0.050605465,0.7440193,24,0.11271229,0.0033333333333333335,2500.0,0.00033017131
0.0,130000.0,-36.15617,520.0,26000.0,0.45181513,0.1770656,0.050550263,0.7441013,25,0.112819545,0.005,2600.0,0.0015498108
0.0,135000.0,-36.75824,540.0,27000.0,0.4426589,0.17702854,0.050483827,0.7441106,26,0.112635635,0.005,2700.0,0.0007541251
0.0,140000.0,-37.385952,560.0,28000.0,0.44016966,0.1770112,0.050543245,0.74402136,27,0.11288524,0.0033333333333333335,2800.0,0.0002447972
0.0,145000.0,-37.999065,580.0,29000.0,0.4246312,0.17698151,0.050658006,0.7439699,28,0.11298577,0.0016666666666666668,2900.0,0.00071198004
0.0,150000.0,-38.63604,600.0,30000.0,0.44968548,0.1769728,0.05087429,0.74389213,29,0.11342821,0.0033333333333333335,3000.0,0.00031670838
0.0,155000.0,-39.15917,620.0,31000.0,0.4343094,0.1769449,0.050776616,0.743844,30,0.113351166,0.005,3100.0,0.0003413388
0.0,160000.0,-39.64021,640.0,32000.0,0.41745737,0.17693992,0.050896745,0.74383694,31,0.11351032,0.0016666666666666668,3200.0,0.001433781
0.0,165000.0,-40.254227,660.0,33000.0,0.41418502,0.1769398,0.05083501,0.74381953,32,0.11349613,0.005,3300.0,0.0006659397
0.0,170000.0,-40.65873,680.0,34000.0,0.44778562,0.1769721,0.05084424,0.74382615,33,0.113619216,0.0016666666666666668,3400.0,0.0009878495
0.008333333333333333,175000.0,-41.17172,700.0,35000.0,0.44222823,0.17695577,0.05079006,0.74381304,34,0.11355296,0.005,3500.0,0.00054581946
0.0,180000.0,-41.66089,720.0,36000.0,0.4570707,0.17693569,0.050816488,0.7438352,35,0.11354815,0.005,3600.0,0.00018386771
0.0,185000.0,-42.054745,740.0,37000.0,0.45794332,0.17691414,0.050856013,0.74373776,36,0.113692544,0.008333333333333333,3700.0,0.0009419887
0.0,190000.0,-42.51822,760.0,38000.0,0.4414935,0.17691694,0.05084999,0.7436902,37,0.113695405,0.005,3800.0,0.0014064088
0.0,195000.0,-42.833508,780.0,39000.0,0.42761183,0.17693728,0.05077396,0.7437475,38,0.113645196,0.005,3900.0,0.0006931979
0.0,200000.0,-43.20251,800.0,40000.0,0.475919,0.17693001,0.05072062,0.74371535,39,0.11364398,0.0,4000.0,0.00080871704
0.008333333333333333,205000.0,-43.493633,820.0,41000.0,0.44724226,0.17692773,0.050801445,0.7436742,40,0.113835625,0.0016666666666666668,4100.0,0.001169487
0.0,210000.0,-43.804142,840.0,42000.0,0.47206506,0.1769268,0.050828025,0.743676,41,0.11392159,0.0016666666666666668,4200.0,0.0005349641
0.008333333333333333,215000.0,-44.138706,860.0,43000.0,0.42366862,0.17691958,0.050954547,0.7436096,42,0.11396552,0.005,4300.0,0.00058502634
0.0,220000.0,-44.467926,880.0,44000.0,0.44256914,0.17692655,0.051129345,0.7435996,43,0.11427245,0.005,4400.0,0.00028402044
0.0,225000.0,-44.73288,900.0,45000.0,0.45863166,0.17692505,0.051209692,0.743584,44,0.11444726,0.0016666666666666668,4500.0,0.00031337916
0.0,230000.0,-45.03316,920.0,46000.0,0.44023934,0.17691831,0.051210266,0.7436168,45,0.114453904,0.005,4600.0,0.00061761215
0.0,235000.0,-45.31708,940.0,47000.0,0.4517263,0.17690128,0.051315065,0.74355245,46,0.114618294,0.0016666666666666668,4700.0,0.0009639982
0.008333333333333333,240000.0,-45.50891,960.0,48000.0,0.43565688,0.1769113,0.05136879,0.7435818,47,0.1146296,0.0033333333333333335,4800.0,0.00092184026
0.008333333333333333,245000.0,-45.76018,980.0,49000.0,0.43417978,0.17690752,0.051452234,0.74356383,48,0.11477903,0.0033333333333333335,4900.0,0.0009309884
0.0,250000.0,-45.969982,1000.0,50000.0,0.46856108,0.17689358,0.051588792,0.74355155,49,0.11491396,0.0016666666666666668,5000.0,0.00025657527
0.008333333333333333,255000.0,-46.152084,1020.0,51000.0,0.45632425,0.17690544,0.051615432,0.74356526,50,0.11493477,0.0016666666666666668,5100.0,0.004753282
0.0,260000.0,-46.388428,1040.0,52000.0,0.43296066,0.17686813,0.051611733,0.7435453,51,0.11495405,0.0016666666666666668,5200.0,0.00043888114
0.0,265000.0,-46.547733,1060.0,53000.0,0.46301165,0.17685217,0.051699534,0.74348,52,0.11511441,0.0,5300.0,0.00062223146
0.0,270000.0,-46.6019,1080.0,54000.0,0.44423425,0.1768501,0.051674385,0.74351305,53,0.11511464,0.008333333333333333,5400.0,0.0018211883
0.0,275000.0,-46.886837,1100.0,55000.0,0.4554514,0.17685474,0.05161805,0.7435654,54,0.115095474,0.005,5500.0,0.002313315
0.0,280000.0,-47.095158,1120.0,56000.0,0.43551287,0.17682683,0.051681083,0.7435427,55,0.11523832,0.0,5600.0,0.0030006552
0.008333333333333333,285000.0,-47.217144,1140.0,57000.0,0.45158276,0.17683004,0.051761966,0.74349946,56,0.115419984,0.0033333333333333335,5700.0,0.0017841124
0.008333333333333333,290000.0,-47.39426,1160.0,58000.0,0.48831913,0.17683838,0.051746964,0.7435,57,0.115391515,0.0016666666666666668,5800.0,0.00024604987
0.016666666666666666,295000.0,-47.48711,1180.0,59000.0,0.44826832,0.17683424,0.051783904,0.7434283,58,0.11549888,0.0016666666666666668,5900.0,0.0004807267
0.0,300000.0,-47.695904,1200.0,60000.0,0.4524791,0.17683505,0.051787186,0.7434332,59,0.11552871,0.006666666666666667,6000.0,0.0008713911
