test/success_rate,train/reward_compute_count,test/mean_Q,test/episode,test/reward_compute_count,test/ag_g_dist,stats_o/mean,stats_o/std,stats_g/mean,epoch,stats_g/std,train/success_rate,train/episode,train/critic_loss
0.0,5000.0,-2.5459273,20.0,1000.0,0.47848162,0.17696957,0.05878673,0.74063295,0,0.12446613,0.0016666666666666668,100.0,0.00027834877
0.0,10000.0,-4.6291947,40.0,2000.0,0.44879922,0.1764502,0.05614735,0.74185944,1,0.121866286,0.0,200.0,0.00024545615
0.0,15000.0,-6.695434,60.0,3000.0,0.42670575,0.17670481,0.055242404,0.7424839,2,0.12074274,0.0033333333333333335,300.0,0.0001845301
0.0,20000.0,-8.699092,80.0,4000.0,0.46297097,0.17696135,0.053880807,0.7430868,3,0.118565835,0.0,400.0,0.00020879864
0.008333333333333333,25000.0,-10.627696,100.0,5000.0,0.44475377,0.17722319,0.053364333,0.74377126,4,0.11750787,0.008333333333333333,500.0,0.00024886118
0.0,30000.0,-12.491722,120.0,6000.0,0.46957684,0.17712612,0.053019296,0.7432731,5,0.1167658,0.0016666666666666668,600.0,0.00048518716
0.008333333333333333,35000.0,-14.292843,140.0,7000.0,0.45383856,0.17717488,0.052255202,0.74359435,6,0.11551767,0.0016666666666666668,700.0,0.00019174402
0.0,40000.0,-15.959477,160.0,8000.0,0.4086361,0.1771364,0.051772878,0.7437556,7,0.115151756,0.0,800.0,0.00026435658
0.0,45000.0,-17.60016,180.0,9000.0,0.45638156,0.17701931,0.051638115,0.7435684,8,0.115044326,0.0033333333333333335,900.0,0.00026835027
0.0,50000.0,-19.146069,200.0,10000.0,0.45483336,0.1770673,0.051546693,0.7434547,9,0.11462995,0.0033333333333333335,1000.0,0.0002181315
0.0,55000.0,-20.63844,220.0,11000.0,0.4557692,0.17700128,0.051366445,0.74338514,10,0.11451336,0.005,1100.0,0.00022591063
0.008333333333333333,60000.0,-22.02108,240.0,12000.0,0.47181955,0.17693172,0.051012564,0.74343795,11,0.11397182,0.008333333333333333,1200.0,0.00026629266
0.0,65000.0,-23.371302,260.0,13000.0,0.45488968,0.17695923,0.050951082,0.74357337,12,0.11397385,0.005,1300.0,0.00038952625
