train/success_rate,train/episode,test/episode,stats_o/mean,epoch,stats_g/std,test/ag_g_dist,train/critic_loss,test/mean_Q,test/success_rate,stats_g/mean,stats_o/std
0.0,2300.0,460.0,0.19504623,22,0.24130522,0.6649429,0.3396739,-24.797861,0.008333333333333333,0.3728067,0.8424179
0.0,2400.0,480.0,0.19454817,23,0.24126853,0.6247042,0.33860818,-24.978811,0.0,0.37265095,0.84828526
0.0,2500.0,500.0,0.19416837,24,0.2411771,0.6259513,0.38276306,-24.54925,0.0,0.37287286,0.8542816
0.0,2600.0,520.0,0.19377212,25,0.24093704,0.65609306,0.42286786,-25.910126,0.0,0.37295008,0.859809
0.0,2700.0,540.0,0.19355367,26,0.24082251,0.6286905,0.4378251,-25.808851,0.0,0.37317005,0.8654644
0.0,2800.0,560.0,0.193379,27,0.24059077,0.5967279,0.40168473,-25.22352,0.0,0.37319836,0.87081844
0.0,2900.0,580.0,0.19321805,28,0.24037947,0.58354497,0.4404931,-25.399176,0.0,0.37343648,0.8759214
0.0,3000.0,600.0,0.1931134,29,0.24027462,0.594768,0.41909692,-24.723587,0.0,0.3734807,0.8809419
0.0,3100.0,620.0,0.19298302,30,0.2401006,0.5857837,0.5202306,-25.919235,0.0,0.3735622,0.88567847
0.0,3200.0,640.0,0.19297786,31,0.24000536,0.5470471,0.63303965,-24.109522,0.0,0.37370273,0.889978
0.0,3300.0,660.0,0.19293164,32,0.24000001,0.6265636,0.44091716,-28.67688,0.0,0.37374213,0.89413756
0.0,3400.0,680.0,0.1928492,33,0.2398334,0.6036679,0.45381323,-28.607086,0.008333333333333333,0.3738776,0.8982709
0.0,3500.0,700.0,0.19284616,34,0.23966177,0.5717911,0.5926378,-23.40095,0.0,0.37388825,0.9018329
0.0,3600.0,720.0,0.19278194,35,0.23950107,0.54544765,0.52769566,-26.045202,0.0,0.37387404,0.9055783
0.0,3700.0,740.0,0.19268118,36,0.23934515,0.50258946,0.4536942,-24.022806,0.0,0.37396947,0.9090714
0.0,3800.0,760.0,0.19258995,37,0.23925166,0.51593786,0.4764347,-24.557884,0.0,0.37401262,0.9122613
0.0016666666666666668,3900.0,780.0,0.19253881,38,0.23916404,0.54757696,0.6007659,-24.598963,0.008333333333333333,0.3740863,0.91525316
0.0,4000.0,800.0,0.19241148,39,0.23910703,0.50305706,0.46275663,-22.745474,0.0,0.3740959,0.91834545
0.0,4100.0,820.0,0.19226141,40,0.23887606,0.46631077,0.6013723,-21.801077,0.0,0.37421718,0.92148024
0.0,4200.0,840.0,0.19221835,41,0.23877685,0.45375648,0.4733269,-20.489183,0.0,0.37429658,0.9244463
0.0,4300.0,860.0,0.19213621,42,0.23880665,0.48434517,0.5207774,-22.422829,0.0,0.37418342,0.9271998
0.0,4400.0,880.0,0.19208677,43,0.23869832,0.47575805,0.5474775,-21.796408,0.008333333333333333,0.37437892,0.929908
0.0,4500.0,900.0,0.19198723,44,0.23863888,0.45856133,0.6230463,-21.021986,0.0,0.3742467,0.9324405
0.0,4600.0,920.0,0.19195324,45,0.23864973,0.39900026,0.68266326,-20.23635,0.0,0.37435022,0.9349489
0.0,4700.0,940.0,0.19193518,46,0.23858298,0.4773589,0.6612281,-22.055151,0.0,0.37440935,0.93741065
0.0,4800.0,960.0,0.19184716,47,0.23852396,0.53155226,1.0117816,-25.16194,0.0,0.37446317,0.9397333
0.0,4900.0,980.0,0.19170268,48,0.23844235,0.4545711,0.6586122,-20.88777,0.0,0.37437168,0.9418672
0.0,5000.0,1000.0,0.19155292,49,0.23836239,0.43394077,0.74252605,-20.64576,0.0,0.37428227,0.943872
