epoch,stats_o/std,test/episode,train/critic_loss,test/success_rate,train/success_rate,test/ag_g_dist,stats_g/mean,stats_g/std,stats_o/mean,test/mean_Q,train/episode
33,0.10473237,680.0,0.19747715,0.5833333333333333,0.265,0.14006034,0.84606034,0.10191804,0.20389183,-15.252593,3400.0
34,0.10452955,700.0,0.105490126,0.5916666666666667,0.25,0.14509664,0.84606385,0.10176489,0.2039234,-15.439424,3500.0
35,0.10428462,720.0,0.13604085,0.625,0.26833333333333337,0.14504386,0.84612966,0.1016235,0.20396765,-14.656906,3600.0
36,0.104217626,740.0,0.18724062,0.6166666666666666,0.24833333333333332,0.13919662,0.84611803,0.10145261,0.20400508,-15.2273445,3700.0
37,0.103921644,760.0,0.12507136,0.5666666666666667,0.26833333333333337,0.12921228,0.8461542,0.10126093,0.20402779,-15.362225,3800.0
38,0.103687376,780.0,0.13636512,0.6,0.22666666666666668,0.13765252,0.8461506,0.1012067,0.20401306,-16.274153,3900.0
39,0.10341015,800.0,0.1565526,0.625,0.2783333333333334,0.14026372,0.84611005,0.10096451,0.20402916,-16.272602,4000.0
40,0.103200056,820.0,0.16800885,0.5666666666666667,0.25833333333333336,0.14806587,0.8461709,0.100771,0.20405965,-17.38021,4100.0
41,0.10309225,840.0,0.16968293,0.6749999999999999,0.26333333333333336,0.12674426,0.8461871,0.100666136,0.20405775,-15.768837,4200.0
42,0.102983736,860.0,0.16996141,0.6083333333333333,0.22333333333333336,0.13349633,0.84621245,0.10062312,0.20407897,-17.34523,4300.0
43,0.10274192,880.0,0.13324316,0.625,0.25666666666666665,0.12041342,0.84622455,0.10049659,0.2041137,-16.291513,4400.0
44,0.102621175,900.0,0.23079693,0.575,0.25166666666666665,0.16024624,0.84619254,0.10045135,0.20411919,-20.019064,4500.0
45,0.102608174,920.0,0.1599347,0.6416666666666667,0.25833333333333336,0.13625233,0.84621906,0.10042882,0.20415573,-16.91115,4600.0
46,0.10249981,940.0,0.15149948,0.6333333333333334,0.2516666666666667,0.1383173,0.8462221,0.100450896,0.20414299,-18.185888,4700.0
47,0.102301575,960.0,0.15352166,0.5833333333333334,0.26833333333333337,0.15066664,0.8462431,0.10033616,0.20413762,-19.042933,4800.0
48,0.1021398,980.0,0.62917566,0.6666666666666666,0.26333333333333336,0.11649794,0.8462541,0.10025113,0.20417613,-16.180017,4900.0
49,0.10212705,1000.0,0.16688703,0.5583333333333332,0.2333333333333333,0.14260419,0.8462147,0.10016477,0.20416898,-19.276386,5000.0
50,0.10210005,1020.0,0.1293887,0.6166666666666667,0.23333333333333336,0.14485957,0.84624773,0.10008514,0.2041872,-18.420664,5100.0
51,0.102056414,1040.0,0.13048393,0.5583333333333333,0.25166666666666665,0.15621348,0.8462418,0.100031056,0.20418626,-20.78522,5200.0
52,0.1019986,1060.0,0.15509656,0.5916666666666667,0.24,0.16112968,0.8462673,0.10000207,0.20417805,-20.554203,5300.0
53,0.10191635,1080.0,0.19488466,0.65,0.29,0.13203274,0.8462479,0.09989047,0.20418398,-18.514936,5400.0
54,0.1018767,1100.0,0.16234644,0.7000000000000001,0.25333333333333335,0.12991065,0.8462135,0.09987828,0.2042024,-17.71107,5500.0
55,0.101905264,1120.0,0.14884079,0.6749999999999999,0.25166666666666665,0.121379696,0.8463216,0.09993889,0.20427527,-17.228216,5600.0
56,0.101784356,1140.0,0.14322437,0.6833333333333332,0.2333333333333333,0.110409,0.8463599,0.09985427,0.20429237,-17.2377,5700.0
57,0.10174632,1160.0,0.19794635,0.7166666666666667,0.23666666666666666,0.11202186,0.84639114,0.09983792,0.2043134,-17.851477,5800.0
58,0.10171344,1180.0,0.13281348,0.7166666666666667,0.2316666666666667,0.123062454,0.8464146,0.09979702,0.20433976,-15.360808,5900.0
59,0.101733536,1200.0,0.68832326,0.7166666666666667,0.24666666666666667,0.11719171,0.8464053,0.09982878,0.2043374,-14.047519,6000.0
60,0.10172864,1220.0,0.18184946,0.6750000000000002,0.2383333333333333,0.117760874,0.84634614,0.0998492,0.20433621,-16.13858,6100.0
61,0.10171018,1240.0,0.13876964,0.7583333333333333,0.22999999999999998,0.11512949,0.8463416,0.09979686,0.20435256,-15.153789,6200.0
62,0.101702936,1260.0,0.42242023,0.6833333333333332,0.23166666666666666,0.12279391,0.8463416,0.0997128,0.20434691,-15.906868,6300.0
63,0.10176673,1280.0,0.25505784,0.6833333333333335,0.24833333333333338,0.10767367,0.84631675,0.09965429,0.20429946,-15.657486,6400.0
64,0.10171948,1300.0,0.19288592,0.7083333333333334,0.2366666666666667,0.126307,0.84634405,0.09961245,0.20431267,-16.494791,6500.0
65,0.1016706,1320.0,0.13412303,0.6333333333333334,0.245,0.1451246,0.84632367,0.09955552,0.20432526,-18.005568,6600.0
66,0.10156822,1340.0,0.14016038,0.6916666666666668,0.25666666666666665,0.12318369,0.84634155,0.099497765,0.20432562,-16.042933,6700.0
67,0.10159462,1360.0,0.38091168,0.6333333333333333,0.23,0.13711621,0.8463635,0.09950844,0.20434256,-19.067947,6800.0
68,0.10153597,1380.0,0.3732175,0.6916666666666668,0.24,0.12166118,0.84633857,0.099437825,0.20433863,-16.560614,6900.0
69,0.10147235,1400.0,0.107611835,0.6750000000000002,0.24166666666666667,0.12499681,0.84634924,0.099428006,0.20435496,-17.13566,7000.0
70,0.10146818,1420.0,0.26678243,0.6666666666666666,0.255,0.112881936,0.84636974,0.09934446,0.20436895,-16.600258,7100.0
71,0.10144032,1440.0,0.23077829,0.75,0.25333333333333335,0.0835315,0.8464322,0.09931936,0.20438701,-12.806119,7200.0
72,0.101477794,1460.0,0.12021243,0.7000000000000001,0.21333333333333335,0.10237664,0.8464771,0.09930486,0.20438004,-14.349742,7300.0
73,0.1014327,1480.0,0.12755777,0.775,0.22666666666666668,0.08235851,0.84648275,0.099295534,0.2043898,-12.208631,7400.0
74,0.10141823,1500.0,0.21785206,0.7999999999999999,0.21166666666666667,0.06864894,0.84654146,0.09923807,0.20441979,-9.84927,7500.0
75,0.10135177,1520.0,0.15565959,0.625,0.24500000000000002,0.11661128,0.8465664,0.099212825,0.20442294,-16.121824,7600.0
76,0.101374425,1540.0,0.2026195,0.7083333333333334,0.27666666666666667,0.113462925,0.8465977,0.099211745,0.20444284,-15.091779,7700.0
77,0.10143172,1560.0,0.7221796,0.7583333333333333,0.275,0.097457625,0.8466342,0.099202484,0.20445108,-13.993855,7800.0
78,0.101457335,1580.0,0.13927124,0.6083333333333333,0.22333333333333336,0.13232236,0.8466703,0.09919411,0.20448057,-17.509382,7900.0
79,0.10143891,1600.0,0.17435203,0.7166666666666668,0.24833333333333332,0.09654208,0.84673244,0.09915561,0.20448188,-13.218231,8000.0
80,0.101402916,1620.0,0.14571188,0.7083333333333334,0.25166666666666665,0.106029965,0.8467216,0.09912289,0.2045045,-13.477849,8100.0
81,0.10138842,1640.0,0.13783062,0.6916666666666668,0.235,0.11631605,0.84673816,0.09915417,0.20450921,-14.541358,8200.0
82,0.101380825,1660.0,0.4721981,0.7000000000000001,0.26666666666666666,0.11547024,0.8467451,0.09913313,0.2045182,-15.144036,8300.0
83,0.10140854,1680.0,0.8144698,0.7416666666666666,0.22,0.10206473,0.8467803,0.09919235,0.20452861,-12.116519,8400.0
84,0.101341136,1700.0,0.15760727,0.7166666666666667,0.25333333333333335,0.10409641,0.84679985,0.09911355,0.20453025,-12.951385,8500.0
85,0.10131834,1720.0,0.15046519,0.7166666666666667,0.22833333333333336,0.112737715,0.8468059,0.09907633,0.20452254,-13.766911,8600.0
86,0.101324774,1740.0,0.9339058,0.7416666666666667,0.24666666666666667,0.10898262,0.84683174,0.099100955,0.20454924,-12.834412,8700.0
87,0.10134679,1760.0,0.26594275,0.7583333333333333,0.24333333333333332,0.10358932,0.8468847,0.09909862,0.2045575,-11.862628,8800.0
88,0.10138174,1780.0,0.13260183,0.7333333333333334,0.235,0.1171717,0.84689766,0.09912053,0.2045428,-14.02534,8900.0
89,0.10137864,1800.0,0.20931412,0.7333333333333334,0.255,0.10128472,0.84690046,0.09910396,0.2045322,-13.362758,9000.0
90,0.10141293,1820.0,0.20596488,0.6916666666666668,0.2383333333333333,0.114541076,0.8469134,0.09913695,0.20453043,-14.730216,9100.0
91,0.10145647,1840.0,0.16985857,0.6749999999999999,0.22833333333333336,0.10587859,0.84695596,0.09916004,0.20455332,-14.685702,9200.0
92,0.1014811,1860.0,0.15472841,0.6333333333333334,0.27,0.109217145,0.8469936,0.09919277,0.20455992,-14.498444,9300.0
93,0.101530395,1880.0,0.20676953,0.725,0.25,0.078744814,0.8470049,0.099214725,0.20455968,-10.926491,9400.0
94,0.10155787,1900.0,0.1682228,0.7000000000000001,0.2333333333333333,0.11335492,0.84701633,0.09922558,0.20458777,-13.58982,9500.0
95,0.10160156,1920.0,0.16781998,0.75,0.24666666666666667,0.08554906,0.8470437,0.09924764,0.204601,-11.114287,9600.0
96,0.101684235,1940.0,0.1986665,0.75,0.19666666666666666,0.08451581,0.8471015,0.099273495,0.20460908,-10.482794,9700.0
97,0.10173235,1960.0,0.1591649,0.7833333333333333,0.24333333333333332,0.087061144,0.84716076,0.09932091,0.20461357,-10.553445,9800.0
98,0.101766236,1980.0,0.17501189,0.7083333333333334,0.25666666666666665,0.075864345,0.8472252,0.099351496,0.20464323,-10.505122,9900.0
99,0.101775855,2000.0,0.2129826,0.7583333333333333,0.25666666666666665,0.086078286,0.84723526,0.09938089,0.20463543,-9.96688,10000.0
