test/mean_Q,stats_g/mean,test/success_rate,train/success_rate,stats_o/mean,stats_o/std,epoch,test/ag_g_dist,train/episode,test/episode,stats_g/std,train/critic_loss
-2.0172162,0.37582287,0.0,0.0,0.19749595,0.7477874,0,0.99416447,100.0,20.0,0.22954737,0.041827064
-4.178467,0.38053545,0.0,0.0,0.20218097,0.74983627,1,0.99105316,200.0,40.0,0.23125033,0.040673446
-6.3062954,0.38069376,0.0,0.0,0.2006454,0.7486171,2,0.94664127,300.0,60.0,0.2324806,0.035509374
-8.483991,0.38101915,0.0,0.0016666666666666668,0.19994056,0.7477877,3,1.0291523,400.0,80.0,0.23199193,0.035365876
-10.592783,0.38136077,0.0,0.0016666666666666668,0.20008533,0.74677926,4,0.97829944,500.0,100.0,0.23150523,0.036110047
-12.5456915,0.3808713,0.0,0.0,0.19999595,0.7455695,5,1.0147419,600.0,120.0,0.23211665,0.04017366
-14.591445,0.38113967,0.0,0.0,0.20002492,0.7458236,6,1.0837815,700.0,140.0,0.23207445,0.03894512
-15.851841,0.381246,0.0,0.0,0.20021571,0.7466058,7,0.9838824,800.0,160.0,0.23163278,0.04543272
-16.770758,0.3812336,0.0,0.0,0.19997966,0.748173,8,0.929478,900.0,180.0,0.23154788,0.053083524
-19.101673,0.38139558,0.008333333333333333,0.0,0.19981934,0.7500238,9,1.011329,1000.0,200.0,0.23183377,0.050371025
-20.25134,0.38132223,0.008333333333333333,0.0,0.19971041,0.75246257,10,0.9730587,1100.0,220.0,0.2324514,0.058938574
-22.131912,0.38102484,0.0,0.0016666666666666668,0.19965868,0.75419813,11,1.0196389,1200.0,240.0,0.23316391,0.058560144
-22.422575,0.38104925,0.0,0.0016666666666666668,0.19971055,0.75723225,12,0.9885327,1300.0,260.0,0.23368318,0.063447714
-24.514109,0.38054523,0.0,0.0,0.19955458,0.7602815,13,1.0179005,1400.0,280.0,0.23418908,0.056664694
-26.342524,0.37998196,0.008333333333333333,0.0,0.19936307,0.76350003,14,1.0390385,1500.0,300.0,0.23492236,0.05905989
-25.8884,0.37957272,0.016666666666666666,0.0,0.19905454,0.767195,15,0.92983145,1600.0,320.0,0.23536982,0.06452895
-28.255247,0.37868962,0.008333333333333333,0.0,0.19876797,0.7710292,16,0.93907374,1700.0,340.0,0.23586078,0.0687173
-29.981604,0.37828135,0.0,0.0,0.19846745,0.77476555,17,1.0332252,1800.0,360.0,0.23636854,0.068219505
-28.811577,0.3776352,0.0,0.0033333333333333335,0.19814123,0.7787766,18,0.97647953,1900.0,380.0,0.23732822,0.07307315
-28.107733,0.37713632,0.008333333333333333,0.0,0.19795768,0.7833188,19,0.87740993,2000.0,400.0,0.23813088,0.070827216
-29.974182,0.37683657,0.0,0.0016666666666666668,0.19760032,0.7888821,20,0.8968021,2100.0,420.0,0.23873721,0.08968916
-31.209349,0.3763682,0.008333333333333333,0.0016666666666666668,0.19734053,0.7940058,21,0.90691394,2200.0,440.0,0.23905198,0.08996346
-30.975485,0.3758184,0.016666666666666666,0.0,0.19714469,0.7987302,22,0.88440615,2300.0,460.0,0.23939495,0.11537534
-30.73422,0.37514976,0.0,0.0,0.19698347,0.80383724,23,0.83225155,2400.0,480.0,0.23997886,0.11988423
-29.877165,0.37500146,0.008333333333333333,0.0,0.1968822,0.8097699,24,0.8340926,2500.0,500.0,0.24018742,0.09791744
-33.83452,0.37495184,0.025000000000000005,0.0016666666666666668,0.19686061,0.8150332,25,0.9555068,2600.0,520.0,0.24033697,0.1331958
-31.975039,0.37497738,0.016666666666666666,0.0016666666666666668,0.19670828,0.820445,26,0.8741873,2700.0,540.0,0.2404611,0.11745026
-31.712797,0.37498477,0.008333333333333333,0.008333333333333333,0.19655268,0.82586795,27,0.85818464,2800.0,560.0,0.2403952,0.15129083
-32.422287,0.37493086,0.008333333333333333,0.0,0.19637685,0.831085,28,0.83189803,2900.0,580.0,0.24033244,0.099300206
-32.307926,0.37489864,0.016666666666666666,0.0016666666666666668,0.1962379,0.8359882,29,0.84683627,3000.0,600.0,0.24033372,0.16960438
-30.854988,0.37472114,0.041666666666666664,0.0033333333333333335,0.1959515,0.8407443,30,0.8119037,3100.0,620.0,0.24033912,0.1502348
-32.13712,0.37460986,0.008333333333333333,0.006666666666666667,0.19585742,0.8449859,31,0.82010055,3200.0,640.0,0.24046265,0.13138354
-31.871323,0.37452945,0.008333333333333333,0.0033333333333333335,0.19575465,0.8489931,32,0.78068185,3300.0,660.0,0.24042518,0.14779904
-33.840527,0.3746057,0.008333333333333333,0.005,0.19556932,0.85368556,33,0.8797781,3400.0,680.0,0.24035563,0.15969022
-32.82462,0.37451074,0.008333333333333333,0.0033333333333333335,0.19540273,0.8577134,34,0.83267325,3500.0,700.0,0.2403559,0.15918158
-34.976585,0.3743566,0.03333333333333333,0.0033333333333333335,0.19516431,0.8620336,35,0.80046254,3600.0,720.0,0.24042319,0.19627078
-29.666878,0.37443328,0.016666666666666666,0.0016666666666666668,0.19494309,0.8661521,36,0.734525,3700.0,740.0,0.24035783,0.1611451
-31.857576,0.37433204,0.008333333333333333,0.005,0.19468172,0.8701575,37,0.7788491,3800.0,760.0,0.24027956,0.24221511
-31.499884,0.37425223,0.016666666666666666,0.0033333333333333335,0.19440532,0.8738055,38,0.78878254,3900.0,780.0,0.24024133,0.20211208
-33.68961,0.37403002,0.008333333333333333,0.0016666666666666668,0.19414802,0.87778234,39,0.79909474,4000.0,800.0,0.24013291,0.16048856
-26.521463,0.374028,0.03333333333333333,0.0033333333333333335,0.19407056,0.88165325,40,0.6849372,4100.0,820.0,0.239994,0.21474124
-33.13509,0.37406185,0.008333333333333333,0.0016666666666666668,0.19391829,0.88518983,41,0.7973947,4200.0,840.0,0.23986782,0.17385988
-28.104195,0.3740337,0.008333333333333333,0.0016666666666666668,0.19367065,0.8885594,42,0.7101256,4300.0,860.0,0.23990636,0.18249309
-31.023237,0.37402764,0.008333333333333333,0.0016666666666666668,0.19343553,0.8916504,43,0.7693576,4400.0,880.0,0.23991834,0.19535513
-32.51394,0.37401894,0.008333333333333333,0.0033333333333333335,0.19321398,0.8947418,44,0.771791,4500.0,900.0,0.23981954,0.19451547
-25.323202,0.37406012,0.05000000000000001,0.0016666666666666668,0.19306119,0.8975672,45,0.60869235,4600.0,920.0,0.23979497,0.16363768
-30.65689,0.3740112,0.008333333333333333,0.005,0.19289337,0.9003164,46,0.7071974,4700.0,940.0,0.23974629,0.1827709
-28.424057,0.37394547,0.016666666666666666,0.0016666666666666668,0.19262439,0.90320945,47,0.6611063,4800.0,960.0,0.23967297,0.17622493
-31.237371,0.37387428,0.0,0.005,0.19241102,0.90594655,48,0.75932485,4900.0,980.0,0.2395608,0.20948859
-30.035334,0.3738222,0.0,0.0016666666666666668,0.19230019,0.90868145,49,0.7378699,5000.0,1000.0,0.23952119,0.24545884
