stats_o/std,epoch,test/mean_Q,test/success_rate,stats_g/std,test/ag_g_dist,test/reward_compute_count,train/success_rate,train/episode,train/critic_loss,stats_o/mean,test/episode,train/reward_compute_count,stats_g/mean
0.71257657,0,-2.8958652,0.0,0.13807942,0.9958746,1000.0,0.0,100.0,0.053602684,0.2073326,20.0,5000.0,0.36034837
0.71013993,1,-5.0536304,0.0,0.14091565,0.9826564,2000.0,0.0,200.0,0.058617193,0.20743753,40.0,10000.0,0.3586199
0.7081365,2,-6.9833283,0.0,0.14259198,0.9431059,3000.0,0.0,300.0,0.077749856,0.20559108,60.0,15000.0,0.35814008
0.70698947,3,-8.760212,0.0,0.14418578,0.95242757,4000.0,0.0,400.0,0.07652479,0.20454185,80.0,20000.0,0.35765585
0.7072361,4,-10.413216,0.008333333333333333,0.14430472,0.92811775,5000.0,0.0016666666666666668,500.0,0.08291105,0.20430155,100.0,25000.0,0.3574396
0.7077659,5,-11.966777,0.0,0.14454126,0.9142358,6000.0,0.0016666666666666668,600.0,0.08377462,0.20418806,120.0,30000.0,0.35758272
0.7122448,6,-13.36855,0.016666666666666666,0.14517787,0.95955294,7000.0,0.0016666666666666668,700.0,0.08713458,0.20408534,140.0,35000.0,0.35766926
0.7190829,7,-14.610518,0.0,0.14680883,0.9380522,8000.0,0.0,800.0,0.08469548,0.20407782,160.0,40000.0,0.3574392
0.72807926,8,-15.106753,0.0,0.14788945,0.92232615,9000.0,0.0,900.0,0.10328424,0.20368874,180.0,45000.0,0.35726294
0.736101,9,-15.779381,0.016666666666666666,0.1486651,0.8842614,10000.0,0.0,1000.0,0.09484658,0.20396845,200.0,50000.0,0.35752246
0.74224585,10,-16.496193,0.0,0.14926709,0.9082026,11000.0,0.0016666666666666668,1100.0,0.09355027,0.20386569,220.0,55000.0,0.3578761
0.74770194,11,-17.97986,0.008333333333333333,0.15021825,0.9246452,12000.0,0.005,1200.0,0.110592365,0.20364313,240.0,60000.0,0.3584135
0.75310874,12,-17.913492,0.008333333333333333,0.15130267,0.89965576,13000.0,0.0016666666666666668,1300.0,0.12090991,0.20380203,260.0,65000.0,0.358672
0.7597709,13,-18.53084,0.008333333333333333,0.15237476,0.89539963,14000.0,0.0033333333333333335,1400.0,0.10088583,0.20394088,280.0,70000.0,0.35907555
0.76537746,14,-19.30919,0.008333333333333333,0.15314053,0.89493656,15000.0,0.0,1500.0,0.10894602,0.20395823,300.0,75000.0,0.3595794
0.76975626,15,-20.444618,0.016666666666666666,0.15395899,0.86713284,16000.0,0.0033333333333333335,1600.0,0.10106429,0.20388441,320.0,80000.0,0.35993907
0.77472264,16,-20.17135,0.016666666666666666,0.15499337,0.8386133,17000.0,0.005,1700.0,0.11280117,0.2038096,340.0,85000.0,0.36044803
0.7794865,17,-20.190664,0.008333333333333333,0.15570982,0.85180384,18000.0,0.005,1800.0,0.121319465,0.2036838,360.0,90000.0,0.36060235
0.7837615,18,-21.683695,0.016666666666666666,0.15647624,0.8489736,19000.0,0.0033333333333333335,1900.0,0.13867639,0.20372505,380.0,95000.0,0.36099854
0.7877148,19,-21.025543,0.03333333333333333,0.15713929,0.8413004,20000.0,0.005,2000.0,0.12704264,0.20385468,400.0,100000.0,0.36150095
0.79103225,20,-22.533697,0.016666666666666666,0.15764572,0.85693616,21000.0,0.0016666666666666668,2100.0,0.13655156,0.20397054,420.0,105000.0,0.3618717
0.79431707,21,-22.736826,0.016666666666666666,0.15800664,0.8877783,22000.0,0.0,2200.0,0.1350376,0.20397381,440.0,110000.0,0.36215755
0.79743224,22,-23.058693,0.016666666666666666,0.15848826,0.85476184,23000.0,0.005,2300.0,0.16284649,0.20399205,460.0,115000.0,0.36233953
0.8002127,23,-24.02326,0.016666666666666666,0.15916209,0.87984735,24000.0,0.005,2400.0,0.13955778,0.20399715,480.0,120000.0,0.3624874
0.8033454,24,-24.427185,0.03333333333333333,0.15970473,0.8469909,25000.0,0.0016666666666666668,2500.0,0.13298893,0.20383918,500.0,125000.0,0.3628311
0.80659556,25,-22.744757,0.025000000000000005,0.16028525,0.8027231,26000.0,0.0033333333333333335,2600.0,0.12986022,0.20389076,520.0,130000.0,0.36325124
0.80960304,26,-23.067673,0.05833333333333333,0.16067295,0.8006131,27000.0,0.008333333333333333,2700.0,0.16951971,0.20423703,540.0,135000.0,0.36369023
0.8125785,27,-24.593834,0.025000000000000005,0.1612061,0.8315711,28000.0,0.011666666666666667,2800.0,0.13512766,0.20445985,560.0,140000.0,0.3640361
0.8151207,28,-23.868494,0.05000000000000001,0.16154489,0.77977735,29000.0,0.006666666666666667,2900.0,0.1314183,0.2045406,580.0,145000.0,0.36435506
0.8177261,29,-23.97358,0.025000000000000005,0.16189693,0.7882397,30000.0,0.011666666666666667,3000.0,0.14231916,0.20467015,600.0,150000.0,0.3645793
0.82062536,30,-24.268106,0.0,0.16216776,0.76956195,31000.0,0.01,3100.0,0.19117536,0.20474552,620.0,155000.0,0.3649443
0.82286865,31,-23.437277,0.016666666666666666,0.16255614,0.68281096,32000.0,0.005,3200.0,0.15783465,0.20470949,640.0,160000.0,0.3651847
0.8252141,32,-25.633024,0.03333333333333333,0.16304663,0.80717325,33000.0,0.005,3300.0,0.18403982,0.2046581,660.0,165000.0,0.3653867
0.82757425,33,-23.091492,0.025000000000000005,0.16336253,0.7680909,34000.0,0.0033333333333333335,3400.0,0.15386476,0.20472933,680.0,170000.0,0.3655943
0.829772,34,-25.337591,0.008333333333333333,0.16361974,0.83976537,35000.0,0.008333333333333333,3500.0,0.16864645,0.20497103,700.0,175000.0,0.3658762
0.8315752,35,-23.865503,0.03333333333333333,0.1638987,0.72962683,36000.0,0.006666666666666667,3600.0,0.15509915,0.20509712,720.0,180000.0,0.3661562
