stats_g/std,test/episode,stats_g/mean,train/critic_loss,test/ag_g_dist,train/episode,epoch,stats_o/mean,stats_o/std,train/success_rate,test/success_rate,test/mean_Q
0.12666713,20.0,0.7395685,0.035511844,0.47885713,100.0,0,0.1766566,0.05764003,0.0016666666666666668,0.0,-0.9830349
0.12570937,40.0,0.74100375,0.054811373,0.44888163,200.0,1,0.17630325,0.05960514,0.0016666666666666668,0.0,-1.9358383
0.122772835,60.0,0.7423733,0.061293766,0.42669025,300.0,2,0.17678188,0.057370633,0.0016666666666666668,0.0,-2.7422771
0.12048066,80.0,0.74328274,0.040509142,0.4629712,400.0,3,0.17708977,0.056184758,0.0016666666666666668,0.0,-3.9552605
0.119229056,100.0,0.7439196,0.054115057,0.44475377,500.0,4,0.17733555,0.05538499,0.006666666666666667,0.008333333333333333,-4.6714516
0.11756444,120.0,0.743612,0.06811605,0.46957684,600.0,5,0.17721625,0.054797962,0.0,0.0,-5.819744
0.116359375,140.0,0.74386185,0.02596744,0.45383775,700.0,6,0.17723753,0.054209102,0.0033333333333333335,0.008333333333333333,-6.4951406
0.11572325,160.0,0.7439813,0.0402987,0.40854838,800.0,7,0.17719506,0.053919334,0.0,0.0,-6.565393
