train/success_rate,test/success_rate,stats_o/mean,test/ag_g_dist,stats_g/mean,stats_o/std,epoch,test/reward_compute_count,train/episode,stats_g/std,train/reward_compute_count,test/mean_Q,test/episode,train/critic_loss
0.0,0.0,0.19644554,0.98094684,0.36738184,0.75504285,0,1000.0,100.0,0.23222764,5000.0,-2.061644,20.0,0.037294168
0.0,0.0,0.20194702,0.9901848,0.3707904,0.7579195,1,2000.0,200.0,0.23259993,10000.0,-3.939563,40.0,0.03441118
0.0,0.0,0.20284772,0.97158605,0.372385,0.7577607,2,3000.0,300.0,0.23304565,15000.0,-5.7749515,60.0,0.03049905
0.0,0.0,0.20209347,1.0475886,0.3734007,0.75624675,3,4000.0,400.0,0.2327215,20000.0,-7.8294544,80.0,0.030112537
0.0,0.0,0.20161788,0.9654272,0.37320504,0.7567951,4,5000.0,500.0,0.23219328,25000.0,-9.428491,100.0,0.030495929
0.0,0.0,0.20133944,0.96694016,0.37419918,0.7579537,5,6000.0,600.0,0.23288389,30000.0,-10.735906,120.0,0.029709263
0.0,0.0,0.20131074,1.0696975,0.374748,0.7594597,6,7000.0,700.0,0.23317878,35000.0,-12.747113,140.0,0.036660347
0.0,0.0,0.20096987,1.0082568,0.37426427,0.76253384,7,8000.0,800.0,0.23319583,40000.0,-13.999705,160.0,0.03603314
0.0,0.008333333333333333,0.20103525,0.94777495,0.37456426,0.76629514,8,9000.0,900.0,0.2333452,45000.0,-14.631747,180.0,0.036112543
0.0,0.016666666666666666,0.20055777,1.0082811,0.37432012,0.77131146,9,10000.0,1000.0,0.23426174,50000.0,-15.823936,200.0,0.03654899
0.0016666666666666668,0.0,0.20045245,0.9811406,0.3740981,0.7760887,10,11000.0,1100.0,0.23511468,55000.0,-16.725119,220.0,0.042047907
0.0016666666666666668,0.0,0.20042516,0.998884,0.37369487,0.7807222,11,12000.0,1200.0,0.23564076,60000.0,-17.635569,240.0,0.044554736
0.0016666666666666668,0.016666666666666666,0.20005806,0.92316526,0.37339935,0.7872298,12,13000.0,1300.0,0.2357424,65000.0,-17.539284,260.0,0.04818982
0.0,0.03333333333333333,0.19982742,0.9600389,0.3732147,0.79195637,13,14000.0,1400.0,0.23581684,70000.0,-18.395006,280.0,0.05366997
0.0016666666666666668,0.008333333333333333,0.19949365,1.0050753,0.37318158,0.79748195,14,15000.0,1500.0,0.23602462,75000.0,-19.815012,300.0,0.07487862
0.005,0.025000000000000005,0.19911714,0.8517963,0.37328908,0.8036038,15,16000.0,1600.0,0.23594694,80000.0,-18.486853,320.0,0.059842635
0.005,0.03333333333333333,0.1985961,0.850054,0.3735442,0.80911463,16,17000.0,1700.0,0.23584259,85000.0,-18.91999,340.0,0.06236131
0.0033333333333333335,0.025000000000000005,0.19828041,0.89985895,0.37360373,0.81398183,17,18000.0,1800.0,0.23553453,90000.0,-20.047274,360.0,0.06636404
0.0016666666666666668,0.025000000000000005,0.19785267,0.8061517,0.3734472,0.8187232,18,19000.0,1900.0,0.23540032,95000.0,-18.96915,380.0,0.067918666
0.0033333333333333335,0.03333333333333333,0.19750817,0.8312058,0.37364814,0.8248221,19,20000.0,2000.0,0.23493235,100000.0,-19.341215,400.0,0.06966212
0.006666666666666667,0.016666666666666666,0.19724543,0.8155031,0.3738098,0.8302848,20,21000.0,2100.0,0.23461919,105000.0,-19.640444,420.0,0.07741815
0.006666666666666667,0.03333333333333333,0.19684468,0.8607983,0.37385997,0.83488107,21,22000.0,2200.0,0.23438938,110000.0,-19.880266,440.0,0.082111664
0.006666666666666667,0.008333333333333333,0.19649814,0.85285836,0.37430254,0.83987874,22,23000.0,2300.0,0.23396604,115000.0,-20.865318,460.0,0.06537261
