train/success_rate,stats_o/std,test/mean_Q,stats_o/mean,train/critic_loss,test/ag_g_dist,test/reward_compute_count,epoch,test/success_rate,test/episode,stats_g/mean,stats_g/std,train/episode,train/reward_compute_count
0.0016666666666666668,0.6815346,-45.721745,0.20302922,4.917594e-05,0.9689954,50000.0,49,0.0,1000.0,0.35820577,0.14382431,5000.0,250000.0
0.0016666666666666668,0.6813068,-45.94343,0.20304026,2.5397783e-05,0.9413356,51000.0,50,0.0,1020.0,0.3582931,0.14373027,5100.0,255000.0
0.0,0.681021,-46.142063,0.20301206,6.90969e-06,0.9697873,52000.0,51,0.0,1040.0,0.35834217,0.14358334,5200.0,260000.0
0.0,0.6808459,-46.321194,0.20299952,1.8207798e-05,0.9996765,53000.0,52,0.0,1060.0,0.35838866,0.14344725,5300.0,265000.0
0.0,0.6806776,-46.497223,0.2029803,3.081118e-05,0.9500142,54000.0,53,0.008333333333333333,1080.0,0.35845634,0.14334719,5400.0,270000.0
0.0,0.6805284,-46.682514,0.20297535,1.702966e-05,0.96362853,55000.0,54,0.0,1100.0,0.358561,0.1432862,5500.0,275000.0
0.0,0.68035144,-46.827473,0.20297308,1.10867695e-05,0.97872114,56000.0,55,0.0,1120.0,0.35862193,0.14317846,5600.0,280000.0
0.0016666666666666668,0.6802707,-46.97975,0.20296799,3.357142e-06,0.99005437,57000.0,56,0.0,1140.0,0.35863504,0.14311998,5700.0,285000.0
0.0,0.68014413,-47.116863,0.20295304,3.4565273e-06,1.0030948,58000.0,57,0.0,1160.0,0.35866514,0.14299276,5800.0,290000.0
0.0,0.68003064,-47.25426,0.20296513,1.5369378e-06,0.94694346,59000.0,58,0.0,1180.0,0.35872206,0.14288366,5900.0,295000.0
0.0,0.6798771,-47.370068,0.2029614,2.9863751e-05,0.9417749,60000.0,59,0.0,1200.0,0.3587642,0.14280084,6000.0,300000.0
