train/success_rate,stats_o/std,test/mean_Q,stats_o/mean,train/critic_loss,test/ag_g_dist,test/reward_compute_count,epoch,test/success_rate,test/episode,stats_g/mean,stats_g/std,train/episode,train/reward_compute_count
0.0,0.7142953,-2.309735,0.20158476,0.0008836484,0.99558026,1000.0,0,0.0,20.0,0.3606151,0.13782874,100.0,5000.0
0.0,0.71227556,-4.4126287,0.20483738,0.0005412918,0.98796827,2000.0,1,0.0,40.0,0.35934305,0.13921511,200.0,10000.0
0.0,0.7047789,-6.5437484,0.20669772,0.00028311665,0.9470094,3000.0,2,0.0,60.0,0.35985377,0.13907126,300.0,15000.0
0.0,0.69793767,-8.559987,0.2064545,0.00018389622,0.9630356,4000.0,3,0.0,80.0,0.36002657,0.1390604,400.0,20000.0
0.0,0.6960943,-10.507989,0.20635135,0.00019026159,0.94589084,5000.0,4,0.0,100.0,0.35983196,0.13985626,500.0,25000.0
0.0,0.6972596,-12.282382,0.2061161,0.00025859437,0.93630505,6000.0,5,0.0,120.0,0.35835305,0.14383219,600.0,30000.0
0.0,0.69812983,-14.034802,0.20572454,0.000263423,1.0109301,7000.0,6,0.0,140.0,0.35657787,0.14644623,700.0,35000.0
0.0,0.6985304,-15.763194,0.20557022,0.0001414301,0.9971328,8000.0,7,0.0,160.0,0.35562012,0.14817725,800.0,40000.0
0.0,0.69785804,-17.37779,0.20533161,0.00013166734,0.9451874,9000.0,8,0.0,180.0,0.3554199,0.14824452,900.0,45000.0
0.0,0.6972038,-18.876045,0.20517127,0.0002141897,0.93706757,10000.0,9,0.0,200.0,0.3552898,0.14822066,1000.0,50000.0
0.0,0.696728,-20.336561,0.2048523,0.00011538211,0.9712758,11000.0,10,0.0,220.0,0.3547578,0.14837451,1100.0,55000.0
0.0,0.6963571,-21.734858,0.20465486,0.00011910717,0.9796314,12000.0,11,0.0,240.0,0.35441175,0.14880998,1200.0,60000.0
0.0,0.6961835,-23.077047,0.20428891,0.00013505486,0.9355478,13000.0,12,0.0,260.0,0.35367092,0.14934723,1300.0,65000.0
0.0,0.69651276,-24.29931,0.20394707,0.00015182096,0.9510401,14000.0,13,0.0,280.0,0.35306692,0.14987901,1400.0,70000.0
0.0,0.6965468,-25.54719,0.20370336,0.000102252234,0.95655704,15000.0,14,0.0,300.0,0.35256347,0.15032554,1500.0,75000.0
0.0,0.696399,-26.754873,0.20355411,0.00014423141,0.98208946,16000.0,15,0.0,320.0,0.35247317,0.15047403,1600.0,80000.0
0.0,0.695771,-27.837639,0.20339687,0.000115844705,0.94204545,17000.0,16,0.0,340.0,0.35251084,0.15052769,1700.0,85000.0
0.0,0.6950676,-28.90712,0.20331532,9.916924e-05,0.9277653,18000.0,17,0.0,360.0,0.35266542,0.1502678,1800.0,90000.0
0.0,0.69444203,-29.954153,0.20322722,0.00015135911,0.9342472,19000.0,18,0.0,380.0,0.352953,0.14995424,1900.0,95000.0
0.0,0.69373035,-30.894989,0.20316315,0.00015855092,0.9942724,20000.0,19,0.0,400.0,0.35330582,0.1497165,2000.0,100000.0
0.0,0.6930477,-31.76409,0.20309334,0.00014738023,0.9483865,21000.0,20,0.0,420.0,0.35356012,0.14954852,2100.0,105000.0
0.0,0.6922188,-32.692913,0.2030163,8.731292e-05,0.9608789,22000.0,21,0.0,440.0,0.3537751,0.14915214,2200.0,110000.0
0.0,0.6918666,-33.545895,0.20297767,8.9507834e-05,0.96214956,23000.0,22,0.0,460.0,0.35403147,0.1488971,2300.0,115000.0
0.0,0.69133216,-34.340595,0.2029572,7.7192504e-05,0.97676796,24000.0,23,0.0,480.0,0.35427567,0.14868559,2400.0,120000.0
0.0016666666666666668,0.6905897,-35.109875,0.20292635,0.0001788941,0.98874825,25000.0,24,0.0,500.0,0.3545475,0.14839987,2500.0,125000.0
0.0,0.68996054,-35.795082,0.20292239,4.4683027e-05,0.93861276,26000.0,25,0.0,520.0,0.3548316,0.14815035,2600.0,130000.0
0.0,0.6892732,-36.455402,0.2029432,0.00019155344,0.97804075,27000.0,26,0.0,540.0,0.35508713,0.14792265,2700.0,135000.0
0.0016666666666666668,0.6887683,-37.112965,0.20296808,6.948134e-05,0.95679,28000.0,27,0.0,560.0,0.35537347,0.14771701,2800.0,140000.0
0.0,0.6883635,-37.7168,0.20296055,7.170621e-05,0.9343331,29000.0,28,0.0,580.0,0.35561213,0.14747252,2900.0,145000.0
0.0,0.6878565,-38.307297,0.20299894,4.103621e-05,0.96802276,30000.0,29,0.0,600.0,0.3557982,0.14722982,3000.0,150000.0
0.0,0.6874464,-38.85019,0.20304938,0.00010341082,0.9431424,31000.0,30,0.0,620.0,0.35599944,0.14691882,3100.0,155000.0
0.0,0.6868164,-39.373917,0.2030242,8.023376e-05,0.9262597,32000.0,31,0.0,640.0,0.35614744,0.14670597,3200.0,160000.0
0.0,0.6863928,-39.886093,0.20301877,0.0001042393,1.0083642,33000.0,32,0.0,660.0,0.35628554,0.14642401,3300.0,165000.0
0.0,0.6860141,-40.35777,0.20304157,3.4109642e-05,0.96869165,34000.0,33,0.0,680.0,0.3564445,0.14617065,3400.0,170000.0
0.0016666666666666668,0.6855785,-40.84917,0.20308869,5.6704488e-05,0.9671502,35000.0,34,0.0,700.0,0.35662332,0.14592992,3500.0,175000.0
0.0016666666666666668,0.6851923,-41.295635,0.20312674,5.038783e-05,0.9310739,36000.0,35,0.0,720.0,0.3567641,0.14578886,3600.0,180000.0
0.0016666666666666668,0.68471545,-41.709553,0.20311226,2.8412396e-05,0.93397266,37000.0,36,0.0,740.0,0.35690954,0.145607,3700.0,185000.0
0.0,0.6843172,-42.121998,0.2031275,5.0132407e-05,0.9675694,38000.0,37,0.0,760.0,0.35704216,0.1454983,3800.0,190000.0
0.0,0.6840584,-42.552082,0.20313318,8.582978e-05,1.0671773,39000.0,38,0.0,780.0,0.35716626,0.14532796,3900.0,195000.0
0.0,0.68377656,-42.906464,0.20310669,5.798724e-05,0.97697634,40000.0,39,0.0,800.0,0.35729417,0.14514051,4000.0,200000.0
0.0,0.68353176,-43.261547,0.20311655,4.8479415e-05,0.9884717,41000.0,40,0.0,820.0,0.35742983,0.1450292,4100.0,205000.0
0.0,0.6833555,-43.578007,0.20309944,6.324074e-05,0.9837082,42000.0,41,0.0,840.0,0.35751548,0.14486314,4200.0,210000.0
0.0,0.6830544,-43.93379,0.20309435,9.877951e-05,0.9156117,43000.0,42,0.0,860.0,0.35756245,0.14471777,4300.0,215000.0
0.0,0.6827356,-44.19401,0.20308726,9.271447e-05,0.94543093,44000.0,43,0.0,880.0,0.35766873,0.14456303,4400.0,220000.0
0.0,0.6825609,-44.482372,0.20309384,3.6506623e-05,0.9838912,45000.0,44,0.0,900.0,0.3577764,0.14444838,4500.0,225000.0
0.0,0.68233633,-44.764545,0.20307477,1.6862394e-05,0.9347511,46000.0,45,0.008333333333333333,920.0,0.357869,0.14433137,4600.0,230000.0
0.0,0.6821296,-45.06001,0.20304503,0.0001235414,0.9572831,47000.0,46,0.0,940.0,0.35795578,0.14420642,4700.0,235000.0
0.0,0.6819551,-45.264324,0.20303267,0.00010703597,0.9771013,48000.0,47,0.0,960.0,0.35804918,0.14409505,4800.0,240000.0
0.0,0.6817146,-45.485676,0.20304126,0.00018397505,0.9695166,49000.0,48,0.0,980.0,0.35813037,0.14396392,4900.0,245000.0
