test/success_rate,test/ag_g_dist,train/critic_loss,stats_g/mean,epoch,train/success_rate,test/mean_Q,stats_o/std,test/episode,stats_g/std,stats_o/mean,train/episode
0.0,0.1748903,0.0026814851,0.83717316,0,0.0016666666666666668,-2.695861,0.043899547,20.0,0.07166011,0.20086883,100.0
0.016666666666666666,0.18192667,0.0053895228,0.837019,1,0.0016666666666666668,-4.760189,0.04697937,40.0,0.07297754,0.20084886,200.0
0.0,0.16745651,0.0072123553,0.8370357,2,0.0033333333333333335,-6.8056545,0.04695694,60.0,0.07341073,0.2008094,300.0
0.0,0.18034436,0.012752716,0.8374157,3,0.0033333333333333335,-8.680087,0.051125783,80.0,0.07610228,0.20089461,400.0
0.0,0.18813135,0.023704639,0.8382166,4,0.005,-10.604746,0.05554511,100.0,0.07785838,0.20106141,500.0
0.016666666666666666,0.16735578,0.033041064,0.8381553,5,0.008333333333333333,-11.560577,0.059274744,120.0,0.079385616,0.20129757,600.0
0.025000000000000005,0.16169178,0.06837935,0.83813363,6,0.016666666666666666,-12.44812,0.06195077,140.0,0.0794463,0.20112257,700.0
0.09999999999999999,0.15139748,0.08321763,0.83871746,7,0.055,-11.590251,0.06549245,160.0,0.07932198,0.20124237,800.0
0.2833333333333334,0.120825894,0.19721709,0.83879834,8,0.08666666666666667,-9.561867,0.06989061,180.0,0.07893945,0.20122433,900.0
0.3666666666666667,0.10352633,0.23550539,0.8389118,9,0.105,-7.8759503,0.07682573,200.0,0.079325624,0.20134147,1000.0
0.4916666666666667,0.06654734,0.20532186,0.8387124,10,0.20333333333333334,-5.054794,0.08332749,220.0,0.079584554,0.20116611,1100.0
0.8000000000000002,0.042810068,0.17674887,0.83875036,11,0.27166666666666667,-2.8896303,0.08888698,240.0,0.079843,0.20108898,1200.0
0.8916666666666666,0.044184774,0.20283347,0.83885837,12,0.34333333333333327,-2.7411082,0.093500294,260.0,0.0796169,0.20087446,1300.0
0.8166666666666668,0.055776644,0.24477427,0.83879924,13,0.41500000000000004,-3.2394707,0.09697708,280.0,0.07907132,0.20068432,1400.0
0.9166666666666666,0.043535512,0.22249913,0.8387394,14,0.4266666666666667,-2.5144072,0.10016588,300.0,0.07898528,0.20062238,1500.0
0.9416666666666668,0.044812918,0.26687434,0.8388111,15,0.4666666666666666,-2.4450843,0.10206846,320.0,0.078417756,0.20066468,1600.0
0.9583333333333334,0.040075872,0.19958413,0.8388229,16,0.4283333333333334,-2.0536816,0.10386058,340.0,0.078445844,0.2006712,1700.0
0.9833333333333334,0.039998397,0.22644567,0.83899325,17,0.4766666666666666,-1.8983746,0.10503759,360.0,0.078110464,0.20070978,1800.0
0.9666666666666667,0.043705534,0.19127612,0.83897597,18,0.49499999999999994,-2.0768166,0.10626367,380.0,0.077855706,0.20064707,1900.0
0.975,0.03751662,0.22637379,0.83896327,19,0.47666666666666674,-1.6690654,0.107505195,400.0,0.077874996,0.20065902,2000.0
0.9416666666666668,0.04017545,0.26801026,0.83884686,20,0.41500000000000004,-1.8604425,0.108416475,420.0,0.0777571,0.20061348,2100.0
0.9583333333333334,0.0392247,0.24261548,0.83886653,21,0.4466666666666666,-1.7842442,0.10948283,440.0,0.07775677,0.20055324,2200.0
0.975,0.041276727,0.25599423,0.8387502,22,0.455,-1.8499826,0.1103037,460.0,0.07766057,0.20056522,2300.0
0.9583333333333334,0.041850466,0.31837308,0.8388156,23,0.43333333333333335,-1.8871254,0.11105159,480.0,0.07750678,0.20055664,2400.0
0.9583333333333334,0.039655924,0.23969758,0.8388674,24,0.45999999999999996,-1.6990465,0.11200511,500.0,0.077326655,0.20052415,2500.0
0.9583333333333334,0.04018535,0.27514815,0.8388427,25,0.4333333333333333,-1.8462466,0.11258775,520.0,0.07716442,0.2004881,2600.0
0.975,0.03921944,0.31140885,0.8387614,26,0.43333333333333335,-1.7843152,0.11331374,540.0,0.07710103,0.20041089,2700.0
1.0,0.035400793,0.2662549,0.8388212,27,0.45,-1.6620036,0.1138477,560.0,0.07709061,0.20033787,2800.0
0.975,0.043378368,0.27127627,0.8387682,28,0.42333333333333334,-1.9328399,0.11444815,580.0,0.07686443,0.20021696,2900.0
0.9666666666666667,0.041224863,0.32406548,0.83868355,29,0.4133333333333334,-1.8280042,0.114982426,600.0,0.07673677,0.20014395,3000.0
0.9583333333333334,0.036873724,0.20783098,0.83869857,30,0.43999999999999995,-1.6597676,0.11546218,620.0,0.0766512,0.20014687,3100.0
0.9833333333333334,0.03883786,0.21073253,0.83862,31,0.4583333333333333,-1.6949862,0.11588953,640.0,0.076404296,0.2001468,3200.0
0.9666666666666667,0.03860912,1.085189,0.83862764,32,0.4066666666666667,-1.7316405,0.11629514,660.0,0.07626616,0.2001775,3300.0
0.9583333333333334,0.037064157,0.2958229,0.83861136,33,0.44166666666666665,-1.5872091,0.11675558,680.0,0.07636266,0.20019901,3400.0
0.975,0.034013126,0.3470993,0.8386455,34,0.4583333333333333,-1.5099081,0.11715152,700.0,0.07617242,0.20021617,3500.0
0.9916666666666667,0.038111623,0.24815945,0.8386881,35,0.47500000000000003,-1.5727463,0.11744723,720.0,0.076259784,0.20023103,3600.0
1.0,0.037314806,0.22880407,0.8387351,36,0.435,-1.5305872,0.11778167,740.0,0.07622121,0.2001759,3700.0
0.9666666666666667,0.041652765,0.25797307,0.8386872,37,0.45166666666666666,-1.6869634,0.118102096,760.0,0.07616403,0.2001614,3800.0
0.9916666666666667,0.040124863,0.38657114,0.8386938,38,0.43333333333333335,-1.5814438,0.11837088,780.0,0.076264955,0.20015343,3900.0
