test/ag_g_dist,test/episode,stats_g/mean,stats_o/std,test/success_rate,train/success_rate,stats_o/mean,epoch,train/critic_loss,stats_g/std,test/mean_Q,train/episode
0.087160945,20.0,0.6722663,0.6936968,0.09166666666666667,0.0,0.3177082,0,0.017425375,0.019003253,-2.4659488,100.0
0.025402566,40.0,0.6734937,0.7580602,0.14166666666666666,0.0,0.3113543,1,0.019044949,0.01895355,-1.9042641,200.0
0.048447598,60.0,0.6742973,0.7850713,0.1416666666666667,0.005,0.31060147,2,0.017688869,0.019122945,-2.4723823,300.0
0.036056962,80.0,0.674813,0.7952307,0.225,0.005,0.31045115,3,0.018310422,0.018927861,-2.611833,400.0
0.05865776,100.0,0.6751186,0.80227333,0.31666666666666665,0.015,0.31109175,4,0.02384238,0.019014152,-2.8303573,500.0
0.035879552,120.0,0.6750353,0.8073222,0.4583333333333333,0.01,0.3095163,5,0.021959687,0.018991303,-2.923023,600.0
0.035880152,140.0,0.67514724,0.80997205,0.6333333333333334,0.016666666666666666,0.30895087,6,0.01913993,0.018842516,-3.1471932,700.0
0.038486134,160.0,0.6752886,0.8108197,0.46666666666666673,0.011666666666666665,0.30922556,7,0.018088432,0.018720094,-4.649021,800.0
0.045977697,180.0,0.675396,0.8116526,0.6833333333333332,0.013333333333333334,0.309548,8,0.019670418,0.018616306,-4.128488,900.0
0.04530692,200.0,0.6755689,0.8121603,0.7083333333333334,0.023333333333333334,0.3095891,9,0.024377376,0.018761123,-4.3220253,1000.0
0.044552445,220.0,0.67569333,0.8118958,0.6666666666666666,0.013333333333333334,0.3100081,10,0.025833623,0.018797198,-4.9903007,1100.0
0.036180478,240.0,0.67564327,0.8118642,0.7416666666666667,0.03,0.31001166,11,0.01673004,0.01872152,-4.929292,1200.0
0.04210357,260.0,0.6755448,0.8111631,0.6,0.01,0.31008327,12,0.021574927,0.018612439,-6.357784,1300.0
0.031806666,280.0,0.6754758,0.81141883,0.7583333333333334,0.016666666666666666,0.3102968,13,0.018390177,0.018504312,-5.3114753,1400.0
0.03676683,300.0,0.6753953,0.81106883,0.6916666666666668,0.021666666666666667,0.31020015,14,0.020141305,0.018380033,-7.416388,1500.0
0.039529312,320.0,0.67536545,0.81049794,0.7000000000000001,0.01,0.31005317,15,0.022539558,0.018275492,-7.2698326,1600.0
0.037575662,340.0,0.67534524,0.8096602,0.7416666666666667,0.023333333333333334,0.30995378,16,0.01797019,0.018193306,-7.4154053,1700.0
0.04915068,360.0,0.6753734,0.80882925,0.7000000000000001,0.024999999999999998,0.30996192,17,0.018483352,0.018147437,-9.015445,1800.0
0.0445279,380.0,0.6753569,0.80850047,0.6916666666666668,0.016666666666666666,0.30993757,18,0.018686928,0.018127812,-8.838299,1900.0
0.038587753,400.0,0.67537814,0.8079311,0.6916666666666668,0.015,0.30989268,19,0.020617394,0.018110666,-9.058613,2000.0
0.043267716,420.0,0.67538327,0.80724365,0.6749999999999999,0.018333333333333333,0.309844,20,0.02277802,0.018066682,-10.933295,2100.0
0.037502144,440.0,0.6753672,0.8069189,0.7416666666666667,0.005,0.30975658,21,0.017080666,0.018012626,-9.75251,2200.0
0.0376209,460.0,0.6753559,0.8067286,0.7416666666666667,0.01,0.30961904,22,0.016944105,0.017985035,-9.42026,2300.0
0.04767285,480.0,0.67532796,0.80642265,0.6583333333333333,0.015,0.30941334,23,0.02287244,0.017958106,-11.840795,2400.0
0.033911254,500.0,0.67531794,0.8059705,0.775,0.013333333333333334,0.3092427,24,0.020569663,0.017931705,-8.428769,2500.0
0.04237777,520.0,0.6753109,0.80554134,0.75,0.008333333333333333,0.30915445,25,0.018160878,0.017915059,-9.806485,2600.0
0.03710286,540.0,0.67532516,0.80527973,0.725,0.006666666666666667,0.3090812,26,0.023906752,0.017894287,-10.314631,2700.0
0.046542,560.0,0.6753399,0.8052309,0.6916666666666668,0.015,0.30897924,27,0.021714823,0.017882235,-12.293533,2800.0
0.039247014,580.0,0.67536014,0.8051329,0.6999999999999998,0.011666666666666667,0.3090139,28,0.023390861,0.017863385,-12.221938,2900.0
0.042645317,600.0,0.675375,0.80495423,0.725,0.013333333333333334,0.30901033,29,0.020780878,0.017857196,-11.123858,3000.0
0.03780329,620.0,0.67536455,0.80469656,0.7416666666666666,0.016666666666666666,0.30901492,30,0.018881677,0.017841978,-10.65501,3100.0
0.04095428,640.0,0.67535114,0.8044608,0.7166666666666667,0.01,0.308987,31,0.03773351,0.017827814,-12.3013315,3200.0
