test/ag_g_dist,test/episode,stats_g/mean,stats_o/std,test/success_rate,train/success_rate,stats_o/mean,epoch,train/critic_loss,stats_g/std,test/mean_Q,train/episode
0.03740781,660.0,0.6753466,0.80413073,0.7416666666666666,0.005,0.30897087,32,0.016384818,0.017812083,-11.5383835,3300.0
0.041260887,680.0,0.675348,0.80405,0.7083333333333334,0.013333333333333334,0.30896437,33,0.026512304,0.017800348,-10.9579115,3400.0
0.040919933,700.0,0.67535335,0.80377084,0.6833333333333332,0.015000000000000001,0.30892646,34,0.069660634,0.017788256,-13.003621,3500.0
0.05209225,720.0,0.6753607,0.8034126,0.6416666666666667,0.013333333333333334,0.3088755,35,0.016823262,0.01778699,-15.387967,3600.0
0.044576358,740.0,0.6753674,0.8031685,0.6083333333333333,0.008333333333333333,0.30891111,36,0.027767425,0.017776547,-15.6477585,3700.0
0.046174943,760.0,0.6753769,0.8030216,0.6833333333333332,0.0016666666666666668,0.3089038,37,0.018348744,0.017770788,-14.017738,3800.0
0.044971604,780.0,0.6753753,0.80313104,0.7166666666666667,0.011666666666666667,0.30886912,38,0.028743744,0.01777889,-12.044274,3900.0
0.045316298,800.0,0.6753914,0.80292135,0.6750000000000002,0.018333333333333333,0.30885434,39,0.018234415,0.017784413,-14.474956,4000.0
0.040670298,820.0,0.6754131,0.80272657,0.7083333333333334,0.015,0.3088097,40,0.03460904,0.017784426,-12.390861,4100.0
0.054998,840.0,0.6754177,0.80266887,0.5833333333333334,0.011666666666666667,0.30876365,41,0.01841873,0.017780662,-17.818975,4200.0
0.04262389,860.0,0.6754152,0.8025122,0.7083333333333334,0.008333333333333333,0.30872595,42,0.021951443,0.017767427,-12.739413,4300.0
0.04552931,880.0,0.6754062,0.8025597,0.6833333333333332,0.011666666666666667,0.30861992,43,0.028562425,0.017751208,-13.954163,4400.0
0.043923095,900.0,0.6753897,0.8023127,0.7000000000000001,0.015,0.3086015,44,0.02985741,0.017731128,-13.4321785,4500.0
0.040602174,920.0,0.67537814,0.80214757,0.7083333333333334,0.0016666666666666668,0.3086034,45,0.019228926,0.01771462,-14.079165,4600.0
0.038281094,940.0,0.6753628,0.8018535,0.7000000000000001,0.01,0.30853796,46,0.015496888,0.017698763,-13.441533,4700.0
0.040274113,960.0,0.67534995,0.8016756,0.6916666666666668,0.01,0.30850032,47,0.023788258,0.01768192,-15.013043,4800.0
0.038816094,980.0,0.67533016,0.8015998,0.7166666666666667,0.01,0.30841777,48,0.017593985,0.017664244,-14.15635,4900.0
0.037507795,1000.0,0.675312,0.8015937,0.725,0.008333333333333333,0.30836934,49,0.017055325,0.017653128,-13.401298,5000.0
0.047447428,1020.0,0.67529315,0.8013558,0.6166666666666667,0.021666666666666667,0.3083129,50,0.022192826,0.01764814,-16.550241,5100.0
0.04556185,1040.0,0.6752859,0.8012704,0.6416666666666667,0.008333333333333333,0.30832422,51,0.033107106,0.01763141,-16.573442,5200.0
0.039548066,1060.0,0.67528087,0.80121833,0.7000000000000001,0.011666666666666665,0.3083313,52,0.020229673,0.01761449,-14.502194,5300.0
0.03975347,1080.0,0.67527276,0.80096084,0.7083333333333334,0.006666666666666667,0.3083248,53,0.01645979,0.017603222,-13.958493,5400.0
0.042717833,1100.0,0.6752656,0.80074334,0.6750000000000002,0.013333333333333334,0.30834597,54,0.020064184,0.017591966,-15.316525,5500.0
0.040820222,1120.0,0.67526096,0.80055475,0.7083333333333334,0.016666666666666666,0.30832636,55,0.020601638,0.017583668,-14.196529,5600.0
0.045446023,1140.0,0.6752612,0.8005478,0.6583333333333333,0.01,0.30833334,56,0.024307415,0.017573845,-15.651229,5700.0
0.038231812,1160.0,0.6752638,0.80034876,0.7333333333333334,0.013333333333333334,0.3083243,57,0.024862265,0.01756697,-12.178914,5800.0
0.038016304,1180.0,0.6752627,0.8002843,0.7333333333333333,0.011666666666666667,0.30836377,58,0.018800853,0.017561374,-11.959053,5900.0
0.038457412,1200.0,0.67527324,0.80016685,0.7666666666666666,0.015,0.30840367,59,0.016852198,0.017555544,-11.551875,6000.0
