addnl_loss_term,confname,distance_threshold,env,gitrev,goal_noise,intermediate_sampling,loss_term,loss_term_weights,loss_term_weights_json,n_cycles,num_cpu,recompute_rewards,replay_strategy,reward_type,dir,epoch_test/success_rate,epoch_test/ag_g_dist,reward_computes_test/success_rate,reward_computes_test/ag_g_dist
NULL,NULL,0.01,FetchPickAndPlace-v1,1cfa97d,zero,uniform,dqst,[],[],50,NULL,True,future,NULL,1cfa97d-path_reward_low_thresh_chosen-FetchPickAndPlace-v1-dqst,0.0191077441077441,0.003736327646464646,0.019107744107744105,0.0037363276464646464
NULL,NULL,0.01,FetchPushPR-v1,1cfa97d,zero,uniform,dqst,[],[],50,NULL,True,future,NULL,1cfa97d-path_reward_low_thresh_chosen-FetchPushPR-v1-dqst,0.013804713804713807,0.002081220636363636,0.013804713804713807,0.0020812206363636358
NULL,NULL,0.01,FetchReachPR-v1,1cfa97d,zero,uniform,dqst,[],[],10,NULL,True,future,NULL,1cfa97d-path_reward_low_thresh_chosen-FetchReachPR-v1-dqst,0.017382154882154895,0.0028641085555555553,0.017382154882154895,0.0028641085555555553
NULL,NULL,0.05,FetchSlideCSL-v1,229d9f9,NULL,uniform,dqst,[],[],50,NULL,True,future,NULL,229d9f9-FetchSlideCSL-v1-dqst-future-her_fwrl_path_reward-FetchSlideCSL-v1-dqst,0.0017543859649122807,0.00868849315789474,0.0017543859649122803,0.008688493157894741
NULL,NULL,0.05,FetchSlideCSL-v1,229d9f9,NULL,uniform,qlst,[],[],50,NULL,True,future,NULL,229d9f9-FetchSlideCSL-v1-qlst-future-her_fwrl_path_reward-FetchSlideCSL-v1-qlst,0.0023809523809523807,0.013751199285714293,0.0023809523809523807,0.013751199285714293
NULL,NULL,0.05,FetchReachPR-v1,245b3c4,NULL,uniform,ddpg,[],[],10,NULL,True,future,NULL,245b3c4-12e102c1-FetchReachPR-v1-ddpg-future-her_fwrl_path_reward,0.009649122807017543,0.0019544500526315796,0.009649122807017543,0.0019544500526315796
NULL,NULL,0.05,FetchPush-v1,245b3c4,NULL,uniform,qlst,"[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]",50,NULL,True,future,NULL,245b3c4-168e2a4b-FetchPush-v1-qlst-future-,0.01343537414965986,0.00276869231632653,0.013435374149659864,0.002768692316326532
NULL,NULL,0.05,FetchReach-v1,245b3c4,NULL,uniform,qlst,[],[],10,NULL,True,future,NULL,245b3c4-32101067-FetchReach-v1-qlst-future-her_fwrl_path_reward,0.023245614035087712,0.002610160973684211,0.02324561403508771,0.0026101609736842108
NULL,NULL,0.05,FetchReach-v1,245b3c4,NULL,uniform,ddpg,[],[],10,NULL,True,future,NULL,245b3c4-6cb985a2-FetchReach-v1-ddpg-future-her_fwrl_path_reward,0.012938596491228062,0.002466365815789474,0.012938596491228058,0.0024663658157894736
NULL,NULL,0.05,FetchReach-v1,245b3c4,NULL,uniform,dqst,[],[],10,NULL,True,future,NULL,245b3c4-92a7f6a9-FetchReach-v1-dqst-future-her_fwrl_path_reward,0.008333333333333325,0.0023432934473684216,0.008333333333333321,0.002343293447368421
