train/success_rate,train/episode,test/episode,stats_o/mean,stats_g/mean,test/success_rate,epoch,test/mean_Q,train/critic_loss,stats_o/std,stats_g/std
0.05499999999999999,100.0,20.0,0.20103638,0.8382396,0.10000000000000002,0,-2.0630152,0.020802353,0.040275306,0.070345856
0.07833333333333332,200.0,40.0,0.20087643,0.8377061,0.016666666666666666,1,-4.081142,0.029154917,0.043406587,0.07016794
0.06666666666666667,300.0,60.0,0.20094162,0.8376681,0.03333333333333333,2,-5.6931252,0.051775932,0.043828305,0.07153627
0.06333333333333334,400.0,80.0,0.20124048,0.8383167,0.075,3,-7.226303,0.024494661,0.04526681,0.07205729
0.07333333333333335,500.0,100.0,0.2014577,0.8390905,0.075,4,-8.799461,0.05856003,0.046888944,0.0731253
0.06833333333333334,600.0,120.0,0.20150574,0.839158,0.08333333333333333,5,-9.834302,0.09264183,0.046131685,0.07261443
0.06666666666666667,700.0,140.0,0.20154774,0.83911467,0.11666666666666668,6,-10.835232,0.1115698,0.04792423,0.07323984
0.09500000000000001,800.0,160.0,0.20165043,0.8393735,0.09999999999999999,7,-11.938579,0.15353274,0.048120733,0.072859794
0.07500000000000001,900.0,180.0,0.20167415,0.8393545,0.08333333333333333,8,-13.595099,0.052015144,0.048944086,0.07297206
0.09000000000000001,1000.0,200.0,0.2016372,0.8391188,0.08333333333333333,9,-14.718785,0.27613312,0.051048536,0.0740136
0.105,1100.0,220.0,0.20159514,0.8388503,0.10000000000000002,10,-15.013985,0.3554212,0.05140488,0.07397962
0.08666666666666667,1200.0,240.0,0.20149468,0.8387372,0.14166666666666664,11,-14.586456,0.32235503,0.05229519,0.07414253
0.08833333333333333,1300.0,260.0,0.20151453,0.83875847,0.11666666666666665,12,-15.195996,0.2243493,0.054153066,0.075430684
0.12166666666666666,1400.0,280.0,0.20143229,0.83851033,0.10000000000000002,13,-16.559374,0.37604293,0.05575804,0.07580908
0.15166666666666667,1500.0,300.0,0.20139177,0.83831877,0.11666666666666665,14,-17.00799,0.32221618,0.056742538,0.075880684
0.16666666666666666,1600.0,320.0,0.20130403,0.83805543,0.18333333333333335,15,-16.956371,0.2702638,0.058789015,0.07638189
0.19166666666666665,1700.0,340.0,0.20122404,0.8375761,0.24166666666666667,16,-14.6950865,0.5369345,0.061829787,0.076862976
0.25,1800.0,360.0,0.2011543,0.8373602,0.24166666666666667,17,-13.759469,0.46346554,0.06472281,0.07772318
0.345,1900.0,380.0,0.20116888,0.8371044,0.49166666666666664,18,-10.094113,0.6932643,0.06884351,0.078067884
0.47500000000000003,2000.0,400.0,0.20107968,0.8370764,0.47500000000000003,19,-9.665065,0.72377115,0.07265177,0.078411505
0.5433333333333333,2100.0,420.0,0.20098145,0.837169,0.7333333333333334,20,-4.9525924,0.6693378,0.07607395,0.07855137
0.625,2200.0,440.0,0.20090966,0.83726794,0.775,21,-3.480983,0.5638368,0.078772865,0.07844607
0.6683333333333333,2300.0,460.0,0.20087175,0.83717376,0.7583333333333333,22,-3.435257,0.632348,0.081005536,0.07799506
0.6983333333333333,2400.0,480.0,0.20085962,0.83720857,0.8416666666666668,23,-3.3077374,0.4642392,0.08343812,0.07802057
0.7733333333333333,2500.0,500.0,0.20095724,0.8372809,0.85,24,-2.623916,0.35268342,0.08561645,0.07789932
0.775,2600.0,520.0,0.20099302,0.8373255,0.85,25,-2.7386143,0.3524698,0.08754399,0.07775576
0.785,2700.0,540.0,0.2010994,0.83729434,0.8666666666666667,26,-2.5364702,0.29390502,0.08964137,0.07788056
0.8116666666666666,2800.0,560.0,0.2011507,0.837419,0.8500000000000001,27,-2.2655563,0.23157914,0.09145223,0.07781791
0.8716666666666667,2900.0,580.0,0.2011752,0.8374355,0.9416666666666668,28,-1.8264135,0.22738211,0.09299334,0.07775196
0.8883333333333333,3000.0,600.0,0.2012832,0.8374211,0.9583333333333334,29,-1.8445148,0.1867081,0.09439912,0.07769468
