stats_g/mean,test/ag_g_dist,test/reward_compute_count,train/critic_loss,train/reward_compute_count,stats_g/std,train/episode,stats_o/std,test/success_rate,test/episode,train/success_rate,epoch,test/mean_Q,stats_o/mean
0.37037006,0.9972453,1000.0,0.0022324377,5000.0,0.23144455,100.0,0.7633092,0.0,20.0,0.0,0,-2.7040718,0.19521435
0.37305728,1.0149444,2000.0,0.0019149669,10000.0,0.23267464,200.0,0.7526271,0.0,40.0,0.0,1,-4.7700896,0.19713347
0.37299243,0.9980121,3000.0,0.0011897897,15000.0,0.23312974,300.0,0.7433657,0.0,60.0,0.0,2,-6.8465657,0.1973232
0.3722535,1.0588046,4000.0,0.0006778477,20000.0,0.23293279,400.0,0.73581403,0.0,80.0,0.0,3,-8.81936,0.19672352
0.37123862,0.9915816,5000.0,0.0005114758,25000.0,0.23200266,500.0,0.7318924,0.0,100.0,0.0,4,-10.747475,0.19683425
0.37207898,1.001273,6000.0,0.00063507335,30000.0,0.23241885,600.0,0.7285997,0.0,120.0,0.0,5,-12.571795,0.19748151
0.3724738,1.0873979,7000.0,0.00051727827,35000.0,0.23233998,700.0,0.7262619,0.0,140.0,0.0,6,-14.328278,0.19775592
0.3720139,1.0023252,8000.0,0.00069412263,40000.0,0.23177452,800.0,0.72382003,0.0,160.0,0.0,7,-15.990654,0.1977353
0.37257597,0.97628504,9000.0,0.00079536205,45000.0,0.23131292,900.0,0.7228194,0.0,180.0,0.0,8,-17.602648,0.19794504
0.3725758,1.0548186,10000.0,0.000612789,50000.0,0.23111756,1000.0,0.7220013,0.0,200.0,0.0,9,-19.082474,0.19799475
0.3726367,1.0224444,11000.0,0.0010005175,55000.0,0.2312969,1100.0,0.7208135,0.0,220.0,0.0,10,-20.594519,0.19824696
0.37244081,1.0738685,12000.0,0.0008404923,60000.0,0.23127227,1200.0,0.72018677,0.0,240.0,0.0,11,-21.989983,0.19842207
0.37215438,1.004876,13000.0,0.0010801065,65000.0,0.23130704,1300.0,0.7196033,0.0,260.0,0.0,12,-23.30264,0.1984572
0.37226596,1.0691228,14000.0,0.0013220952,70000.0,0.23123409,1400.0,0.71878225,0.0,280.0,0.0,13,-24.544737,0.19851631
0.37242374,1.1130304,15000.0,0.00088482146,75000.0,0.2314372,1500.0,0.7183263,0.0,300.0,0.0,14,-25.793634,0.19870098
0.37255892,1.0022503,16000.0,0.0016292357,80000.0,0.23139085,1600.0,0.7180566,0.0,320.0,0.0,15,-27.000534,0.19872461
0.3730227,1.0104369,17000.0,0.0019885513,85000.0,0.23144428,1700.0,0.7172753,0.0,340.0,0.0,16,-28.06616,0.19881922
0.37312397,1.0422373,18000.0,0.0021983667,90000.0,0.23129928,1800.0,0.71698266,0.0,360.0,0.0,17,-29.10557,0.19874547
0.37293577,1.0006818,19000.0,0.0007531699,95000.0,0.23129393,1900.0,0.7164664,0.0,380.0,0.0,18,-30.105791,0.19876899
0.3730589,1.0212911,20000.0,0.0016391716,100000.0,0.23119195,2000.0,0.71635747,0.0,400.0,0.0,19,-31.08326,0.19875486
0.3729684,0.99491435,21000.0,0.0016512993,105000.0,0.23129211,2100.0,0.71608096,0.0,420.0,0.0,20,-32.02325,0.19884212
0.3728982,1.0295945,22000.0,0.001892015,110000.0,0.23129578,2200.0,0.71580523,0.0,440.0,0.0,21,-32.852085,0.19890465
0.37312558,1.0650192,23000.0,0.008047229,115000.0,0.2312447,2300.0,0.7155401,0.0,460.0,0.0,22,-33.574512,0.1990865
0.37325287,1.0313276,24000.0,0.005573245,120000.0,0.23134632,2400.0,0.71543497,0.0,480.0,0.0,23,-34.374878,0.19912846
0.37309983,0.9892722,25000.0,0.0019886151,125000.0,0.231319,2500.0,0.71514624,0.0,500.0,0.0,24,-35.18429,0.19906847
0.37324843,1.0843383,26000.0,0.0012222739,130000.0,0.2314188,2600.0,0.714994,0.0,520.0,0.0,25,-35.89363,0.19904222
0.3734065,1.0166248,27000.0,0.0010384033,135000.0,0.23137777,2700.0,0.7148436,0.0,540.0,0.0,26,-36.54302,0.19901378
0.37356833,1.0290308,28000.0,0.0013498222,140000.0,0.23120813,2800.0,0.7146592,0.0,560.0,0.0,27,-37.22736,0.19891393
0.37381002,1.0512248,29000.0,0.0036317408,145000.0,0.23111606,2900.0,0.71444297,0.0,580.0,0.0,28,-37.719566,0.19886708
0.37406644,1.0715216,30000.0,0.0034056685,150000.0,0.23113845,3000.0,0.71431255,0.0,600.0,0.0,29,-38.50494,0.19896723
0.37388515,0.9455762,31000.0,0.0035036115,155000.0,0.2312061,3100.0,0.7141306,0.0,620.0,0.0,30,-38.946365,0.1989292
0.37401542,0.9819715,32000.0,0.004608933,160000.0,0.23126943,3200.0,0.71397036,0.0,640.0,0.0,31,-39.571037,0.19895284
0.37416807,1.0179147,33000.0,0.0027301293,165000.0,0.23126851,3300.0,0.7138347,0.0,660.0,0.0,32,-39.948235,0.19893886
0.37417105,1.0747924,34000.0,0.0018310141,170000.0,0.2312838,3400.0,0.71382433,0.0,680.0,0.0,33,-40.4151,0.19889098
0.37424317,1.0984772,35000.0,0.0022786544,175000.0,0.23131214,3500.0,0.7137969,0.0,700.0,0.0,34,-40.868675,0.19883566
0.3741343,0.9617099,36000.0,0.0022354594,180000.0,0.23132066,3600.0,0.7137744,0.0,720.0,0.0,35,-41.326862,0.1988191
0.37420726,0.9540027,37000.0,0.002831749,185000.0,0.2312478,3700.0,0.7135822,0.0,740.0,0.0,36,-41.70502,0.19880314
0.37424907,0.9630158,38000.0,0.0016356808,190000.0,0.23124163,3800.0,0.71353287,0.0,760.0,0.0,37,-42.117374,0.19885357
0.3741412,1.0111442,39000.0,0.0012767615,195000.0,0.23120536,3900.0,0.7134211,0.0,780.0,0.0,38,-42.49118,0.1988898
0.3740076,1.0769973,40000.0,0.004722345,200000.0,0.231238,4000.0,0.71332246,0.0,800.0,0.0,39,-42.89925,0.19896136
0.37410167,0.995488,41000.0,0.0073362864,205000.0,0.23114543,4100.0,0.713275,0.0,820.0,0.0,40,-43.15678,0.19897652
0.37414542,1.0864593,42000.0,0.0072760545,210000.0,0.23108189,4200.0,0.71321464,0.0,840.0,0.0,41,-43.48055,0.19897026
0.3741572,1.0195155,43000.0,0.0016312479,215000.0,0.23109068,4300.0,0.7132106,0.0,860.0,0.0,42,-43.746796,0.19897227
0.37404767,1.064693,44000.0,0.0023256757,220000.0,0.23112024,4400.0,0.71318847,0.0,880.0,0.0,43,-44.075672,0.19890721
0.37411246,1.035018,45000.0,0.0037145438,225000.0,0.23103464,4500.0,0.7132041,0.0,900.0,0.0,44,-44.4102,0.19891901
0.37403774,1.0287552,46000.0,0.007953082,230000.0,0.2310735,4600.0,0.7132049,0.0,920.0,0.0,45,-44.52393,0.1989032
0.37400177,1.0438517,47000.0,0.0054074414,235000.0,0.23110144,4700.0,0.71312505,0.0,940.0,0.0,46,-44.991497,0.19885795
0.3740684,1.0808872,48000.0,0.0023576198,240000.0,0.23109007,4800.0,0.71307445,0.0,960.0,0.0,47,-45.1303,0.1988557
0.37416735,1.0450469,49000.0,0.0024270725,245000.0,0.23102956,4900.0,0.71292853,0.0,980.0,0.0,48,-45.388172,0.19883578
0.37406945,1.0174109,50000.0,0.013947616,250000.0,0.2310772,5000.0,0.7129505,0.0,1000.0,0.0,49,-45.46876,0.19877495
0.3741124,1.0798702,51000.0,0.0017671412,255000.0,0.23105295,5100.0,0.71276873,0.0,1020.0,0.0,50,-45.79608,0.19879888
0.37410554,1.0474242,52000.0,0.0066617667,260000.0,0.23103654,5200.0,0.71278507,0.0,1040.0,0.0,51,-45.882935,0.19880153
0.3740085,1.0877963,53000.0,0.01148318,265000.0,0.2310944,5300.0,0.7127014,0.0,1060.0,0.0,52,-46.289597,0.19878127
0.37405992,1.0683535,54000.0,0.0017463506,270000.0,0.23110151,5400.0,0.71261054,0.0,1080.0,0.0,53,-46.320484,0.19874983
0.37409225,1.0042055,55000.0,0.001959485,275000.0,0.23107636,5500.0,0.7125376,0.0,1100.0,0.0,54,-46.603992,0.19876902
0.37409845,1.0611473,56000.0,0.0007573773,280000.0,0.23105608,5600.0,0.71252704,0.0,1120.0,0.0,55,-46.729786,0.19879036
0.37419853,1.1066729,57000.0,0.0019694583,285000.0,0.23104794,5700.0,0.71249175,0.0,1140.0,0.0,56,-46.943848,0.19883011
0.37421742,1.0633049,58000.0,0.0011358376,290000.0,0.23111926,5800.0,0.7125349,0.0,1160.0,0.0,57,-47.01645,0.19883882
0.37418464,0.9591593,59000.0,0.0067795,295000.0,0.23114128,5900.0,0.7125104,0.0,1180.0,0.0,58,-47.14552,0.19882704
0.37413165,1.0306424,60000.0,0.00447416,300000.0,0.2311786,6000.0,0.7125097,0.0,1200.0,0.0,59,-47.21107,0.19885106
