test/mean_Q,test/ag_g_dist,train/episode,stats_g/mean,train/critic_loss,test/success_rate,stats_g/std,train/success_rate,stats_o/mean,test/episode,epoch,stats_o/std
-2.5078108,0.47742033,100.0,0.74111795,0.004426604,0.0,0.12260581,0.0033333333333333335,0.17705221,20.0,0,0.054945398
-4.504049,0.44378433,200.0,0.7435654,0.0032753602,0.0,0.123793535,0.005,0.17678793,40.0,1,0.0569099
-6.2970986,0.42069483,300.0,0.74635243,0.004605166,0.0,0.12845731,0.006666666666666667,0.17780666,60.0,2,0.057981033
-8.36428,0.4567672,400.0,0.74978226,0.007474165,0.0,0.1346975,0.0033333333333333335,0.17880268,80.0,3,0.060889173
-9.767174,0.4292616,500.0,0.75378275,0.0073676053,0.016666666666666666,0.14601772,0.023333333333333334,0.17970377,100.0,4,0.065334685
-10.776188,0.40930164,600.0,0.75629514,0.008540154,0.05833333333333334,0.15309809,0.011666666666666667,0.18026079,120.0,5,0.068300545
-12.052455,0.41749498,700.0,0.7580072,0.0110779,0.03333333333333333,0.1583685,0.018333333333333333,0.18053465,140.0,6,0.070684664
-11.689649,0.37111846,800.0,0.75954056,0.014600199,0.11666666666666665,0.1615463,0.021666666666666667,0.1808018,160.0,7,0.073149055
-14.092781,0.4305867,900.0,0.76136273,0.022160979,0.03333333333333333,0.16417111,0.03666666666666666,0.18109553,180.0,8,0.074941345
-13.767567,0.38550022,1000.0,0.76371765,0.03966767,0.06666666666666667,0.16857429,0.041666666666666664,0.18150698,200.0,9,0.0789226
-13.843778,0.37501553,1100.0,0.76648575,0.04558443,0.11666666666666665,0.17265312,0.04666666666666667,0.18201523,220.0,10,0.08224199
-14.525703,0.36993393,1200.0,0.76976824,0.036271904,0.1416666666666667,0.17528616,0.065,0.1827792,240.0,11,0.08424714
-14.485722,0.3327901,1300.0,0.7719955,0.09029097,0.15833333333333335,0.17620586,0.08666666666666667,0.1833849,260.0,12,0.08517972
-13.374377,0.28569,1400.0,0.7747186,0.06319058,0.2583333333333333,0.17821474,0.10666666666666665,0.18390329,280.0,13,0.08650556
-11.944459,0.2477787,1500.0,0.77746993,0.06302154,0.27499999999999997,0.18089803,0.10333333333333335,0.18444212,300.0,14,0.089574404
-11.922618,0.22983374,1600.0,0.77996016,0.062336504,0.3416666666666666,0.18267114,0.12166666666666666,0.18497378,320.0,15,0.0914115
-11.823357,0.2406184,1700.0,0.7813757,0.08410216,0.30833333333333335,0.18438338,0.12666666666666668,0.1850955,340.0,16,0.09378993
-12.218646,0.22802639,1800.0,0.7835012,0.07284435,0.35833333333333334,0.18657519,0.11,0.18550235,360.0,17,0.09580945
-10.89592,0.19477598,1900.0,0.7857809,0.14889227,0.3416666666666666,0.18795456,0.125,0.18598188,380.0,18,0.097669214
-11.06059,0.18913531,2000.0,0.7878968,0.07920397,0.2916666666666667,0.18793039,0.14333333333333334,0.18643759,400.0,19,0.09856675
-11.280243,0.20463948,2100.0,0.78961927,0.102233194,0.4166666666666667,0.18829592,0.125,0.18681888,420.0,20,0.09924782
-12.906352,0.2104926,2200.0,0.7912133,0.17885588,0.31666666666666665,0.18823074,0.13833333333333334,0.18709524,440.0,21,0.09998628
-11.961083,0.22387832,2300.0,0.7924462,0.17222601,0.4083333333333334,0.18885456,0.12333333333333334,0.18729354,460.0,22,0.10073388
-11.81313,0.19198263,2400.0,0.7936301,0.22978352,0.375,0.18862624,0.17,0.18750791,480.0,23,0.101177074
-10.535005,0.17836125,2500.0,0.7949783,0.18674196,0.3833333333333333,0.18909337,0.165,0.18779211,500.0,24,0.10179826
-10.6678915,0.1925084,2600.0,0.7961121,0.15789092,0.4083333333333334,0.18912391,0.14166666666666666,0.18806165,520.0,25,0.10239271
-11.734676,0.18159597,2700.0,0.79704314,0.22614937,0.4083333333333334,0.18925016,0.17333333333333334,0.18826424,540.0,26,0.103060745
-11.168797,0.17963983,2800.0,0.79812413,0.19453537,0.39166666666666666,0.18929863,0.165,0.18849713,560.0,27,0.10383061
-9.755391,0.16319194,2900.0,0.7992072,0.2534671,0.44166666666666665,0.1890167,0.17,0.18870844,580.0,28,0.10410581
-10.503507,0.17696738,3000.0,0.80017203,0.15430681,0.45,0.18906938,0.18666666666666668,0.18889652,600.0,29,0.104444265
-9.307427,0.16344146,3100.0,0.80095196,0.25684255,0.5083333333333334,0.18898787,0.14833333333333334,0.18903781,620.0,30,0.10484362
-8.622647,0.14813125,3200.0,0.80187815,0.14871117,0.6833333333333332,0.18876523,0.18666666666666668,0.18922989,640.0,31,0.10515496
-10.237588,0.16371398,3300.0,0.80252767,0.12874933,0.4416666666666667,0.18847482,0.15666666666666665,0.18931068,660.0,32,0.1052152
-9.764531,0.16422091,3400.0,0.8032113,0.2880953,0.5333333333333333,0.18850178,0.16333333333333333,0.1894594,680.0,33,0.10553622
-11.363301,0.17743635,3500.0,0.8036063,0.2505574,0.4666666666666666,0.18871163,0.17,0.18952759,700.0,34,0.10592946
