test/episode,train/episode,stats_o/std,stats_g/std,test/success_rate,train/success_rate,stats_g/mean,test/mean_Q,train/critic_loss,test/ag_g_dist,stats_o/mean,epoch
20.0,100.0,0.056443423,0.12252853,0.0,0.0033333333333333335,0.7416408,-2.506189,0.004245776,0.47501025,0.17716105,0
40.0,200.0,0.05734067,0.12421904,0.0,0.0016666666666666668,0.7437568,-4.5473485,0.004302601,0.4448549,0.17684978,1
60.0,300.0,0.05817665,0.12874608,0.03333333333333333,0.0016666666666666668,0.74524254,-6.3937736,0.0049636755,0.421366,0.17754847,2
80.0,400.0,0.061205868,0.13619411,0.0,0.005,0.7476506,-8.392301,0.0053729773,0.45999268,0.17820644,3
100.0,500.0,0.06427253,0.14234573,0.016666666666666666,0.015,0.751456,-9.884585,0.01988674,0.4235207,0.1789604,4
120.0,600.0,0.0678232,0.14706528,0.016666666666666666,0.02666666666666667,0.7531026,-11.300766,0.0080557475,0.4363306,0.17938744,5
140.0,700.0,0.07066259,0.15027127,0.05833333333333333,0.024999999999999998,0.7559729,-12.214246,0.012705554,0.3995389,0.17993218,6
160.0,800.0,0.07357289,0.15519784,0.03333333333333333,0.041666666666666664,0.758699,-12.939033,0.02513771,0.37063095,0.1802038,7
180.0,900.0,0.07627595,0.15998003,0.03333333333333333,0.030000000000000002,0.76210284,-14.102181,0.015236949,0.4111592,0.18079777,8
200.0,1000.0,0.07987103,0.16468002,0.03333333333333333,0.053333333333333344,0.7663687,-13.924575,0.028741268,0.3468162,0.18166633,9
220.0,1100.0,0.08327296,0.16903855,0.10000000000000002,0.04833333333333334,0.76934737,-14.600739,0.028098611,0.3713549,0.18218021,10
240.0,1200.0,0.08525062,0.17067313,0.10833333333333334,0.05333333333333334,0.77201843,-15.054696,0.03566907,0.36321798,0.18262686,11
260.0,1300.0,0.08611382,0.17165613,0.15,0.05333333333333334,0.77343684,-14.675441,0.028845819,0.3450718,0.18273123,12
280.0,1400.0,0.08727715,0.17292665,0.09166666666666667,0.10166666666666668,0.7751213,-16.091703,0.039566066,0.34066153,0.18295424,13
300.0,1500.0,0.08830058,0.1754766,0.31666666666666665,0.07333333333333333,0.77676105,-13.396214,0.052756667,0.28546327,0.18320017,14
320.0,1600.0,0.08931474,0.1770278,0.325,0.11,0.77843785,-13.6046295,0.051941752,0.2537979,0.18342192,15
340.0,1700.0,0.09092096,0.17926271,0.3,0.12166666666666666,0.77976227,-13.804889,0.058225483,0.24197298,0.18365313,16
360.0,1800.0,0.09251365,0.18121158,0.2583333333333333,0.11333333333333333,0.78153896,-15.04969,0.18023556,0.26062897,0.18398689,17
380.0,1900.0,0.09452417,0.18345691,0.20833333333333334,0.105,0.7826705,-15.906575,0.095560424,0.2790797,0.1842783,18
400.0,2000.0,0.09594846,0.18493587,0.27499999999999997,0.12166666666666666,0.7835204,-14.421371,0.15043889,0.2536197,0.18451877,19
420.0,2100.0,0.09766782,0.18675463,0.35000000000000003,0.12833333333333333,0.7846249,-12.69952,0.071011566,0.21190012,0.18477638,20
440.0,2200.0,0.099024065,0.1875176,0.3666666666666667,0.15166666666666664,0.78628165,-11.857552,0.12002716,0.19748528,0.18516083,21
460.0,2300.0,0.100173034,0.1878771,0.3416666666666666,0.1366666666666667,0.78751594,-11.984992,0.1833195,0.20186423,0.18545812,22
480.0,2400.0,0.10130092,0.18821776,0.35833333333333334,0.145,0.7888379,-11.762837,0.19223313,0.21199155,0.18579368,23
500.0,2500.0,0.10222594,0.18861164,0.4000000000000001,0.12166666666666666,0.79023665,-9.315198,0.12091398,0.17173801,0.1860438,24
520.0,2600.0,0.10308961,0.1887906,0.4166666666666667,0.13166666666666668,0.79160285,-10.514813,0.1438777,0.1828065,0.18636818,25
540.0,2700.0,0.10378262,0.18879808,0.325,0.18333333333333335,0.79284304,-11.078789,0.16439383,0.17484073,0.18662679,26
560.0,2800.0,0.10439656,0.18903667,0.39999999999999997,0.15166666666666664,0.79406625,-11.2176695,0.3523458,0.1832788,0.18684046,27
580.0,2900.0,0.105020486,0.18925168,0.39999999999999997,0.165,0.7948273,-10.767949,0.11086663,0.1626619,0.1869505,28
600.0,3000.0,0.1056495,0.18967296,0.47500000000000003,0.14500000000000002,0.7955789,-11.102153,0.31924203,0.17734186,0.18704396,29
620.0,3100.0,0.10607522,0.1894741,0.45,0.17333333333333334,0.7964509,-11.407688,0.33284453,0.17346282,0.18706752,30
640.0,3200.0,0.10635056,0.18941496,0.3499999999999999,0.16833333333333333,0.79746747,-12.290268,0.15515842,0.15756457,0.18725197,31
660.0,3300.0,0.106756784,0.18940283,0.4750000000000001,0.18333333333333335,0.7980473,-11.493698,0.28245994,0.16627598,0.18735097,32
680.0,3400.0,0.10692144,0.18908791,0.45,0.21,0.7988746,-12.245712,0.30481645,0.17560422,0.18755586,33
700.0,3500.0,0.10707454,0.18889277,0.4583333333333333,0.17499999999999996,0.79947954,-11.883896,0.19802542,0.17037784,0.18765955,34
720.0,3600.0,0.107318364,0.18875527,0.3916666666666666,0.18833333333333335,0.8001916,-13.61485,0.2510849,0.2110668,0.18782179,35
740.0,3700.0,0.107951105,0.18900216,0.5,0.16166666666666665,0.80058426,-12.131434,0.14254005,0.18146603,0.18791044,36
760.0,3800.0,0.108206145,0.18896191,0.47500000000000003,0.18833333333333332,0.8010084,-11.750056,0.25259623,0.17063653,0.18800525,37
780.0,3900.0,0.10835599,0.18862711,0.525,0.19499999999999998,0.80166143,-11.178329,0.1967165,0.16769779,0.18813904,38
800.0,4000.0,0.108587116,0.1886555,0.5499999999999999,0.19000000000000003,0.80212635,-12.554605,0.743427,0.18939437,0.18824263,39
820.0,4100.0,0.10865494,0.1883922,0.5750000000000001,0.17333333333333334,0.8026495,-11.538216,0.3140154,0.1704526,0.18832396,40
840.0,4200.0,0.10884633,0.18850695,0.5666666666666667,0.155,0.8030034,-10.109788,0.26689103,0.16825414,0.18847351,41
860.0,4300.0,0.10893174,0.188446,0.5333333333333333,0.18499999999999997,0.80354935,-10.374698,0.3500432,0.15903156,0.1885374,42
880.0,4400.0,0.10899969,0.18852127,0.4749999999999999,0.19666666666666666,0.8038921,-11.532471,0.29196867,0.16416472,0.18864201,43
900.0,4500.0,0.10911084,0.18833934,0.4750000000000001,0.18499999999999997,0.80422825,-11.519501,0.25735494,0.17815518,0.18872923,44
920.0,4600.0,0.109205864,0.18833067,0.5166666666666667,0.16166666666666665,0.804499,-11.196279,0.4714415,0.1951934,0.18882246,45
940.0,4700.0,0.10935897,0.18831135,0.4583333333333333,0.1683333333333333,0.8048103,-11.698125,0.4589297,0.19947779,0.18888165,46
960.0,4800.0,0.109623365,0.18842925,0.6833333333333332,0.17666666666666667,0.80503327,-9.84033,0.43790618,0.17804873,0.18897589,47
980.0,4900.0,0.10978698,0.18834595,0.5916666666666667,0.165,0.80537534,-9.407254,0.3464209,0.16582704,0.18906946,48
1000.0,5000.0,0.110025585,0.18836008,0.5583333333333333,0.21333333333333335,0.80560404,-11.835304,0.37558374,0.18951948,0.18910788,49
