train/critic_loss,stats_o/std,test/episode,train/success_rate,stats_g/std,test/ag_g_dist,epoch,test/success_rate,train/episode,test/mean_Q,stats_o/mean,stats_g/mean
0.00800724,0.030929094,800.0,0.25,0.085216396,0.024246171,39,0.9416666666666668,800.0,-1.019595,0.2629614,0.8760524
0.01547369,0.030953309,820.0,0.17500000000000002,0.08526682,0.023023887,40,0.8916666666666666,820.0,-1.6818434,0.262991,0.876152
0.0067407577,0.03097258,840.0,0.25833333333333336,0.08528733,0.022365248,41,0.9250000000000002,840.0,-1.3359036,0.26303077,0.87629837
0.008007541,0.030985683,860.0,0.2916666666666667,0.08528585,0.019288614,42,0.9333333333333332,860.0,-1.036729,0.26303524,0.87628627
0.013284885,0.030983552,880.0,0.27499999999999997,0.08526033,0.023207322,43,0.9,880.0,-1.7988621,0.26307434,0.8764302
0.018085137,0.031002114,900.0,0.15833333333333335,0.085284166,0.022217816,44,0.9166666666666666,900.0,-1.44563,0.26307335,0.87640977
0.0063392315,0.031009203,920.0,0.30833333333333335,0.08527464,0.021141088,45,0.9249999999999999,920.0,-1.1183835,0.26309234,0.87648034
0.013688367,0.031023482,940.0,0.2333333333333333,0.08529166,0.018983902,46,0.9333333333333332,940.0,-1.1958531,0.26310343,0.8765142
0.0072166435,0.031071419,960.0,0.2916666666666667,0.0854282,0.021817716,47,0.9083333333333332,960.0,-1.5152758,0.2631032,0.8765185
0.008197483,0.031077528,980.0,0.2416666666666667,0.08541443,0.02051195,48,0.9166666666666666,980.0,-1.4792118,0.2631209,0.876571
0.010371228,0.03107982,1000.0,0.2916666666666667,0.08539612,0.021872358,49,0.9166666666666666,1000.0,-1.4883808,0.26313588,0.87662965
0.0079504885,0.03108198,1020.0,0.24166666666666667,0.08539518,0.027066069,50,0.9,1020.0,-1.6330777,0.26315135,0.87667674
0.0069787265,0.031084323,1040.0,0.225,0.085375816,0.02315197,51,0.9083333333333333,1040.0,-1.8192669,0.2631535,0.8766859
0.006100315,0.031082964,1060.0,0.25,0.085354425,0.026030742,52,0.8916666666666666,1060.0,-2.0903733,0.26315674,0.87669635
0.01972907,0.031082824,1080.0,0.3416666666666666,0.08532446,0.02028154,53,0.9249999999999999,1080.0,-1.6744515,0.26317254,0.8767511
0.007979095,0.031103477,1100.0,0.225,0.085373014,0.02384288,54,0.9083333333333332,1100.0,-1.9021677,0.2631416,0.8766339
0.014295287,0.031105867,1120.0,0.30833333333333335,0.08536175,0.02151353,55,0.9166666666666666,1120.0,-1.8364156,0.26315504,0.8767004
0.008526276,0.031104222,1140.0,0.27499999999999997,0.08532784,0.018528193,56,0.9416666666666668,1140.0,-1.231001,0.2631969,0.87686116
0.006503126,0.031089982,1160.0,0.2833333333333333,0.08525931,0.020494506,57,0.9333333333333332,1160.0,-1.4401807,0.26316637,0.87676024
0.0073626284,0.031102294,1180.0,0.26666666666666666,0.085278414,0.01628688,58,0.9583333333333334,1180.0,-1.1897734,0.26312917,0.8766227
0.0149989575,0.031101132,1200.0,0.17500000000000002,0.08526052,0.023076704,59,0.9083333333333333,1200.0,-1.7944528,0.26312536,0.87660176
