test/reward_compute_count,test/episode,stats_g/std,test/ag_g_dist,stats_o/mean,test/mean_Q,train/reward_compute_count,stats_g/mean,train/critic_loss,stats_o/std,epoch,train/episode,train/success_rate,test/success_rate
1000.0,20.0,0.019003253,0.087160945,0.3177082,-2.4659488,5000.0,0.6722663,0.017425375,0.6936968,0,100.0,0.0,0.09166666666666667
2000.0,40.0,0.01895355,0.025402566,0.3113543,-1.9042641,10000.0,0.6734937,0.019044949,0.7580602,1,200.0,0.0,0.14166666666666666
3000.0,60.0,0.019122945,0.048447598,0.31060147,-2.4723823,15000.0,0.6742973,0.017688869,0.7850713,2,300.0,0.005,0.1416666666666667
4000.0,80.0,0.018927861,0.036056962,0.31045115,-2.611833,20000.0,0.674813,0.018310422,0.7952307,3,400.0,0.005,0.225
5000.0,100.0,0.019014152,0.05865776,0.31109175,-2.8303573,25000.0,0.6751186,0.02384238,0.80227333,4,500.0,0.015,0.31666666666666665
6000.0,120.0,0.018991303,0.035879552,0.3095163,-2.923023,30000.0,0.6750353,0.021959687,0.8073222,5,600.0,0.01,0.4583333333333333
7000.0,140.0,0.018842516,0.035880152,0.30895087,-3.1471932,35000.0,0.67514724,0.01913993,0.80997205,6,700.0,0.016666666666666666,0.6333333333333334
8000.0,160.0,0.018720094,0.038486134,0.30922556,-4.649021,40000.0,0.6752886,0.018088432,0.8108197,7,800.0,0.011666666666666665,0.46666666666666673
9000.0,180.0,0.018616306,0.045977697,0.309548,-4.128488,45000.0,0.675396,0.019670418,0.8116526,8,900.0,0.013333333333333334,0.6833333333333332
10000.0,200.0,0.018761123,0.04530692,0.3095891,-4.3220253,50000.0,0.6755689,0.024377376,0.8121603,9,1000.0,0.023333333333333334,0.7083333333333334
11000.0,220.0,0.018797198,0.044552445,0.3100081,-4.9903007,55000.0,0.67569333,0.025833623,0.8118958,10,1100.0,0.013333333333333334,0.6666666666666666
12000.0,240.0,0.01872152,0.036180478,0.31001166,-4.929292,60000.0,0.67564327,0.01673004,0.8118642,11,1200.0,0.03,0.7416666666666667
13000.0,260.0,0.018612439,0.04210357,0.31008327,-6.357784,65000.0,0.6755448,0.021574927,0.8111631,12,1300.0,0.01,0.6
14000.0,280.0,0.018504312,0.031806666,0.3102968,-5.3114753,70000.0,0.6754758,0.018390177,0.81141883,13,1400.0,0.016666666666666666,0.7583333333333334
15000.0,300.0,0.018380033,0.03676683,0.31020015,-7.416388,75000.0,0.6753953,0.020141305,0.81106883,14,1500.0,0.021666666666666667,0.6916666666666668
16000.0,320.0,0.018275492,0.039529312,0.31005317,-7.2698326,80000.0,0.67536545,0.022539558,0.81049794,15,1600.0,0.01,0.7000000000000001
17000.0,340.0,0.018193306,0.037575662,0.30995378,-7.4154053,85000.0,0.67534524,0.01797019,0.8096602,16,1700.0,0.023333333333333334,0.7416666666666667
18000.0,360.0,0.018147437,0.04915068,0.30996192,-9.015445,90000.0,0.6753734,0.018483352,0.80882925,17,1800.0,0.024999999999999998,0.7000000000000001
19000.0,380.0,0.018127812,0.0445279,0.30993757,-8.838299,95000.0,0.6753569,0.018686928,0.80850047,18,1900.0,0.016666666666666666,0.6916666666666668
20000.0,400.0,0.018110666,0.038587753,0.30989268,-9.058613,100000.0,0.67537814,0.020617394,0.8079311,19,2000.0,0.015,0.6916666666666668
21000.0,420.0,0.018066682,0.043267716,0.309844,-10.933295,105000.0,0.67538327,0.02277802,0.80724365,20,2100.0,0.018333333333333333,0.6749999999999999
22000.0,440.0,0.018012626,0.037502144,0.30975658,-9.75251,110000.0,0.6753672,0.017080666,0.8069189,21,2200.0,0.005,0.7416666666666667
23000.0,460.0,0.017985035,0.0376209,0.30961904,-9.42026,115000.0,0.6753559,0.016944105,0.8067286,22,2300.0,0.01,0.7416666666666667
24000.0,480.0,0.017958106,0.04767285,0.30941334,-11.840795,120000.0,0.67532796,0.02287244,0.80642265,23,2400.0,0.015,0.6583333333333333
25000.0,500.0,0.017931705,0.033911254,0.3092427,-8.428769,125000.0,0.67531794,0.020569663,0.8059705,24,2500.0,0.013333333333333334,0.775
26000.0,520.0,0.017915059,0.04237777,0.30915445,-9.806485,130000.0,0.6753109,0.018160878,0.80554134,25,2600.0,0.008333333333333333,0.75
27000.0,540.0,0.017894287,0.03710286,0.3090812,-10.314631,135000.0,0.67532516,0.023906752,0.80527973,26,2700.0,0.006666666666666667,0.725
28000.0,560.0,0.017882235,0.046542,0.30897924,-12.293533,140000.0,0.6753399,0.021714823,0.8052309,27,2800.0,0.015,0.6916666666666668
29000.0,580.0,0.017863385,0.039247014,0.3090139,-12.221938,145000.0,0.67536014,0.023390861,0.8051329,28,2900.0,0.011666666666666667,0.6999999999999998
30000.0,600.0,0.017857196,0.042645317,0.30901033,-11.123858,150000.0,0.675375,0.020780878,0.80495423,29,3000.0,0.013333333333333334,0.725
31000.0,620.0,0.017841978,0.03780329,0.30901492,-10.65501,155000.0,0.67536455,0.018881677,0.80469656,30,3100.0,0.016666666666666666,0.7416666666666666
32000.0,640.0,0.017827814,0.04095428,0.308987,-12.3013315,160000.0,0.67535114,0.03773351,0.8044608,31,3200.0,0.01,0.7166666666666667
33000.0,660.0,0.017812083,0.03740781,0.30897087,-11.5383835,165000.0,0.6753466,0.016384818,0.80413073,32,3300.0,0.005,0.7416666666666666
34000.0,680.0,0.017800348,0.041260887,0.30896437,-10.9579115,170000.0,0.675348,0.026512304,0.80405,33,3400.0,0.013333333333333334,0.7083333333333334
35000.0,700.0,0.017788256,0.040919933,0.30892646,-13.003621,175000.0,0.67535335,0.069660634,0.80377084,34,3500.0,0.015000000000000001,0.6833333333333332
