test/reward_compute_count,test/episode,stats_g/std,test/ag_g_dist,stats_o/mean,test/mean_Q,train/reward_compute_count,stats_g/mean,train/critic_loss,stats_o/std,epoch,train/episode,train/success_rate,test/success_rate
36000.0,720.0,0.01778699,0.05209225,0.3088755,-15.387967,180000.0,0.6753607,0.016823262,0.8034126,35,3600.0,0.013333333333333334,0.6416666666666667
37000.0,740.0,0.017776547,0.044576358,0.30891111,-15.6477585,185000.0,0.6753674,0.027767425,0.8031685,36,3700.0,0.008333333333333333,0.6083333333333333
38000.0,760.0,0.017770788,0.046174943,0.3089038,-14.017738,190000.0,0.6753769,0.018348744,0.8030216,37,3800.0,0.0016666666666666668,0.6833333333333332
39000.0,780.0,0.01777889,0.044971604,0.30886912,-12.044274,195000.0,0.6753753,0.028743744,0.80313104,38,3900.0,0.011666666666666667,0.7166666666666667
40000.0,800.0,0.017784413,0.045316298,0.30885434,-14.474956,200000.0,0.6753914,0.018234415,0.80292135,39,4000.0,0.018333333333333333,0.6750000000000002
41000.0,820.0,0.017784426,0.040670298,0.3088097,-12.390861,205000.0,0.6754131,0.03460904,0.80272657,40,4100.0,0.015,0.7083333333333334
42000.0,840.0,0.017780662,0.054998,0.30876365,-17.818975,210000.0,0.6754177,0.01841873,0.80266887,41,4200.0,0.011666666666666667,0.5833333333333334
43000.0,860.0,0.017767427,0.04262389,0.30872595,-12.739413,215000.0,0.6754152,0.021951443,0.8025122,42,4300.0,0.008333333333333333,0.7083333333333334
44000.0,880.0,0.017751208,0.04552931,0.30861992,-13.954163,220000.0,0.6754062,0.028562425,0.8025597,43,4400.0,0.011666666666666667,0.6833333333333332
45000.0,900.0,0.017731128,0.043923095,0.3086015,-13.4321785,225000.0,0.6753897,0.02985741,0.8023127,44,4500.0,0.015,0.7000000000000001
46000.0,920.0,0.01771462,0.040602174,0.3086034,-14.079165,230000.0,0.67537814,0.019228926,0.80214757,45,4600.0,0.0016666666666666668,0.7083333333333334
47000.0,940.0,0.017698763,0.038281094,0.30853796,-13.441533,235000.0,0.6753628,0.015496888,0.8018535,46,4700.0,0.01,0.7000000000000001
48000.0,960.0,0.01768192,0.040274113,0.30850032,-15.013043,240000.0,0.67534995,0.023788258,0.8016756,47,4800.0,0.01,0.6916666666666668
49000.0,980.0,0.017664244,0.038816094,0.30841777,-14.15635,245000.0,0.67533016,0.017593985,0.8015998,48,4900.0,0.01,0.7166666666666667
50000.0,1000.0,0.017653128,0.037507795,0.30836934,-13.401298,250000.0,0.675312,0.017055325,0.8015937,49,5000.0,0.008333333333333333,0.725
51000.0,1020.0,0.01764814,0.047447428,0.3083129,-16.550241,255000.0,0.67529315,0.022192826,0.8013558,50,5100.0,0.021666666666666667,0.6166666666666667
52000.0,1040.0,0.01763141,0.04556185,0.30832422,-16.573442,260000.0,0.6752859,0.033107106,0.8012704,51,5200.0,0.008333333333333333,0.6416666666666667
53000.0,1060.0,0.01761449,0.039548066,0.3083313,-14.502194,265000.0,0.67528087,0.020229673,0.80121833,52,5300.0,0.011666666666666665,0.7000000000000001
54000.0,1080.0,0.017603222,0.03975347,0.3083248,-13.958493,270000.0,0.67527276,0.01645979,0.80096084,53,5400.0,0.006666666666666667,0.7083333333333334
55000.0,1100.0,0.017591966,0.042717833,0.30834597,-15.316525,275000.0,0.6752656,0.020064184,0.80074334,54,5500.0,0.013333333333333334,0.6750000000000002
56000.0,1120.0,0.017583668,0.040820222,0.30832636,-14.196529,280000.0,0.67526096,0.020601638,0.80055475,55,5600.0,0.016666666666666666,0.7083333333333334
57000.0,1140.0,0.017573845,0.045446023,0.30833334,-15.651229,285000.0,0.6752612,0.024307415,0.8005478,56,5700.0,0.01,0.6583333333333333
58000.0,1160.0,0.01756697,0.038231812,0.3083243,-12.178914,290000.0,0.6752638,0.024862265,0.80034876,57,5800.0,0.013333333333333334,0.7333333333333334
59000.0,1180.0,0.017561374,0.038016304,0.30836377,-11.959053,295000.0,0.6752627,0.018800853,0.8002843,58,5900.0,0.011666666666666667,0.7333333333333333
60000.0,1200.0,0.017555544,0.038457412,0.30840367,-11.551875,300000.0,0.67527324,0.016852198,0.80016685,59,6000.0,0.015,0.7666666666666666
