train/success_rate,stats_g/std,train/episode,train/critic_loss,stats_o/std,test/ag_g_dist,test/mean_Q,stats_g/mean,test/episode,epoch,stats_o/mean,test/success_rate
0.05333333333333334,0.07015764,100.0,0.0007612442,0.04596658,0.17464869,0.0005297516,0.837482,20.0,0,0.20132686,0.10000000000000002
0.08,0.069818,200.0,0.0011301613,0.04324929,0.181446,-0.007796895,0.8373351,40.0,1,0.20110773,0.016666666666666666
0.06333333333333334,0.069439374,300.0,0.0018899906,0.04174384,0.16599339,-0.0020207253,0.83741194,60.0,2,0.20108838,0.041666666666666664
0.06333333333333334,0.069471374,400.0,0.0015116226,0.041097622,0.1755353,0.0005281118,0.8381478,80.0,3,0.2012875,0.06666666666666667
0.07666666666666667,0.06953426,500.0,0.0013484223,0.041343123,0.17782448,-0.0018577203,0.8389759,100.0,4,0.20147641,0.049999999999999996
0.065,0.06951181,600.0,0.0007956496,0.040745277,0.16249377,-0.00025780595,0.8390562,120.0,5,0.20153145,0.075
0.05499999999999999,0.06944457,700.0,0.0011702561,0.040806435,0.16365816,-0.006479515,0.83897275,140.0,6,0.20152353,0.09166666666666667
0.07833333333333334,0.06945554,800.0,0.0030477,0.040712498,0.1706879,-0.0053114295,0.8392826,160.0,7,0.20162815,0.09166666666666667
0.05166666666666667,0.069450125,900.0,0.00061488216,0.040404085,0.16722286,-0.0058399276,0.839277,180.0,8,0.20158698,0.075
0.07,0.06948908,1000.0,0.002898394,0.04003789,0.18175173,-0.007168221,0.83912474,200.0,9,0.20153923,0.08333333333333333
0.085,0.06945478,1100.0,0.0015998519,0.039902378,0.16932869,-0.007693883,0.8388018,220.0,10,0.20147961,0.08333333333333333
0.07166666666666667,0.069457375,1200.0,0.0005774858,0.039804637,0.15560913,-0.0068652793,0.8387411,240.0,11,0.20146452,0.10000000000000002
0.06833333333333334,0.06940925,1300.0,0.001194815,0.039488573,0.15986742,-0.0079606995,0.83885676,260.0,12,0.2014919,0.06666666666666667
0.07333333333333333,0.06936262,1400.0,0.0044335695,0.039588045,0.17973137,-0.012309488,0.838742,280.0,13,0.20149295,0.03333333333333333
0.065,0.06938333,1500.0,0.016358463,0.03951044,0.16694479,-0.011570322,0.8386437,300.0,14,0.20147693,0.041666666666666664
0.08,0.069382325,1600.0,0.00097567466,0.039466333,0.17704745,-0.009568132,0.8385243,320.0,15,0.20141834,0.09166666666666667
0.051666666666666666,0.06936685,1700.0,9.1705086e-05,0.03948152,0.1673503,-0.010325228,0.8385127,340.0,16,0.20139028,0.05833333333333333
0.085,0.06938128,1800.0,0.0012778986,0.03921467,0.17520517,-0.012485422,0.8386105,360.0,17,0.2014066,0.041666666666666664
0.08666666666666667,0.069369204,1900.0,0.0034818759,0.03916287,0.17506342,-0.010526221,0.8385277,380.0,18,0.20137672,0.05833333333333334
0.07666666666666667,0.069354035,2000.0,0.0006604681,0.038999077,0.16660887,-0.009606396,0.83845717,400.0,19,0.20135377,0.08333333333333333
0.061666666666666675,0.06939747,2100.0,0.0023104977,0.039205156,0.17052336,-0.013058163,0.83848137,420.0,20,0.20136432,0.06666666666666667
0.065,0.06941344,2200.0,0.002111061,0.039078496,0.16844481,-0.013368972,0.83845145,440.0,21,0.20134892,0.08333333333333333
0.06333333333333334,0.06944754,2300.0,0.0017687966,0.039205737,0.17727761,-0.010948777,0.8382435,460.0,22,0.2012951,0.05833333333333334
0.06166666666666667,0.06944626,2400.0,0.005825548,0.039083723,0.1804351,-0.015946003,0.8381397,480.0,23,0.20126422,0.06666666666666667
0.06333333333333334,0.06945967,2500.0,0.004845323,0.03913214,0.17021318,-0.013863921,0.838279,500.0,24,0.201306,0.09999999999999999
0.06,0.06945069,2600.0,0.0061636684,0.039094824,0.17449975,-0.017387107,0.83832544,520.0,25,0.2013287,0.05000000000000001
0.08666666666666667,0.06946602,2700.0,0.0014176505,0.039202776,0.17029743,-0.017693281,0.83826184,540.0,26,0.20130466,0.075
0.065,0.06948096,2800.0,0.0011384321,0.039260935,0.15678422,-0.015879635,0.83816165,560.0,27,0.20127125,0.11666666666666665
0.051666666666666666,0.069486655,2900.0,0.00012732478,0.039184723,0.18131836,-0.014629004,0.838154,580.0,28,0.20126927,0.041666666666666664
0.075,0.069505736,3000.0,0.0052321083,0.039109133,0.18085118,-0.015780626,0.83810997,600.0,29,0.20125514,0.041666666666666664
