train/episode,stats_o/mean,stats_g/mean,stats_g/std,train/critic_loss,test/mean_Q,train/success_rate,stats_o/std,test/episode,test/success_rate,epoch,test/ag_g_dist
100.0,0.19362022,0.36890826,0.2345732,0.031160831,-2.0966618,0.0,0.7550327,20.0,0.0,0,0.9959039
200.0,0.1998233,0.3731685,0.23528971,0.036522217,-4.1984625,0.0,0.7531633,40.0,0.0,1,0.9898642
300.0,0.20003705,0.3744242,0.2360919,0.03194095,-6.3037796,0.0,0.7509629,60.0,0.0,2,0.9579137
400.0,0.20016961,0.3754244,0.2352315,0.03144521,-8.475929,0.0,0.7509472,80.0,0.0,3,1.034585
500.0,0.20014729,0.3751917,0.23477842,0.03376958,-10.310035,0.0,0.7512038,100.0,0.0,4,0.96373504
600.0,0.19964795,0.37509957,0.23545206,0.035241373,-12.222176,0.0,0.75098395,120.0,0.0,5,1.0025139
700.0,0.1992385,0.3753198,0.23640756,0.037768167,-14.054466,0.0,0.7530947,140.0,0.016666666666666666,6,1.0949371
800.0,0.19888408,0.37469736,0.23733245,0.0410581,-15.162953,0.0,0.75496656,160.0,0.0,7,0.9581526
900.0,0.19840433,0.37423417,0.23801629,0.039891504,-16.744019,0.0,0.7576067,180.0,0.008333333333333333,8,0.911751
1000.0,0.19799502,0.37414852,0.23865618,0.0432085,-18.324396,0.0016666666666666668,0.76073503,200.0,0.008333333333333333,9,0.98574823
1100.0,0.1974671,0.37386313,0.23912753,0.054134835,-19.276094,0.0033333333333333335,0.76458335,220.0,0.016666666666666666,10,0.94612
1200.0,0.19696222,0.37366137,0.23953314,0.05444662,-20.10676,0.0016666666666666668,0.7689314,240.0,0.025000000000000005,11,0.93864757
1300.0,0.19668019,0.37388358,0.2399653,0.061553184,-21.267914,0.006666666666666667,0.77520555,260.0,0.016666666666666666,12,0.93717664
1400.0,0.19635992,0.37339067,0.24056454,0.06155033,-22.589622,0.008333333333333333,0.7820573,280.0,0.049999999999999996,13,0.9218866
1500.0,0.19612034,0.3729399,0.24118637,0.07369559,-24.826601,0.005,0.78847855,300.0,0.016666666666666666,14,0.9733944
1600.0,0.19583558,0.37325105,0.24151278,0.07595854,-24.127249,0.0016666666666666668,0.7957148,320.0,0.008333333333333333,15,0.8415808
1700.0,0.1951937,0.3726337,0.24198599,0.08681979,-23.677317,0.005,0.8028844,340.0,0.03333333333333333,16,0.8113101
1800.0,0.19473411,0.37243274,0.24206348,0.100122936,-25.556936,0.013333333333333334,0.80923563,360.0,0.03333333333333333,17,0.8896324
1900.0,0.1944537,0.37249675,0.24224062,0.094179966,-22.11544,0.005,0.81568694,380.0,0.075,18,0.77623636
2000.0,0.1941387,0.37263656,0.24227916,0.10428238,-21.330507,0.015,0.8223684,400.0,0.075,19,0.67338556
2100.0,0.19381927,0.3727996,0.24229164,0.10982239,-24.416304,0.011666666666666667,0.82953095,420.0,0.05833333333333333,20,0.7658841
