train/episode,stats_o/mean,train/critic_addnl_loss,test/mean_Q,test/success_rate,stats_o/std,stats_g/std,train/success_rate,epoch,train/critic_loss,stats_g/mean,test/episode
20.0,0.25957736,0.15707213,-0.8105367,0.0,0.026837165,0.090427674,0.0,0,0.3100205,0.87133026,20.0
40.0,0.26059404,0.075217456,-1.1721328,0.016666666666666666,0.025223857,0.08752161,0.03333333333333333,1,0.1477937,0.87353945,40.0
60.0,0.26094142,0.016992802,-1.4008766,0.3,0.024848232,0.08710441,0.05833333333333334,2,0.033706922,0.8739397,60.0
80.0,0.26168093,0.0018377835,-1.8125991,0.3416666666666666,0.024710586,0.08695665,0.2916666666666667,3,0.004192043,0.8761379,80.0
100.0,0.26235855,0.0007517734,-2.0661404,0.3416666666666666,0.024491867,0.08638356,0.2833333333333334,4,0.0046230634,0.875899,100.0
120.0,0.2625391,0.0013599861,-1.9794632,0.5333333333333333,0.024536451,0.08652993,0.5083333333333333,5,0.0068243532,0.8745694,120.0
140.0,0.26239675,0.0018095846,-1.8164104,0.6333333333333334,0.024680903,0.08616692,0.625,6,0.0093653295,0.87391824,140.0
160.0,0.2624587,0.004231118,-1.5883871,0.7583333333333333,0.024934137,0.08573566,0.6666666666666666,7,0.01131655,0.87388176,160.0
180.0,0.26234207,0.0071874387,-1.2914944,0.875,0.025376389,0.08576744,0.7666666666666666,8,0.016063416,0.87376016,180.0
200.0,0.2623935,0.015126504,-1.1588541,0.9333333333333332,0.02592907,0.08565978,0.9,9,0.026215604,0.8740477,200.0
220.0,0.26233312,0.016022166,-0.8901282,0.9916666666666667,0.026469722,0.085748166,0.8416666666666667,10,0.027257564,0.8737862,220.0
240.0,0.26219422,0.03147843,-0.8575668,0.9833333333333334,0.026937127,0.08577311,0.9083333333333333,11,0.042729456,0.8732264,240.0
260.0,0.26225993,0.03131603,-0.86834097,1.0,0.027288204,0.08570367,0.8833333333333333,12,0.04607771,0.8733921,260.0
280.0,0.2624634,0.044240113,-0.8309986,1.0,0.027629023,0.08569095,0.85,13,0.056403518,0.8741495,280.0
300.0,0.26242906,0.034004707,-0.7767107,1.0,0.027848711,0.08548053,0.7916666666666666,14,0.04540467,0.874036,300.0
320.0,0.2624885,0.035756826,-0.7529015,1.0,0.028113374,0.08556687,0.7999999999999999,15,0.051665086,0.8743679,320.0
340.0,0.26242214,0.04758355,-0.7841346,0.9916666666666667,0.028320393,0.085615896,0.7666666666666666,16,0.059970498,0.8741698,340.0
360.0,0.2624367,0.03703052,-0.7117303,1.0,0.028516328,0.085674524,0.8000000000000002,17,0.048441242,0.8742898,360.0
380.0,0.26230925,0.04501925,-0.752904,1.0,0.028656328,0.085707135,0.8333333333333334,18,0.062881835,0.8739028,380.0
400.0,0.2623829,0.05079818,-0.7472903,1.0,0.028883472,0.08598194,0.8250000000000001,19,0.062715404,0.8741598,400.0
420.0,0.2624523,0.041166916,-0.6855952,1.0,0.029031461,0.08605287,0.8416666666666667,20,0.05526345,0.8744649,420.0
440.0,0.26236826,0.033611517,-0.7346023,1.0,0.029105594,0.086022645,0.8250000000000001,21,0.044753913,0.8742628,440.0
460.0,0.26237974,0.03978606,-0.6491948,1.0,0.029154629,0.08588513,0.7916666666666666,22,0.0517595,0.874363,460.0
