stats_g/mean,stats_o/mean,epoch,test/success_rate,train/episode,train/success_rate,stats_g/std,test/episode,test/mean_Q,stats_o/std
0.8636894,0.25943056,0,0.85,100.0,0.56,0.08040852,20.0,-0.519343,0.027591508
0.8693146,0.261046,1,1.0,200.0,0.79,0.082531825,40.0,-0.0772905,0.02917713
0.87240744,0.26191834,2,1.0,300.0,0.78,0.08381611,60.0,-0.08727922,0.029890448
0.87339956,0.26220188,3,1.0,400.0,0.81,0.085173845,80.0,-0.07676477,0.03041943
0.8746764,0.2625205,4,1.0,500.0,0.84,0.08525827,100.0,-0.071423575,0.030506283
0.8746527,0.26250505,5,1.0,600.0,0.75,0.085076176,120.0,-0.06924688,0.030482635
0.8749718,0.26260176,6,1.0,700.0,0.84,0.085089274,140.0,-0.059796035,0.030511567
0.8748641,0.26254442,7,1.0,800.0,0.79,0.08519346,160.0,-0.00639385,0.030562934
0.8756175,0.2627343,8,1.0,900.0,0.75,0.0852837,180.0,-0.083533116,0.030586611
