train/episode,stats_o/mean,test/ag_g_dist,train/critic_loss,test/success_rate,stats_o/std,stats_g/mean,stats_g/std,epoch,test/mean_Q,test/episode,train/success_rate
3700.0,0.31122708,0.053399086,0.027373651,0.0,0.81348497,0.67559975,0.01790073,36,-13.492104,740.0,0.0
3800.0,0.3112176,0.041061822,0.018031122,0.0,0.8132046,0.67561525,0.017884677,37,-13.358429,760.0,0.0
3900.0,0.31117496,0.04684343,0.017633475,0.0,0.81299967,0.67560846,0.017864501,38,-12.455266,780.0,0.0
4000.0,0.3111335,0.04410379,0.06346018,0.0,0.8127044,0.6756107,0.017849581,39,-14.822816,800.0,0.0
4100.0,0.3110867,0.042129774,0.019119786,0.0,0.81229573,0.6756082,0.017829351,40,-12.078694,820.0,0.0
4200.0,0.31100282,0.05310769,0.02552724,0.0,0.8120613,0.67559975,0.01780674,41,-16.865557,840.0,0.0
4300.0,0.3109868,0.03798976,0.019837465,0.0,0.81199163,0.6756043,0.017799336,42,-12.634819,860.0,0.0
4400.0,0.31090882,0.05300073,0.016431993,0.0,0.81213826,0.67559904,0.017794052,43,-13.211421,880.0,0.0
4500.0,0.31089765,0.046889883,0.01771492,0.0,0.81194353,0.6755988,0.017798524,44,-13.578361,900.0,0.0
4600.0,0.31093633,0.051541984,0.03366156,0.0,0.8117991,0.67562145,0.017811507,45,-13.902265,920.0,0.0
4700.0,0.31091937,0.05117317,0.026170969,0.0,0.8114708,0.67562836,0.017814029,46,-13.702293,940.0,0.0
4800.0,0.3109181,0.044326756,0.016701741,0.0,0.8112364,0.67564625,0.01782319,47,-15.364978,960.0,0.0
4900.0,0.31089896,0.05771332,0.0152716935,0.0,0.8111544,0.6756591,0.017821532,48,-13.547679,980.0,0.0
5000.0,0.31091714,0.04761067,0.014232521,0.0,0.81116956,0.67566377,0.01781324,49,-15.477635,1000.0,0.0
5100.0,0.31092593,0.04911181,0.01962897,0.0,0.81096125,0.67567474,0.017807713,50,-16.731272,1020.0,0.0
5200.0,0.3109703,0.05582158,0.015141033,0.0,0.8107803,0.67568725,0.017801795,51,-17.018072,1040.0,0.0
5300.0,0.31097636,0.046579946,0.01527789,0.0,0.81052285,0.675693,0.017787566,52,-15.017372,1060.0,0.0
5400.0,0.31095105,0.04660405,0.021902723,0.0,0.8101216,0.67569405,0.01777937,53,-14.586791,1080.0,0.0
5500.0,0.31094974,0.04987916,0.033739433,0.0,0.80982023,0.67569274,0.017768804,54,-17.018732,1100.0,0.0
5600.0,0.310942,0.04477003,0.01931425,0.0,0.8094931,0.6756975,0.017757067,55,-15.108539,1120.0,0.0
5700.0,0.310955,0.05141784,0.016145343,0.0,0.8093912,0.67570573,0.017747559,56,-16.011942,1140.0,0.0
5800.0,0.3108891,0.038063604,0.072180904,0.0,0.809256,0.6757031,0.017744102,57,-13.369924,1160.0,0.0
5900.0,0.31086206,0.044599548,0.025271319,0.0,0.8090492,0.67568654,0.017740648,58,-14.4741745,1180.0,0.0
6000.0,0.31087524,0.043426406,0.015487497,0.0,0.80879575,0.6756852,0.017731346,59,-13.176009,1200.0,0.0
