train/episode,train/critic_loss,test/success_rate,epoch,train/success_rate,stats_o/std,stats_o/mean,stats_g/mean,test/mean_Q,test/ag_g_dist,stats_g/std,test/episode
3200.0,0.15264691,0.11666666666666665,31,0.01,0.81263787,0.20226747,0.35271707,-29.980234,0.7269764,0.1837004,640.0
3300.0,0.20019038,0.15,32,0.01,0.8155121,0.20224147,0.352986,-28.997889,0.7144154,0.18436809,660.0
3400.0,0.22414494,0.19999999999999998,33,0.006666666666666667,0.8179707,0.20212524,0.35303006,-28.82121,0.74117136,0.18488269,680.0
3500.0,0.21444221,0.17499999999999996,34,0.015,0.8203979,0.20193766,0.3532826,-31.486458,0.80323476,0.18537407,700.0
3600.0,0.31773093,0.22499999999999998,35,0.01,0.82239336,0.20193489,0.35340813,-27.414932,0.72821814,0.18578835,720.0
3700.0,0.24827796,0.15,36,0.011666666666666667,0.82472986,0.20187628,0.35358527,-30.148634,0.7677147,0.18619595,740.0
3800.0,0.26218584,0.15833333333333333,37,0.01,0.82665807,0.20190908,0.35355362,-29.803106,0.73897094,0.18652344,760.0
3900.0,0.17538328,0.11666666666666665,38,0.008333333333333333,0.82851046,0.20192754,0.3536074,-31.971151,0.78469783,0.18697298,780.0
4000.0,0.28458783,0.14166666666666666,39,0.01,0.8304698,0.20193766,0.3536388,-33.36844,0.843143,0.18730755,800.0
4100.0,0.37760854,0.10000000000000002,40,0.008333333333333333,0.8323502,0.20197828,0.3539224,-32.03848,0.8140178,0.18769921,820.0
4200.0,0.33132473,0.16666666666666666,41,0.013333333333333334,0.8341911,0.2019579,0.35414913,-31.42087,0.7801859,0.18801306,840.0
4300.0,0.31024376,0.21666666666666665,42,0.01,0.8360572,0.20205529,0.3543572,-26.968033,0.67646533,0.18833633,860.0
4400.0,0.2387625,0.19166666666666665,43,0.013333333333333334,0.83756995,0.20216388,0.354592,-28.083473,0.6694601,0.1886559,880.0
4500.0,0.211271,0.16666666666666666,44,0.016666666666666666,0.8391798,0.202164,0.35480753,-29.233164,0.68401295,0.18887548,900.0
4600.0,0.25696707,0.11666666666666668,45,0.011666666666666667,0.8407127,0.20232145,0.35492668,-31.725573,0.7713261,0.18906085,920.0
4700.0,0.48596135,0.18333333333333335,46,0.01,0.8421629,0.20239806,0.35519966,-31.932158,0.7618341,0.18927495,940.0
4800.0,0.20009358,0.14166666666666666,47,0.016666666666666666,0.8433359,0.20247991,0.3553811,-33.86741,0.8315821,0.18945725,960.0
4900.0,0.2450449,0.16666666666666666,48,0.008333333333333333,0.84457475,0.20256515,0.35556665,-30.356031,0.6984112,0.18961887,980.0
5000.0,0.462684,0.17499999999999996,49,0.006666666666666667,0.8459208,0.20247783,0.35568646,-32.26173,0.7356958,0.18979585,1000.0
