train/episode,train/critic_loss,test/success_rate,epoch,train/success_rate,stats_o/std,stats_o/mean,stats_g/mean,test/mean_Q,test/ag_g_dist,stats_g/std,test/episode
100.0,0.024159843,0.0,0,0.0016666666666666668,0.7240928,0.2015128,0.3397273,-2.9689872,0.8930876,0.15673447,20.0
200.0,0.026955443,0.016666666666666666,1,0.0016666666666666668,0.717701,0.20086461,0.33877203,-5.091721,0.96810585,0.1582655,40.0
300.0,0.028164178,0.016666666666666666,2,0.0016666666666666668,0.7142425,0.20030582,0.33960986,-7.0388083,0.93786913,0.15781155,60.0
400.0,0.028688662,0.0,3,0.0033333333333333335,0.7126108,0.19964166,0.34013805,-9.313707,0.92265767,0.1572896,80.0
500.0,0.043297797,0.008333333333333333,4,0.0016666666666666668,0.7119419,0.19937271,0.33964625,-11.283603,0.91412115,0.15728699,100.0
600.0,0.04262473,0.0,5,0.0,0.7119055,0.19909225,0.3394489,-13.317113,0.9710336,0.15754235,120.0
700.0,0.0500752,0.0,6,0.0,0.7131546,0.1992858,0.3395507,-14.717766,0.97661537,0.15774833,140.0
800.0,0.04381506,0.008333333333333333,7,0.0033333333333333335,0.71493787,0.19928364,0.33947644,-16.765678,0.9253642,0.15826125,160.0
900.0,0.047438953,0.008333333333333333,8,0.0033333333333333335,0.71728677,0.1993509,0.3399478,-18.383898,1.0054492,0.15927579,180.0
1000.0,0.04184659,0.025000000000000005,9,0.0033333333333333335,0.72127384,0.19937225,0.34026393,-19.499197,0.86913085,0.16034007,200.0
1100.0,0.057453167,0.03333333333333333,10,0.0033333333333333335,0.7264493,0.1996224,0.34068045,-20.544752,0.93513757,0.1617682,220.0
1200.0,0.090033464,0.075,11,0.008333333333333333,0.732152,0.19980519,0.34128758,-20.6,0.7883912,0.16337547,240.0
1300.0,0.0670071,0.03333333333333333,12,0.006666666666666667,0.73710626,0.2001223,0.3422679,-22.876274,0.9870679,0.16480425,260.0
1400.0,0.07413342,0.075,13,0.0016666666666666668,0.74354726,0.20044239,0.34316614,-22.62647,0.8560241,0.1663996,280.0
1500.0,0.09249053,0.041666666666666664,14,0.008333333333333333,0.74888426,0.20082696,0.3439835,-23.237122,0.8882303,0.16770907,300.0
1600.0,0.09001439,0.016666666666666666,15,0.0033333333333333335,0.7532236,0.20102845,0.3443304,-25.731504,0.971735,0.16887532,320.0
1700.0,0.10787335,0.05000000000000001,16,0.006666666666666667,0.75807136,0.20120354,0.34490487,-26.055506,0.90298444,0.16993459,340.0
1800.0,0.17122836,0.15,17,0.008333333333333333,0.7624777,0.20127772,0.34556547,-24.980408,0.80777186,0.17104058,360.0
1900.0,0.13203937,0.05833333333333334,18,0.0016666666666666668,0.76614934,0.20138009,0.34615865,-27.063736,0.9065356,0.17233105,380.0
2000.0,0.218744,0.075,19,0.005,0.7705827,0.20167889,0.34691468,-28.137278,0.88342047,0.17359813,400.0
2100.0,0.19199376,0.13333333333333333,20,0.01,0.77506524,0.20187043,0.347491,-27.430136,0.8432276,0.17488198,420.0
2200.0,0.16362104,0.06666666666666667,21,0.008333333333333333,0.7795252,0.20198654,0.3482709,-28.440851,0.8009828,0.17645395,440.0
2300.0,0.15058613,0.15,22,0.011666666666666665,0.7834843,0.20213097,0.34914002,-26.580948,0.7968097,0.1777518,460.0
2400.0,0.18239152,0.21666666666666667,23,0.006666666666666667,0.7873674,0.20203345,0.34971812,-24.1869,0.70674896,0.17869048,480.0
2500.0,0.18329255,0.13333333333333333,24,0.005,0.79096276,0.2022981,0.3502576,-27.101702,0.79038864,0.1793286,500.0
2600.0,0.17585151,0.15833333333333335,25,0.008333333333333333,0.7940383,0.20209987,0.35081133,-27.01161,0.781215,0.18001269,520.0
2700.0,0.25508785,0.18333333333333335,26,0.0033333333333333335,0.7970652,0.20194383,0.35127458,-28.266388,0.76542616,0.18054123,540.0
2800.0,0.18056083,0.15833333333333333,27,0.006666666666666667,0.80038196,0.2018602,0.35166517,-28.233126,0.77866936,0.18107884,560.0
2900.0,0.3589882,0.15,28,0.006666666666666667,0.80327064,0.20205371,0.351963,-28.225302,0.7216192,0.18171494,580.0
3000.0,0.16182666,0.18333333333333335,29,0.01,0.8062956,0.20218031,0.35215345,-29.569336,0.7690341,0.1823607,600.0
3100.0,0.20945643,0.21666666666666667,30,0.01,0.8095772,0.20219131,0.35248375,-27.556059,0.69109184,0.18305288,620.0
