stats_g/mean,stats_o/std,train/episode,test/success_rate,test/episode,test/mean_Q,epoch,stats_g/std,train/success_rate,stats_o/mean,train/critic_loss
0.83817196,0.05679199,1800.0,0.03333333333333333,360.0,11.201123,17,0.08234612,0.07333333333333333,0.201169,141.43105
0.8380222,0.05721509,1900.0,0.05833333333333334,380.0,9.612607,18,0.08265773,0.07833333333333334,0.20113657,114.718994
0.8377721,0.057991486,2000.0,0.075,400.0,10.371234,19,0.08327217,0.07333333333333335,0.20115702,95.53271
0.8376174,0.058605213,2100.0,0.06666666666666667,420.0,11.210832,20,0.083780885,0.055,0.2011771,139.13213
0.83745646,0.059136737,2200.0,0.08333333333333333,440.0,10.134492,21,0.08429873,0.06166666666666667,0.2011623,120.50332
0.83711165,0.059918195,2300.0,0.049999999999999996,460.0,12.486496,22,0.084613055,0.051666666666666666,0.20107739,145.94722
0.83686715,0.06095611,2400.0,0.049999999999999996,480.0,12.300499,23,0.08545504,0.056666666666666664,0.20103721,127.735176
0.8368769,0.061619062,2500.0,0.09999999999999999,500.0,11.988093,24,0.08580208,0.055,0.201056,165.20168
0.8368494,0.06222154,2600.0,0.05000000000000001,520.0,11.188945,25,0.086257644,0.051666666666666666,0.20108025,156.40236
0.83671045,0.06276188,2700.0,0.06666666666666667,540.0,12.200105,26,0.08648431,0.07833333333333332,0.2010619,166.76671
0.8364337,0.063866444,2800.0,0.09166666666666667,560.0,11.871498,27,0.08748275,0.06166666666666667,0.20100905,145.6075
0.8363409,0.06441024,2900.0,0.041666666666666664,580.0,12.827092,28,0.088120066,0.045000000000000005,0.20102356,143.96718
0.8361992,0.06516777,3000.0,0.041666666666666664,600.0,14.483226,29,0.08880278,0.075,0.20103912,198.7218
0.83608276,0.06629454,3100.0,0.041666666666666664,620.0,11.380481,30,0.0896039,0.065,0.20106089,163.81146
0.8360996,0.06691904,3200.0,0.05000000000000001,640.0,13.204726,31,0.089947045,0.06166666666666667,0.20110567,163.54433
0.83620805,0.0676822,3300.0,0.075,660.0,12.779026,32,0.09042951,0.06666666666666667,0.20116718,186.63762
0.83623725,0.06841499,3400.0,0.049999999999999996,680.0,12.673599,33,0.09093964,0.056666666666666664,0.2012145,175.79968
0.83614755,0.06896932,3500.0,0.03333333333333333,700.0,11.825023,34,0.091301866,0.056666666666666664,0.20120914,170.27922
0.83615255,0.06965051,3600.0,0.06666666666666667,720.0,11.536026,35,0.09187641,0.06666666666666667,0.20122701,137.68402
0.8362188,0.07014222,3700.0,0.05000000000000001,740.0,11.599468,36,0.092148244,0.06166666666666667,0.2012471,168.87325
0.83619577,0.07080528,3800.0,0.075,760.0,13.694598,37,0.09243372,0.06166666666666667,0.20129465,172.81071
0.8362164,0.071160555,3900.0,0.08333333333333333,780.0,12.792381,38,0.092571534,0.07166666666666667,0.20130384,164.89029
0.83628774,0.07133761,4000.0,0.06666666666666667,800.0,13.72036,39,0.09253619,0.05666666666666667,0.20130722,176.4113
0.83618146,0.07187373,4100.0,0.06666666666666667,820.0,13.533038,40,0.09267985,0.07833333333333332,0.20134108,224.33685
0.83618957,0.07234436,4200.0,0.016666666666666666,840.0,13.963237,41,0.09279748,0.06833333333333334,0.20135546,184.26917
0.83623505,0.07273636,4300.0,0.09166666666666667,860.0,12.959477,42,0.09283313,0.065,0.20139472,242.11476
0.8362458,0.07316477,4400.0,0.05000000000000001,880.0,14.261337,43,0.09298227,0.06666666666666667,0.20138936,245.07214
0.83624315,0.07354943,4500.0,0.05833333333333333,900.0,12.967494,44,0.09303016,0.045000000000000005,0.20140998,214.25648
0.8362586,0.0740981,4600.0,0.041666666666666664,920.0,15.19727,45,0.0931741,0.07833333333333332,0.20144735,204.71118
0.8362341,0.07447259,4700.0,0.041666666666666664,940.0,14.501785,46,0.093263984,0.075,0.20144211,198.81432
0.8362219,0.074844144,4800.0,0.09166666666666666,960.0,14.562682,47,0.09334598,0.049999999999999996,0.20145907,223.22597
0.8361845,0.07529661,4900.0,0.049999999999999996,980.0,13.714202,48,0.093603335,0.06666666666666667,0.20146613,197.55348
0.836178,0.075621255,5000.0,0.09999999999999999,1000.0,11.98629,49,0.09376231,0.085,0.20148997,195.68532
