stats_g/mean,stats_o/std,train/episode,test/success_rate,test/episode,test/mean_Q,epoch,stats_g/std,train/success_rate,stats_o/mean,train/critic_loss
0.8373802,0.041240007,100.0,0.10000000000000002,20.0,0.28869408,0,0.07003642,0.05499999999999999,0.20129393,0.28007883
0.83712727,0.045301627,200.0,0.016666666666666666,40.0,0.69034815,1,0.071714334,0.08,0.20109159,0.6449197
0.83726317,0.04370485,300.0,0.041666666666666664,60.0,1.252111,2,0.07100985,0.065,0.20090668,1.5290608
0.8377986,0.044293478,400.0,0.06666666666666667,80.0,2.4636688,3,0.071714275,0.065,0.2009793,5.6159286
0.838557,0.045567393,500.0,0.049999999999999996,100.0,3.4386961,4,0.07263434,0.07166666666666667,0.2012101,10.576286
0.8386214,0.045924526,600.0,0.075,120.0,4.406341,5,0.07313328,0.06166666666666667,0.20117928,22.220152
0.83862466,0.04644018,700.0,0.07500000000000001,140.0,5.822829,6,0.07328992,0.05833333333333334,0.20119303,37.177086
0.8390344,0.04654138,800.0,0.09166666666666667,160.0,7.037543,7,0.073241,0.07166666666666667,0.20135207,46.50989
0.8391013,0.046902943,900.0,0.075,180.0,7.6521554,8,0.07369652,0.05833333333333334,0.20134157,63.495777
0.8390455,0.04784381,1000.0,0.05833333333333333,200.0,9.325899,9,0.07456745,0.06,0.20134914,75.321815
0.83875513,0.049466744,1100.0,0.06666666666666667,220.0,9.517989,10,0.076694585,0.07166666666666667,0.20126824,85.562035
0.8386741,0.05046111,1200.0,0.10000000000000002,240.0,8.902875,11,0.07778476,0.07,0.2013158,109.56982
0.8387337,0.050948087,1300.0,0.05833333333333334,260.0,9.372016,12,0.07807283,0.065,0.20128082,98.38381
0.83852935,0.051893786,1400.0,0.025000000000000005,280.0,10.419224,13,0.07891015,0.06666666666666667,0.20123674,90.985146
0.8383625,0.053582963,1500.0,0.041666666666666664,300.0,9.774148,14,0.08008825,0.06,0.2011903,110.24421
0.8382606,0.05517665,1600.0,0.09166666666666667,320.0,11.111122,15,0.08141797,0.07333333333333335,0.20118177,138.3733
0.8381877,0.056044113,1700.0,0.041666666666666664,340.0,10.974625,16,0.081810944,0.05000000000000001,0.20116156,134.37517
