train/success_rate,test/success_rate,train/critic_loss,stats_o/std,test/episode,epoch,stats_g/mean,train/episode,stats_g/std,test/mean_Q,stats_o/mean
0.05166666666666667,0.10000000000000002,0.012358644,0.04754727,20.0,0,0.8388899,100.0,0.06201211,15.002594,0.20137686
0.075,0.016666666666666666,0.0154212,0.0462639,40.0,1,0.8390105,200.0,0.061551046,26.353378,0.20118259
0.06,0.03333333333333333,0.015807157,0.047427014,60.0,2,0.8391831,300.0,0.06113909,35.558907,0.20110138
0.06333333333333334,0.05833333333333334,0.01460534,0.04978277,80.0,3,0.83921915,400.0,0.061099347,44.211803,0.20127706
0.07333333333333335,0.049999999999999996,0.0192278,0.051796332,100.0,4,0.8396826,500.0,0.06122978,54.59915,0.20144348
0.06333333333333334,0.075,0.020580493,0.05403821,120.0,5,0.8394308,600.0,0.061157197,57.68132,0.20140994
0.05833333333333333,0.09166666666666667,0.020786952,0.05485176,140.0,6,0.83916426,700.0,0.06091324,60.214436,0.20137982
0.07666666666666667,0.09166666666666667,0.018170439,0.055410128,160.0,7,0.83912665,800.0,0.060996667,70.71314,0.20151849
0.06,0.075,0.019662023,0.05558523,180.0,8,0.83925086,900.0,0.06107181,83.12086,0.20152052
0.07166666666666667,0.08333333333333333,0.021665981,0.05717686,200.0,9,0.8392935,1000.0,0.061068043,100.78689,0.20143534
0.085,0.08333333333333333,0.022058481,0.05691643,220.0,10,0.8389778,1100.0,0.060982037,103.1735,0.2013405
0.06666666666666667,0.10000000000000002,0.022214474,0.056985836,240.0,11,0.8389077,1200.0,0.060956355,107.87012,0.20133913
0.065,0.06666666666666667,0.02998039,0.057687197,260.0,12,0.83884126,1300.0,0.06093822,134.82259,0.20141609
0.07166666666666667,0.03333333333333333,0.028395416,0.057718772,280.0,13,0.8386631,1400.0,0.060935903,129.11958,0.20140202
0.06333333333333334,0.03333333333333333,0.027540563,0.057637077,300.0,14,0.8385408,1500.0,0.060935605,136.76167,0.20138781
0.07666666666666666,0.09166666666666667,0.022512602,0.058170613,320.0,15,0.83858484,1600.0,0.06085745,146.554,0.20135649
