stats_o/std,stats_o/mean,epoch,train/success_rate,stats_g/std,train/episode,stats_g/mean,test/episode,train/critic_loss,test/success_rate,test/mean_Q
0.041499175,0.20100199,0,0.05499999999999999,0.07004078,100.0,0.83837944,20.0,0.15754707,0.10000000000000002,-0.18353719
0.040684983,0.20093252,1,0.07833333333333332,0.06988643,200.0,0.8378419,40.0,0.16203691,0.016666666666666666,-0.18662544
0.039290417,0.20093377,2,0.06333333333333334,0.06955619,300.0,0.83774716,60.0,0.16074134,0.041666666666666664,-0.19217281
0.038978353,0.20119505,3,0.06666666666666667,0.06957469,400.0,0.8383948,80.0,0.15518786,0.06666666666666667,-0.1917432
0.03921993,0.20138504,4,0.075,0.069659665,500.0,0.83917695,100.0,0.15607803,0.049999999999999996,-0.18603174
0.039413538,0.20139062,5,0.065,0.06957432,600.0,0.8392506,120.0,0.15827994,0.075,-0.19118845
0.039795507,0.20142289,6,0.051666666666666666,0.06952166,700.0,0.8391376,140.0,0.15273018,0.09166666666666667,-0.18642168
0.03979274,0.20147632,7,0.07666666666666667,0.06945024,800.0,0.8393728,160.0,0.16033904,0.09166666666666667,-0.1884613
0.039496876,0.20147853,8,0.055,0.06941069,900.0,0.839353,180.0,0.15539597,0.075,-0.18604523
0.03929278,0.20143963,9,0.07166666666666667,0.06943522,1000.0,0.8392059,200.0,0.15936787,0.08333333333333333,-0.18694949
0.039000455,0.20137589,10,0.08666666666666667,0.06940816,1100.0,0.83892065,220.0,0.15729544,0.08333333333333333,-0.1880304
0.03889993,0.2013698,11,0.06666666666666667,0.06939679,1200.0,0.8388508,240.0,0.14881612,0.10000000000000002,-0.19066866
0.038869996,0.20141096,12,0.06166666666666667,0.06935067,1300.0,0.83895564,260.0,0.14975958,0.06666666666666667,-0.18989407
0.03871184,0.20140253,13,0.07333333333333333,0.069299616,1400.0,0.8388622,280.0,0.14680347,0.03333333333333333,-0.18852215
0.038499307,0.20137882,14,0.06833333333333334,0.06933621,1500.0,0.83874243,300.0,0.15659712,0.041666666666666664,-0.18930401
0.038755666,0.20135659,15,0.07666666666666666,0.069352165,1600.0,0.8386186,320.0,0.15114881,0.09166666666666667,-0.18129824
0.03897249,0.2013487,16,0.04833333333333334,0.06934871,1700.0,0.83859783,340.0,0.15089346,0.05833333333333333,-0.18849869
0.038896993,0.20136814,17,0.07833333333333332,0.06935365,1800.0,0.8386858,360.0,0.17087416,0.041666666666666664,-0.18938851
0.039128616,0.20136072,18,0.085,0.06936411,1900.0,0.83863235,380.0,0.14304772,0.05833333333333334,-0.18820687
0.038988728,0.20134045,19,0.07333333333333335,0.06934465,2000.0,0.838545,400.0,0.15036689,0.08333333333333333,-0.18968439
0.038851734,0.20134218,20,0.06166666666666667,0.069370344,2100.0,0.83855337,420.0,0.14978462,0.06666666666666667,-0.18527001
0.038919393,0.20132083,21,0.06666666666666667,0.06937446,2200.0,0.83851767,440.0,0.14659165,0.08333333333333333,-0.1885833
0.038839303,0.20127507,22,0.065,0.06940158,2300.0,0.8383302,460.0,0.15538281,0.05833333333333334,-0.17914431
0.038698934,0.20123911,23,0.06166666666666667,0.06939088,2400.0,0.83821815,480.0,0.15782051,0.06666666666666667,-0.187746
0.03853388,0.20127474,24,0.065,0.0693991,2500.0,0.83834624,500.0,0.16018985,0.09999999999999999,-0.18209493
0.038585097,0.20128095,25,0.056666666666666664,0.06940065,2600.0,0.8383911,520.0,0.1444111,0.05000000000000001,-0.18643922
0.038547955,0.20126323,26,0.08666666666666667,0.0694189,2700.0,0.838319,540.0,0.14568897,0.075,-0.18622495
0.03854511,0.20123605,27,0.06666666666666667,0.06941923,2800.0,0.83823156,560.0,0.15673259,0.11666666666666665,-0.18104525
0.038472682,0.201235,28,0.05333333333333334,0.069402866,2900.0,0.83821386,580.0,0.142307,0.041666666666666664,-0.18731527
0.038423933,0.2012145,29,0.07333333333333332,0.06941235,3000.0,0.83814406,600.0,0.15007658,0.041666666666666664,-0.19163449
