test/episode,test/success_rate,stats_o/std,train/critic_loss,train/success_rate,stats_o/mean,test/ag_g_dist,stats_g/std,test/mean_Q,train/episode,stats_g/mean,epoch
20.0,0.0,0.05632988,0.004221266,0.0016666666666666668,0.1771143,0.47700787,0.123556234,-2.504836,100.0,0.7418844,0
40.0,0.0,0.056213427,0.0035434782,0.0033333333333333335,0.17677182,0.44099626,0.12340977,-4.459931,200.0,0.7432886,1
60.0,0.0,0.056367397,0.004327905,0.006666666666666667,0.1772589,0.42119107,0.12690307,-6.408159,300.0,0.74425715,2
80.0,0.008333333333333333,0.061612356,0.0068323216,0.0033333333333333335,0.17795245,0.46130142,0.13812914,-8.4657135,400.0,0.7467796,3
100.0,0.016666666666666666,0.06525343,0.012319216,0.016666666666666666,0.17879595,0.4363146,0.14637329,-9.98113,500.0,0.7506756,4
120.0,0.025000000000000005,0.06844407,0.008296831,0.008333333333333333,0.1789568,0.4437907,0.15230797,-11.255112,600.0,0.7520903,5
140.0,0.05833333333333334,0.071977034,0.025856748,0.023333333333333334,0.17938058,0.4321207,0.15844035,-12.12464,700.0,0.75455385,6
160.0,0.03333333333333333,0.07473316,0.026183257,0.035,0.17954989,0.3830053,0.16228941,-12.521621,800.0,0.75618696,7
180.0,0.041666666666666664,0.07657511,0.017476114,0.035,0.17982976,0.40527046,0.16455053,-13.870006,900.0,0.7579896,8
200.0,0.06666666666666667,0.07829539,0.03817984,0.06166666666666667,0.18038021,0.370572,0.16704966,-14.241035,1000.0,0.7604076,9
220.0,0.15833333333333333,0.08024635,0.03658137,0.06333333333333334,0.18084343,0.37648988,0.16919649,-13.64215,1100.0,0.7636724,10
240.0,0.09166666666666667,0.08154371,0.021975884,0.055,0.18142061,0.34254184,0.17090319,-14.112511,1200.0,0.7666525,11
260.0,0.09166666666666667,0.08239965,0.03303751,0.07833333333333334,0.18216145,0.30528393,0.17196803,-14.431736,1300.0,0.76953226,12
280.0,0.18333333333333335,0.08344271,0.03516085,0.09333333333333334,0.18290676,0.29320997,0.17279589,-14.10658,1400.0,0.7723363,13
300.0,0.26666666666666666,0.0846354,0.046701487,0.08166666666666667,0.18355067,0.25930807,0.17464288,-13.023151,1500.0,0.77501816,14
320.0,0.26666666666666666,0.0857478,0.06564801,0.12,0.18428548,0.25102496,0.1759126,-13.188645,1600.0,0.77765757,15
340.0,0.325,0.087378465,0.047392923,0.09666666666666668,0.1847787,0.23152208,0.17794852,-12.419121,1700.0,0.77938,16
