stats_g/mean,train/episode,train/critic_loss,epoch,stats_o/std,stats_g/std,stats_o/mean,test/episode,train/success_rate,test/ag_g_dist,test/success_rate,test/mean_Q
0.8807008,800.0,0.05545276,39,0.030952385,0.084495336,0.2631075,800.0,0.24999999999999997,0.028902369,0.9416666666666668,-0.68308705
0.88071734,820.0,0.062800094,40,0.030974096,0.08457229,0.26311123,820.0,0.23333333333333336,0.031933762,0.9,-1.1509738
0.88088304,840.0,0.071084626,41,0.03098934,0.08458575,0.26315334,840.0,0.2333333333333333,0.023690263,0.9250000000000002,-0.812855
0.8808134,860.0,0.05773459,42,0.031011542,0.084618926,0.26313704,860.0,0.2416666666666667,0.024205154,0.9416666666666668,-0.6363353
0.88081765,880.0,0.058343638,43,0.031028882,0.08464172,0.26313037,880.0,0.20000000000000004,0.024014376,0.9083333333333333,-1.2191852
0.8807811,900.0,0.06402576,44,0.031048045,0.08467833,0.2631265,900.0,0.25,0.026344715,0.9249999999999999,-1.0834249
0.88083655,920.0,0.06913089,45,0.03105765,0.084675126,0.26314026,920.0,0.19999999999999998,0.020804608,0.9499999999999998,-0.7426617
0.8808058,940.0,0.07024995,46,0.031072473,0.084690124,0.2631293,940.0,0.225,0.02095109,0.9416666666666665,-0.8323272
0.8807826,960.0,0.06982791,47,0.031114677,0.084800094,0.26311582,960.0,0.275,0.021751791,0.9333333333333332,-0.8679065
0.8809056,980.0,0.061945517,48,0.031108653,0.08475342,0.26315102,980.0,0.2583333333333333,0.02356915,0.9249999999999999,-1.1692278
0.88102436,1000.0,0.070989504,49,0.031116242,0.084735155,0.26318532,1000.0,0.25,0.022522567,0.9249999999999999,-0.915524
0.8810262,1020.0,0.06695861,50,0.03113071,0.084753565,0.26318434,1020.0,0.2333333333333333,0.020426663,0.9333333333333332,-1.0161525
0.88100463,1040.0,0.06442823,51,0.031140342,0.08474801,0.26317888,1040.0,0.25,0.022197748,0.9083333333333333,-1.2727089
0.8810459,1060.0,0.06657272,52,0.031141082,0.08472831,0.26319227,1060.0,0.2333333333333333,0.02236224,0.8916666666666666,-1.4051126
0.88108844,1080.0,0.061304737,53,0.03114619,0.08471495,0.2632072,1080.0,0.3,0.018728016,0.9333333333333332,-1.0898805
0.8809509,1100.0,0.069957666,54,0.031173399,0.084803015,0.26316732,1100.0,0.2416666666666667,0.021860221,0.9166666666666666,-1.2303057
0.8810237,1120.0,0.07275163,55,0.031182045,0.08480444,0.26318756,1120.0,0.21666666666666667,0.02138654,0.9333333333333332,-1.057661
0.88122386,1140.0,0.06568542,56,0.031183293,0.08477395,0.26323742,1140.0,0.2583333333333333,0.019131085,0.9416666666666668,-0.7195813
0.8811529,1160.0,0.064022414,57,0.031175116,0.08471953,0.26321718,1160.0,0.27499999999999997,0.020352915,0.9416666666666668,-0.86875516
0.8810211,1180.0,0.061424077,58,0.031194264,0.08475685,0.26318043,1180.0,0.3,0.021779941,0.9583333333333334,-0.49110082
0.8810559,1200.0,0.060838208,59,0.031206021,0.084786154,0.2631926,1200.0,0.2583333333333333,0.028292486,0.9166666666666666,-1.1559304
