test/ag_g_dist,stats_o/mean,test/mean_Q,train/episode,test/success_rate,stats_g/mean,train/critic_loss,train/success_rate,test/episode,stats_o/std,stats_g/std,epoch
0.024576813,0.26380324,-1.9484596,780.0,0.9333333333333332,0.87881154,0.06090424,0.39999999999999997,780.0,0.030903647,0.08436084,38
0.023809223,0.26382014,-2.0475938,800.0,0.9416666666666668,0.87888527,0.057375994,0.2833333333333333,800.0,0.03094151,0.084468134,39
0.034573887,0.26384658,-2.5941288,820.0,0.9083333333333332,0.8789657,0.046418313,0.2833333333333334,820.0,0.030966243,0.08453568,40
0.024924055,0.26388887,-2.1923752,840.0,0.9250000000000002,0.8791236,0.055811238,0.30833333333333335,840.0,0.03099429,0.08459059,41
0.02244834,0.2638843,-1.8930994,860.0,0.9333333333333332,0.8790838,0.045837935,0.3333333333333333,860.0,0.031023309,0.08464748,42
0.02738896,0.26391947,-2.456133,880.0,0.9083333333333333,0.8792073,0.064088404,0.3333333333333333,880.0,0.031018848,0.084622025,43
0.024254633,0.2639268,-2.2539375,900.0,0.9249999999999999,0.8792045,0.056203622,0.3,900.0,0.031039407,0.084655546,44
0.021415547,0.2639464,-2.0026982,920.0,0.9499999999999998,0.8792772,0.044979323,0.38333333333333336,920.0,0.031045655,0.084651954,45
0.022803515,0.26396057,-2.03113,940.0,0.9333333333333332,0.8793342,0.08168466,0.35833333333333334,940.0,0.031054666,0.08466657,46
0.02343029,0.2639713,-2.173591,960.0,0.9249999999999999,0.87938327,0.049621403,0.4083333333333334,960.0,0.031100566,0.08481348,47
0.022987112,0.2639957,-2.4058418,980.0,0.9249999999999999,0.87945914,0.056447115,0.36666666666666664,980.0,0.03110447,0.0847905,48
0.02147313,0.26401958,-2.3382933,1000.0,0.9416666666666668,0.87955934,0.054501627,0.4000000000000001,1000.0,0.031100014,0.08475,49
0.026763579,0.26401502,-2.407768,1020.0,0.9249999999999999,0.8795392,0.06375035,0.2583333333333333,1020.0,0.031105125,0.08475537,50
0.015244207,0.26400524,-2.6550393,1040.0,0.9083333333333333,0.8795156,0.044004977,0.3416666666666666,1040.0,0.03111058,0.08475023,51
0.024716608,0.26401442,-2.9191525,1060.0,0.8833333333333333,0.87955064,0.08804288,0.27499999999999997,1060.0,0.031103944,0.08471682,52
0.018087165,0.26401573,-2.3822575,1080.0,0.9249999999999999,0.8795541,0.05893652,0.4166666666666667,1080.0,0.031105787,0.08469415,53
0.023027683,0.26397997,-2.6595948,1100.0,0.9083333333333332,0.8794225,0.056792706,0.225,1100.0,0.03112947,0.08476293,54
0.021152109,0.26398596,-2.3745644,1120.0,0.9249999999999999,0.87946445,0.046961937,0.3833333333333333,1120.0,0.03113394,0.084762625,55
0.018114373,0.26402313,-2.1036465,1140.0,0.9416666666666668,0.87960887,0.04800872,0.35000000000000003,1140.0,0.031131798,0.08473432,56
0.018830344,0.26398495,-2.192511,1160.0,0.9416666666666668,0.8794806,0.24475671,0.3,1160.0,0.031117747,0.08467435,57
