stats_g/std,train/success_rate,test/episode,train/critic_loss,epoch,stats_o/mean,stats_o/std,stats_g/mean,test/success_rate,test/mean_Q,test/ag_g_dist,train/episode
0.24361806,0.006666666666666667,500.0,0.324316,24,0.18883495,0.8550889,0.37567708,0.016666666666666666,-25.287706,0.7206705,2500.0
0.24339926,0.0033333333333333335,520.0,0.33467436,25,0.18837191,0.861434,0.37586784,0.0,-26.940369,0.7624442,2600.0
0.24322076,0.0033333333333333335,540.0,0.3526679,26,0.18806203,0.8671275,0.3757442,0.016666666666666666,-24.990435,0.6848862,2700.0
0.24305113,0.005,560.0,0.2945457,27,0.18777074,0.8730982,0.37603053,0.025000000000000005,-24.051779,0.6731372,2800.0
0.24279751,0.0033333333333333335,580.0,0.42052102,28,0.18761533,0.8787816,0.3761547,0.0,-25.0762,0.72316265,2900.0
0.24264042,0.006666666666666667,600.0,0.31849614,29,0.18734223,0.8839132,0.3757052,0.016666666666666666,-25.255838,0.6896903,3000.0
0.24247026,0.0033333333333333335,620.0,0.32722756,30,0.18702306,0.8890853,0.37579635,0.016666666666666666,-24.114868,0.6618855,3100.0
0.2423339,0.0033333333333333335,640.0,0.35848847,31,0.1867824,0.8936975,0.3755776,0.016666666666666666,-21.90503,0.59140855,3200.0
0.24222921,0.0,660.0,0.3347024,32,0.18642485,0.8982084,0.3753232,0.008333333333333333,-22.332336,0.61781454,3300.0
0.24188648,0.008333333333333333,680.0,0.4213932,33,0.18610287,0.9025343,0.37551168,0.03333333333333333,-21.724823,0.584999,3400.0
0.24169548,0.005,700.0,0.3160499,34,0.18595542,0.90670633,0.37556782,0.025000000000000005,-22.961168,0.6114922,3500.0
0.24154444,0.005,720.0,0.37914085,35,0.18561351,0.9106862,0.3754522,0.008333333333333333,-21.886665,0.5935451,3600.0
0.24137528,0.0033333333333333335,740.0,0.3180026,36,0.18543623,0.91446215,0.3754336,0.0,-25.138727,0.6298911,3700.0
0.24125092,0.0016666666666666668,760.0,0.3343084,37,0.18518384,0.9180278,0.37535238,0.008333333333333333,-21.609373,0.5964145,3800.0
0.24113107,0.0016666666666666668,780.0,0.4967413,38,0.18507618,0.9213777,0.37538406,0.016666666666666666,-23.399874,0.6384371,3900.0
0.24106026,0.006666666666666667,800.0,0.43116546,39,0.18491589,0.9246227,0.37493896,0.008333333333333333,-22.518469,0.60286397,4000.0
0.24086522,0.008333333333333333,820.0,0.4200379,40,0.18475264,0.9275549,0.37477204,0.008333333333333333,-21.331293,0.5411865,4100.0
0.24071233,0.01,840.0,0.36679152,41,0.18458714,0.9302924,0.3746512,0.041666666666666664,-22.645903,0.5923374,4200.0
0.24071391,0.006666666666666667,860.0,0.44808957,42,0.18447119,0.93284506,0.37463936,0.03333333333333333,-21.070421,0.5604961,4300.0
0.2406681,0.008333333333333333,880.0,0.48465595,43,0.18431531,0.9352021,0.37461683,0.025000000000000005,-22.137177,0.6233801,4400.0
0.24059503,0.005,900.0,0.35206077,44,0.18426855,0.9374683,0.37444505,0.008333333333333333,-23.460367,0.59502167,4500.0
0.24053216,0.008333333333333333,920.0,0.42568994,45,0.18414553,0.9397168,0.37435254,0.016666666666666666,-23.526876,0.54175425,4600.0
0.24044204,0.0016666666666666668,940.0,0.39673212,46,0.18416692,0.9419996,0.37431303,0.05000000000000001,-18.743168,0.49604037,4700.0
0.24027716,0.0033333333333333335,960.0,0.5518351,47,0.18412207,0.94408464,0.3743762,0.016666666666666666,-25.130816,0.6160869,4800.0
0.24014078,0.006666666666666667,980.0,0.39813033,48,0.18394345,0.94612265,0.37429467,0.016666666666666666,-20.106102,0.5424731,4900.0
0.24009736,0.005,1000.0,0.36243892,49,0.18388052,0.9481695,0.37417385,0.03333333333333333,-18.616302,0.46390542,5000.0
