stats_g/mean,test/reward_compute_count,epoch,train/reward_compute_count,train/success_rate,train/critic_loss,test/mean_Q,stats_o/std,stats_g/std,stats_o/mean,train/episode,test/ag_g_dist,test/success_rate,test/episode
0.3770723,26000.0,25,130000.0,0.0016666666666666668,0.19676824,-25.445158,0.84564227,0.23596607,0.1922596,2600.0,0.971278,0.0,520.0
0.3771117,27000.0,26,135000.0,0.0,0.22324044,-24.698263,0.84865874,0.23588876,0.19223912,2700.0,0.9250799,0.0,540.0
0.37702587,28000.0,27,140000.0,0.0016666666666666668,0.20000339,-24.532114,0.8517201,0.23580103,0.19215864,2800.0,0.9299267,0.0,560.0
0.3771471,29000.0,28,145000.0,0.0,0.19969516,-26.191446,0.85476416,0.23571046,0.19191773,2900.0,0.9197593,0.0,580.0
0.37734246,30000.0,29,150000.0,0.0,0.24179949,-25.532309,0.8575259,0.23566286,0.1918577,3000.0,0.96513814,0.0,600.0
0.37721252,31000.0,30,155000.0,0.0016666666666666668,0.20139563,-24.34951,0.86032885,0.23566961,0.1917759,3100.0,0.82438487,0.0,620.0
0.37729788,32000.0,31,160000.0,0.0,0.28265166,-22.913668,0.8632886,0.23571289,0.19167523,3200.0,0.8456299,0.0,640.0
0.3774794,33000.0,32,165000.0,0.0,0.35023513,-23.265085,0.866074,0.23559593,0.19169366,3300.0,0.8748506,0.025000000000000005,660.0
0.3775699,34000.0,33,170000.0,0.0016666666666666668,0.22164081,-26.16128,0.8688448,0.23543532,0.19162615,3400.0,0.93616,0.0,680.0
0.3775147,35000.0,34,175000.0,0.0016666666666666668,0.19765419,-25.271973,0.871075,0.23538566,0.19159456,3500.0,0.97149086,0.008333333333333333,700.0
0.37723276,36000.0,35,180000.0,0.0,0.26685008,-22.961695,0.87350637,0.23534338,0.19148509,3600.0,0.82758594,0.0,720.0
0.37728438,37000.0,36,185000.0,0.0,0.21863706,-21.371134,0.87558097,0.23525532,0.19143891,3700.0,0.7931674,0.0,740.0
0.3772973,38000.0,37,190000.0,0.0,0.273741,-22.75054,0.877739,0.2351783,0.19135244,3800.0,0.8078734,0.016666666666666666,760.0
0.3772668,39000.0,38,195000.0,0.0033333333333333335,0.20382263,-23.22526,0.87939024,0.2350517,0.19122104,3900.0,0.8531382,0.008333333333333333,780.0
0.3772408,40000.0,39,200000.0,0.0,0.2437226,-25.435074,0.8812208,0.23495845,0.19101612,4000.0,0.92183703,0.0,800.0
0.37737703,41000.0,40,205000.0,0.0,0.29404604,-21.7658,0.88314843,0.23473556,0.19090025,4100.0,0.8089215,0.0,820.0
0.37760153,42000.0,41,210000.0,0.0016666666666666668,0.23090263,-24.41614,0.8852398,0.23454134,0.19079207,4200.0,0.91291255,0.0,840.0
0.37766448,43000.0,42,215000.0,0.005,0.22588634,-21.961311,0.88714296,0.23447306,0.19066592,4300.0,0.8460606,0.0,860.0
0.37766314,44000.0,43,220000.0,0.0,0.23695193,-23.320044,0.8888927,0.23442249,0.19067116,4400.0,0.8836069,0.008333333333333333,880.0
0.37772456,45000.0,44,225000.0,0.0016666666666666668,0.2428018,-22.71582,0.8907166,0.2342764,0.19072525,4500.0,0.8109506,0.0,900.0
0.37767753,46000.0,45,230000.0,0.0033333333333333335,0.19901834,-21.897501,0.89230514,0.23423393,0.1906541,4600.0,0.8422375,0.0,920.0
0.3775132,47000.0,46,235000.0,0.0,0.24355169,-22.186548,0.89390093,0.23417497,0.19050722,4700.0,0.82054996,0.016666666666666666,940.0
0.37758407,48000.0,47,240000.0,0.0033333333333333335,0.25213316,-24.444687,0.8957455,0.23400228,0.19040926,4800.0,0.87742597,0.0,960.0
0.37773824,49000.0,48,245000.0,0.0016666666666666668,0.21233805,-21.694977,0.89731866,0.23379983,0.19034827,4900.0,0.80314726,0.016666666666666666,980.0
0.3777509,50000.0,49,250000.0,0.0033333333333333335,0.2957518,-21.351522,0.89910096,0.23366241,0.19032733,5000.0,0.78742176,0.0,1000.0
0.37780318,51000.0,50,255000.0,0.0,0.22957389,-22.64715,0.9007845,0.23352809,0.1902451,5100.0,0.85134095,0.0,1020.0
0.3779087,52000.0,51,260000.0,0.0016666666666666668,0.22825314,-21.36248,0.90238196,0.23336662,0.19022821,5200.0,0.79176,0.016666666666666666,1040.0
0.37785867,53000.0,52,265000.0,0.0,0.22038805,-22.846725,0.903681,0.2333094,0.19024055,5300.0,0.8308334,0.008333333333333333,1060.0
0.37797192,54000.0,53,270000.0,0.0016666666666666668,0.24976343,-22.032898,0.90513444,0.23314066,0.1901312,5400.0,0.8385566,0.016666666666666666,1080.0
0.3781105,55000.0,54,275000.0,0.0,0.2714539,-20.112894,0.90685874,0.23296165,0.19005923,5500.0,0.7462778,0.008333333333333333,1100.0
0.37818274,56000.0,55,280000.0,0.0016666666666666668,0.22024906,-21.67182,0.9084591,0.232855,0.19014545,5600.0,0.8034335,0.008333333333333333,1120.0
0.3783258,57000.0,56,285000.0,0.0,0.22108765,-22.34237,0.9099677,0.2327243,0.19009708,5700.0,0.85184973,0.008333333333333333,1140.0
0.37836885,58000.0,57,290000.0,0.0033333333333333335,0.28116277,-21.341965,0.9114754,0.23268747,0.18999611,5800.0,0.80089885,0.0,1160.0
0.37834653,59000.0,58,295000.0,0.0,0.25572273,-20.347277,0.912785,0.2325962,0.18992941,5900.0,0.7125246,0.008333333333333333,1180.0
0.37839994,60000.0,59,300000.0,0.0033333333333333335,0.38876107,-20.604792,0.91391677,0.23254788,0.18993747,6000.0,0.7801201,0.0,1200.0
