test/episode,epoch,train/critic_loss,train/episode,test/mean_Q,train/success_rate,test/success_rate,test/ag_g_dist,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std
480.0,23,0.41226026,2400.0,-2.012306,0.315,0.85,0.05844215,0.8472509,0.1156595,0.2055711,0.117501326
500.0,24,0.26267055,2500.0,-2.0313385,0.3066666666666667,0.8416666666666667,0.057857614,0.8474845,0.11573578,0.20568697,0.11775304
520.0,25,0.34554324,2600.0,-1.8399457,0.27999999999999997,0.8416666666666667,0.056280117,0.8477406,0.11574639,0.20573352,0.117888354
540.0,26,0.3048967,2700.0,-1.8855724,0.3066666666666667,0.8583333333333334,0.05618577,0.8480348,0.11546736,0.20576186,0.11797091
560.0,27,0.25850555,2800.0,-1.7848059,0.33666666666666667,0.8916666666666666,0.054260213,0.8482078,0.115249135,0.20578058,0.11804982
580.0,28,0.2974733,2900.0,-1.9001646,0.3016666666666667,0.875,0.0543121,0.8485001,0.11516104,0.20586322,0.118071556
600.0,29,0.5213602,3000.0,-1.8992414,0.31833333333333336,0.8666666666666667,0.049533416,0.84861714,0.1150623,0.2058843,0.11808937
620.0,30,0.36010444,3100.0,-2.1507378,0.285,0.8666666666666666,0.06015872,0.84880954,0.115034305,0.20589967,0.118266486
640.0,31,0.41927138,3200.0,-1.7798325,0.31333333333333335,0.9,0.05224591,0.84890324,0.114863254,0.20593847,0.11847309
660.0,32,0.30470824,3300.0,-2.011204,0.315,0.9166666666666666,0.050287317,0.84896374,0.114770465,0.20596568,0.11847887
680.0,33,0.37245035,3400.0,-1.7608476,0.305,0.8999999999999999,0.052115936,0.84911233,0.114445545,0.20597164,0.11838442
700.0,34,0.2888761,3500.0,-1.7722546,0.32,0.8916666666666666,0.051593345,0.8491687,0.11428853,0.20603602,0.118374914
720.0,35,0.49992767,3600.0,-1.8428105,0.3066666666666667,0.8583333333333333,0.05336231,0.84939843,0.114099145,0.20606457,0.11830387
740.0,36,0.28073153,3700.0,-1.6997752,0.34,0.9333333333333332,0.048625935,0.84951764,0.11390525,0.20612334,0.11828145
760.0,37,0.24649258,3800.0,-1.792128,0.29333333333333333,0.9,0.051423293,0.84967774,0.113748126,0.20618086,0.1182079
780.0,38,0.2692765,3900.0,-1.7559801,0.33166666666666667,0.9,0.050026882,0.8497791,0.113547765,0.20620017,0.11815327
800.0,39,0.32705477,4000.0,-1.8373919,0.295,0.8833333333333333,0.05314665,0.84982854,0.11340938,0.2062171,0.118121125
820.0,40,0.30678585,4100.0,-1.7806787,0.3183333333333333,0.8833333333333333,0.053471252,0.8499,0.11319706,0.20622908,0.11812339
840.0,41,0.3280593,4200.0,-1.9934703,0.33499999999999996,0.9166666666666666,0.051761318,0.8499339,0.11301857,0.20626372,0.11808044
860.0,42,0.25468946,4300.0,-1.7806095,0.285,0.8250000000000001,0.04941778,0.84997946,0.11285725,0.20624085,0.117937945
880.0,43,0.39197478,4400.0,-1.752533,0.3066666666666667,0.9166666666666666,0.046700474,0.85006875,0.11271242,0.20622845,0.11782459
900.0,44,0.3433174,4500.0,-1.8920417,0.3,0.9083333333333333,0.05723789,0.8500829,0.1125846,0.20624161,0.11777922
920.0,45,0.29528794,4600.0,-1.701821,0.31666666666666665,0.8916666666666666,0.050958764,0.85013527,0.112476856,0.20625736,0.117704965
940.0,46,0.33949593,4700.0,-1.7546091,0.3033333333333334,0.9,0.052435618,0.8501439,0.112300456,0.20626102,0.11758184
960.0,47,0.41759744,4800.0,-1.8163744,0.3183333333333333,0.8666666666666666,0.05424435,0.85015935,0.11222985,0.20630695,0.11749437
980.0,48,0.43954542,4900.0,-1.736956,0.3116666666666667,0.9333333333333332,0.048572153,0.8501728,0.112072,0.20634903,0.11751648
1000.0,49,0.2844262,5000.0,-1.7941389,0.3016666666666667,0.8916666666666666,0.05262688,0.8501377,0.11195705,0.20634724,0.11746478
1020.0,50,0.5160372,5100.0,-1.7139711,0.27666666666666667,0.9,0.050133634,0.8502197,0.11183139,0.20632671,0.117388956
1040.0,51,0.45035604,5200.0,-1.7710918,0.2916666666666667,0.7999999999999999,0.05808896,0.850168,0.11169398,0.2063027,0.117325604
1060.0,52,0.5192881,5300.0,-1.884839,0.2833333333333333,0.8416666666666668,0.058933962,0.8502052,0.11157113,0.20630449,0.117294215
1080.0,53,0.8250322,5400.0,-1.7117649,0.34833333333333333,0.875,0.051062096,0.8501692,0.11139366,0.2062848,0.11723042
1100.0,54,0.41958562,5500.0,-1.8205255,0.3416666666666666,0.8416666666666667,0.054774914,0.85014945,0.1112803,0.20629005,0.11721585
1120.0,55,0.44810677,5600.0,-1.7605228,0.31,0.875,0.051938158,0.85017806,0.111102246,0.2062981,0.117089
1140.0,56,0.373974,5700.0,-1.7045494,0.3033333333333333,0.9083333333333332,0.049296174,0.85015696,0.110986225,0.2062888,0.11695343
1160.0,57,0.69471264,5800.0,-2.0782244,0.28833333333333333,0.8916666666666666,0.052376222,0.8501468,0.11096879,0.20624734,0.11704245
1180.0,58,0.6280888,5900.0,-1.8401308,0.31833333333333336,0.875,0.052661967,0.85017747,0.11087964,0.20626372,0.11704519
1200.0,59,0.29931626,6000.0,-1.6380224,0.315,0.9,0.050411362,0.8501988,0.11067609,0.20626175,0.11694578
1220.0,60,0.4888626,6100.0,-1.7197956,0.3183333333333333,0.9250000000000002,0.047391478,0.85018224,0.1106234,0.20623642,0.11692252
1240.0,61,0.33491185,6200.0,-1.7057391,0.3233333333333333,0.9,0.04913208,0.85018355,0.11050624,0.20620231,0.11688838
1260.0,62,0.18148582,6300.0,-1.7310778,0.29833333333333334,0.8583333333333334,0.055084586,0.85020024,0.11044773,0.20619918,0.11685868
1280.0,63,0.2520572,6400.0,-1.6499988,0.3016666666666667,0.9166666666666666,0.049614962,0.8502093,0.11030144,0.20616286,0.11682638
1300.0,64,0.33926296,6500.0,-1.714728,0.27499999999999997,0.8833333333333334,0.05339247,0.8502891,0.11019913,0.20617227,0.11674601
1320.0,65,0.22890173,6600.0,-1.9495258,0.29833333333333334,0.8333333333333334,0.061799545,0.85031176,0.11015996,0.20616396,0.11676753
1340.0,66,0.26048392,6700.0,-1.6566519,0.3116666666666667,0.8833333333333334,0.048812676,0.8503148,0.109977186,0.20617206,0.11671505
1360.0,67,0.21753645,6800.0,-1.8761072,0.31999999999999995,0.8416666666666667,0.061112493,0.85033727,0.10993739,0.20619093,0.116662405
1380.0,68,0.32751152,6900.0,-1.7779316,0.315,0.9166666666666666,0.05267441,0.85030365,0.10989127,0.20620154,0.11671097
1400.0,69,0.2966859,7000.0,-1.9149165,0.32833333333333337,0.8166666666666668,0.057141352,0.85031646,0.10976487,0.2061895,0.1166636
1420.0,70,0.23648317,7100.0,-1.8125548,0.345,0.875,0.05492188,0.8503141,0.10965955,0.20618808,0.11659473
1440.0,71,0.31838787,7200.0,-1.6611911,0.32,0.9166666666666666,0.046858627,0.8503306,0.1095928,0.20617853,0.11653479
1460.0,72,0.26001725,7300.0,-2.0719519,0.30000000000000004,0.875,0.057569813,0.850372,0.109554954,0.20614862,0.116596766
1480.0,73,0.23393202,7400.0,-1.8738155,0.30833333333333335,0.9,0.049009252,0.8503998,0.10955741,0.20613734,0.116546996
1500.0,74,0.20208232,7500.0,-1.3698188,0.285,0.9416666666666665,0.03982656,0.85044926,0.109494895,0.20613985,0.11652344
1520.0,75,0.25179446,7600.0,-1.7599646,0.265,0.8166666666666668,0.057748944,0.8504217,0.10949395,0.20611282,0.11654034
1540.0,76,0.35355496,7700.0,-1.71913,0.30833333333333335,0.9166666666666666,0.05060664,0.8504184,0.10945792,0.20611225,0.116476335
1560.0,77,0.25458518,7800.0,-1.7629962,0.3283333333333333,0.9,0.053620577,0.8504246,0.10937866,0.2061113,0.11645535
1580.0,78,0.25170034,7900.0,-1.9770952,0.31666666666666665,0.875,0.06346408,0.85043097,0.109295785,0.20608254,0.11641646
1600.0,79,0.32651192,8000.0,-1.6497253,0.31333333333333335,0.9083333333333333,0.049344044,0.8504649,0.10922691,0.20607714,0.11641242
1620.0,80,0.21600457,8100.0,-1.6645681,0.3066666666666667,0.8916666666666666,0.05191475,0.8504382,0.10927116,0.20606129,0.11645862
1640.0,81,0.34103122,8200.0,-1.7962484,0.30000000000000004,0.8666666666666667,0.055733506,0.85045147,0.10919758,0.20604788,0.11638028
1660.0,82,0.19746657,8300.0,-1.7130995,0.33,0.8583333333333334,0.053370062,0.8504358,0.10915706,0.20604582,0.11631734
1680.0,83,0.68278116,8400.0,-1.6828133,0.3,0.9166666666666666,0.051209483,0.8504787,0.1091271,0.20603454,0.11632276
1700.0,84,0.2648211,8500.0,-1.6824423,0.30833333333333335,0.8916666666666666,0.051412106,0.8504606,0.10904998,0.206053,0.11628174
1720.0,85,0.2768434,8600.0,-1.818036,0.31,0.9083333333333333,0.05330393,0.850447,0.10898157,0.20605652,0.11620691
1740.0,86,0.8824277,8700.0,-1.7219753,0.3416666666666666,0.9083333333333333,0.052290995,0.85045534,0.10890768,0.20604841,0.116107695
1760.0,87,0.29303443,8800.0,-1.6551714,0.27,0.8666666666666666,0.050565332,0.8504963,0.10885817,0.20602643,0.116051935
1780.0,88,0.24028935,8900.0,-1.8996297,0.3,0.85,0.05907969,0.8505163,0.108855575,0.20603518,0.11603731
1800.0,89,0.20398407,9000.0,-1.7866297,0.2783333333333334,0.8416666666666668,0.053667042,0.850522,0.108804606,0.20604652,0.116015665
1820.0,90,0.4310851,9100.0,-1.8828163,0.32,0.8833333333333333,0.058163967,0.8505251,0.10875585,0.20603617,0.11598865
1840.0,91,0.44904867,9200.0,-1.868131,0.2816666666666667,0.8416666666666667,0.055685144,0.8505275,0.10876533,0.20604081,0.115993105
1860.0,92,0.32289562,9300.0,-1.8713156,0.3333333333333333,0.8333333333333334,0.05800733,0.8505462,0.108708344,0.20604901,0.11595287
1880.0,93,0.3007743,9400.0,-1.7060364,0.315,0.9416666666666668,0.047428694,0.85054564,0.108701706,0.20604925,0.11595223
1900.0,94,0.24564676,9500.0,-1.7795868,0.2833333333333334,0.8833333333333333,0.056574225,0.8505351,0.10867796,0.20604098,0.11592265
1920.0,95,0.5279236,9600.0,-1.627211,0.31666666666666665,0.8916666666666666,0.050293762,0.8505382,0.10862801,0.206032,0.11585933
1940.0,96,0.26204327,9700.0,-1.7340225,0.2733333333333333,0.8999999999999999,0.052381624,0.85059094,0.10862423,0.20602542,0.11583226
1960.0,97,0.2525859,9800.0,-1.7349857,0.29833333333333334,0.9,0.050999235,0.8506375,0.10857657,0.20602016,0.11579811
1980.0,98,0.47515365,9900.0,-1.7698674,0.31833333333333336,0.9583333333333334,0.05048794,0.85067433,0.10853473,0.20601304,0.11575999
2000.0,99,0.24836214,10000.0,-1.7945293,0.30833333333333335,0.8833333333333333,0.05332753,0.8506724,0.10850072,0.20601189,0.11571351
